PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-26,15:07:57.69,1,1,"Enyart, Adam",813795,Right,STM_GAE,"Spencer, Chase",1000213111,Right,AIR_FOR,Undefined,1,Top,0,0,0,ChangeUp,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.60821,-1.022096,-2.989115,1964.63173,132.779613,10:30,5.70356,1.65804,5.62041,-39.7603,4.01792,-2.78303,1.43492,-1.36603,73.79089,-8.306784,-3.485619,0.476212,,,,,,,,,,,,0.52787,2.75441,-1.40093,50,5.59065,6.21009,-116.84665,-3.40084,0.72496,23.37574,-28.3912,STM_GAE,AIR_FOR,RonaldGallagherStad,D1,WCC,20240326-RonaldGallagherStad-1,4dd735c0-ebbd-11ee-8ed3-d33f85a6bb56,79.15053,,,6.81733,,,,,,,b8adbdb4-25b2-4eb7-8e79-2abe83c9f172,2024-03-26,22:07:57.69,2024-03-26T15:07:57.6914520-07:00,2024-03-26T22:07:57.6914520Z,,v3,471428,471472,,"Harrison, Bear",1000268655,Right,STM_GAE,0967e7be-ea35-4310-858f-a458b60d05ce,54.88044,-117.81896,11.68787,5.70755,-2.21991,-14.1956,-1.65861,6.17993,0.36248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-26,15:08:11.99,1,2,"Enyart, Adam",813795,Right,STM_GAE,"Spencer, Chase",1000213111,Right,AIR_FOR,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.36723,-2.481883,-4.379302,2310.00191,222.711995,1:30,5.69025,1.64854,5.7949,-13.99509,21.5482,18.51847,2.2071,-0.8899,80.11459,-5.237347,-1.074429,0.429092,,,,,,,,,,,,-10.90256,12.22532,-1.29825,50,5.47718,9.13602,-130.3787,-6.0028,-18.22474,34.78198,-11.73822,STM_GAE,AIR_FOR,RonaldGallagherStad,D1,WCC,20240326-RonaldGallagherStad-1,566c0490-ebbd-11ee-8ed3-d33f85a6bb56,87.84238,,,10.25264,,,,,,,b8adbdb4-25b2-4eb7-8e79-2abe83c9f172,2024-03-26,22:08:11.99,2024-03-26T15:08:11.9940184-07:00,2024-03-26T22:08:11.9940184Z,,v3,471428,471472,,"Harrison, Bear",1000268655,Right,STM_GAE,e576cc07-f0f0-4a8e-967e-e18ee57a6568,54.70053,-131.62671,17.39099,5.68501,-5.58162,-5.86911,-1.6378,9.78994,-9.11237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-26,15:08:27.25,1,3,"Enyart, Adam",813795,Right,STM_GAE,"Spencer, Chase",1000213111,Right,AIR_FOR,Undefined,1,Top,0,0,2,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.14365,2.036992,-1.82759,2044.174086,163.4611,11:30,5.6791,1.62415,5.13729,-39.81396,4.16918,-0.70689,4.28128,-0.15636,72.84605,-5.310018,-1.95254,0.477325,,,,,,,,,,,,-0.32469,1.90099,-1.4522,50,5.84045,3.81686,-118.61988,2.77898,-0.44875,29.03032,-29.54678,STM_GAE,AIR_FOR,RonaldGallagherStad,D1,WCC,20240326-RonaldGallagherStad-1,5f9c9e30-ebbd-11ee-8ed3-d33f85a6bb56,78.96591,,,9.2976,,,,,,,b8adbdb4-25b2-4eb7-8e79-2abe83c9f172,2024-03-26,22:08:27.25,2024-03-26T15:08:27.2551512-07:00,2024-03-26T22:08:27.2551512Z,,v3,471428,471472,,"Harrison, Bear",1000268655,Right,STM_GAE,c3be7214-6c07-4ba7-9329-e458bc768cfb,55.35576,-119.92345,14.51516,5.68588,4.10575,-14.77339,-1.62404,3.83701,-0.22437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-26,15:08:43.66,1,4,"Enyart, Adam",813795,Right,STM_GAE,"Spencer, Chase",1000213111,Right,AIR_FOR,Undefined,1,Top,0,1,2,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.46337,-2.389359,-3.730574,2101.86762,180.853509,12:00,5.54407,1.61552,5.61245,-30.12513,9.85095,0.12689,0.79738,-1.86095,77.22705,-7.934273,-3.707975,0.455063,,,,,,,,,,,,-1.16925,6.08024,-1.29634,50,5.31993,7.96669,-122.26127,-6.11494,-1.759,25.47783,-23.027,STM_GAE,AIR_FOR,RonaldGallagherStad,D1,WCC,20240326-RonaldGallagherStad-1,693f5a90-ebbd-11ee-8ed3-d33f85a6bb56,82.82907,,,7.23633,,,,,,,b8adbdb4-25b2-4eb7-8e79-2abe83c9f172,2024-03-26,22:08:43.66,2024-03-26T15:08:43.6645976-07:00,2024-03-26T22:08:43.6645976Z,,v3,471428,471472,,"Harrison, Bear",1000268655,Right,STM_GAE,f5a4f4d4-85d5-4ede-aead-d8f52a128896,54.88886,-123.27584,12.73892,5.54518,-5.19796,-11.5135,-1.61498,8.03674,-0.8795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-26,15:09:02.59,1,5,"Enyart, Adam",813795,Right,STM_GAE,"Spencer, Chase",1000213111,Right,AIR_FOR,Undefined,1,Top,0,2,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.678,-1.004957,-3.783107,2274.553947,249.63914,2:15,5.56177,1.66136,5.99358,-26.14513,9.41138,21.56044,2.44954,-0.05302,80.021,-5.935134,0.08731,0.429172,84.02494,-7.538781,16.063434,,,,,15.25217,15.25217,15.384901,0.11985,-12.34949,5.5878,-1.37437,50,5.46829,7.6429,-129.73736,-3.13536,-20.50715,33.64635,-22.89516,STM_GAE,AIR_FOR,RonaldGallagherStad,D1,WCC,20240326-RonaldGallagherStad-1,74895e50-ebbd-11ee-8ed3-d33f85a6bb56,87.82604,2.15484,,9.657,,,,0.86542,2.15484,-0.07525,b8adbdb4-25b2-4eb7-8e79-2abe83c9f172,2024-03-26,22:09:02.59,2024-03-26T15:09:02.5992792-07:00,2024-03-26T22:09:02.5992792Z,GroundBall,v3,471428,471472,,"Harrison, Bear",1000268655,Right,STM_GAE,6add8a5c-5258-4e4a-a421-7462fbfddf2f,54.50491,-130.90046,16.82318,5.563,-2.34392,-11.44758,-1.65082,8.3518,-10.25358,278.326208,0.86556,117.38511,-15.92557,,,,,,,2.15493,-16.17868,-15.03773,,,,,,,-0.07536,33.81678,4.79949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2024-03-26,15:09:33.21,2,1,"Enyart, Adam",813795,Right,STM_GAE,"Kulasingam, Sam",1000098762,Left,AIR_FOR,Undefined,1,Top,1,0,0,Slider,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.73774,-1.153039,-1.728666,2269.392075,242.923615,2:00,5.79192,1.11163,5.57671,-33.08084,11.3154,18.74682,1.95759,1.05876,72.43614,-7.316475,1.619093,0.479562,,,,,,,,,,,,-10.05138,6.62012,-0.97528,50,5.67147,2.76405,-116.89847,-3.40412,-13.57107,27.0204,-23.23574,STM_GAE,AIR_FOR,RonaldGallagherStad,D1,WCC,20240326-RonaldGallagherStad-1,86c7ee60-ebbd-11ee-8ed3-d33f85a6bb56,78.59769,,,8.3016,,,,,,,b8adbdb4-25b2-4eb7-8e79-2abe83c9f172,2024-03-26,22:09:33.21,2024-03-26T15:09:33.2171352-07:00,2024-03-26T22:09:33.2171352Z,,v3,471428,471472,,"Harrison, Bear",1000268655,Right,STM_GAE,1a5f29a0-5e0e-4cf2-bef6-050f68fc9c2e,54.92105,-118.03047,13.5102,5.79369,-2.43068,-11.61787,-1.10298,3.33259,-6.78553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-26,15:09:48.84,2,2,"Enyart, Adam",813795,Right,STM_GAE,"Kulasingam, Sam",1000098762,Left,AIR_FOR,Undefined,1,Top,1,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.58573,-2.134774,-2.077729,2124.206005,243.563049,2:00,5.77749,0.89935,5.53318,-30.86403,13.93875,24.41879,1.20771,0.99117,72.18744,-7.894531,2.279706,0.481753,,,,,,,,,,,,-13.11772,8.30359,-0.73582,50,5.57192,3.24693,-116.59211,-5.30864,-17.56146,27.52134,-21.05753,STM_GAE,AIR_FOR,RonaldGallagherStad,D1,WCC,20240326-RonaldGallagherStad-1,9034cdb0-ebbd-11ee-8ed3-d33f85a6bb56,78.24025,,,8.3983,,,,,,,b8adbdb4-25b2-4eb7-8e79-2abe83c9f172,2024-03-26,22:09:48.84,2024-03-26T15:09:48.8428120-07:00,2024-03-26T22:09:48.8428120Z,,v3,471428,471472,,"Harrison, Bear",1000268655,Right,STM_GAE,c5bfbdf2-ac23-487b-b901-1caffecd2daf,54.96613,-117.75852,13.76067,5.778,-4.41618,-10.52877,-0.8892,3.99122,-8.78073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-26,15:10:11.27,2,3,"Enyart, Adam",813795,Right,STM_GAE,"Kulasingam, Sam",1000098762,Left,AIR_FOR,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.84304,-2.705005,-1.566629,2277.513294,222.910552,1:30,5.80107,0.90157,5.62242,-23.65808,19.64324,16.6341,1.30237,0.82536,73.19978,-7.189023,1.405085,0.473611,,,,,,,,,,,,-9.01784,11.41505,-0.77905,50,5.55557,2.56505,-118.3821,-6.27473,-12.45181,28.28133,-16.41215,STM_GAE,AIR_FOR,RonaldGallagherStad,D1,WCC,20240326-RonaldGallagherStad-1,9d6ee1a0-ebbd-11ee-8ed3-d33f85a6bb56,79.5852,,,8.64325,,,,,,,b8adbdb4-25b2-4eb7-8e79-2abe83c9f172,2024-03-26,22:10:11.27,2024-03-26T15:10:11.2715864-07:00,2024-03-26T22:10:11.2715864Z,,v3,471428,471472,,"Harrison, Bear",1000268655,Right,STM_GAE,cc212963-e602-400b-8617-c9d6599ee4a0,54.87563,-119.54121,14.14067,5.79896,-5.60208,-8.20607,-0.89464,3.07538,-6.22591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-26,15:10:32.81,2,4,"Enyart, Adam",813795,Right,STM_GAE,"Kulasingam, Sam",1000098762,Left,AIR_FOR,Undefined,1,Top,1,1,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,90.40216,-0.909675,-1.773383,2233.71226,215.692049,1:15,5.96072,0.56743,5.98321,-15.52158,19.57403,13.02717,3.82358,0.0087,80.13873,-3.949491,0.567603,0.426381,92.40072,20.067956,4.46631,1524.645614,109.85802,35.29551,5.58438,313.06989,311.02665,-0.100946,3.534766,-7.35441,10.78607,-0.43454,50,5.88058,3.48884,-130.90222,-2.48114,-12.35463,35.82422,-14.05463,STM_GAE,AIR_FOR,RonaldGallagherStad,D1,WCC,20240326-RonaldGallagherStad-1,aa3ee920-ebbd-11ee-8ed3-d33f85a6bb56,88.40087,41.71286,,10.26343,,,,1.29682,3.81408,-0.01077,b8adbdb4-25b2-4eb7-8e79-2abe83c9f172,2024-03-26,22:10:32.81,2024-03-26T15:10:32.8117336-07:00,2024-03-26T22:10:32.8117336Z,LineDrive,v3,471428,471472,,"Harrison, Bear",1000268655,Right,STM_GAE,a9135880-fc5e-4e39-a457-4e2075f1ef1e,54.51399,-132.1318,17.91211,5.95746,-1.99875,-7.02732,-0.56156,3.91288,-6.17731,155.190139,1.29702,126.89956,-19.6356,4.24511,-0.78699,0.09591,0.00088,-0.00259,0.00029,3.8139,46.5081,-15.25786,0.78115,-0.19008,0.08235,-0.02892,0.00581,-0.00047,-0.01073,9.91116,-5.26304,1.2078,-0.24254,0.03678,-0.00262,-0.00023,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2024-03-26,15:11:08.84,3,1,"Enyart, Adam",813795,Right,STM_GAE,"Thomason, Jay",1000100022,Right,AIR_FOR,Undefined,1,Top,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.65911,-3.764937,-1.197582,2255.327335,237.538379,2:00,5.76424,0.77159,5.65085,-30.23116,13.37465,18.23458,-0.27252,1.17396,73.25225,-9.385198,2.06684,0.475273,,,,,,,,,,,,-9.79512,8.65189,-0.68228,50,5.42574,1.74919,-118.02735,-8.70332,-13.4063,28.68386,-20.3325,STM_GAE,AIR_FOR,RonaldGallagherStad,D1,WCC,20240326-RonaldGallagherStad-1,bfcbb9d0-ebbd-11ee-8ed3-d33f85a6bb56,79.30684,,,8.40686,,,,,,,b8adbdb4-25b2-4eb7-8e79-2abe83c9f172,2024-03-26,22:11:08.84,2024-03-26T15:11:08.8491608-07:00,2024-03-26T22:11:08.8491608Z,,v3,471428,471472,,"Harrison, Bear",1000268655,Right,STM_GAE,ce9bfd11-d130-43bf-a6fc-a5d1f90db351,54.84876,-119.19991,14.34193,5.76453,-7.87216,-10.16625,-0.76499,2.29722,-6.70315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
