PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-26,18:32:49.73,1,1,"Selvig, Cole",806217,Right,TEX_LON,"Webb, Isaac",805991,Right,TEX_ISL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.02319,-2.553319,-3.315738,2031.98851,190.108981,12:15,5.99079,1.49208,5.90565,-16.39552,17.41454,2.91284,2.24863,-1.34673,83.31507,-5.658165,-2.794278,0.418499,,,,,,,,,,,,-2.39815,9.94154,-1.22687,50,5.77561,7.51599,-131.90624,-6.37897,-4.2303,27.73821,-14.63723,TEX_LON,TEX_ISL,Texas,D1,BIG12,20240326-Texas-1,290129c0-ebc9-11ee-a812-0b8f3ab81d61,90.06583,,,7.70813,,,,,,,e6f3c5d6-8c01-4867-a410-fdd480dea5d2,2024-03-26,23:32:49.73,2024-03-26T18:32:49.7384168-05:00,2024-03-26T23:32:49.7384168Z,,v3,471466,4764,26 March 2024 19:30-tamucc@texas,"Schuessler, Kimble",694645,Right,TEX_LON,85847ef2-6435-4ae6-a2eb-5b70cbeece9f,54.59694,-132.8694,13.8691,5.98829,-5.87072,-7.31862,-1.4904,7.66288,-2.11515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-26,18:33:05.49,1,2,"Selvig, Cole",806217,Right,TEX_LON,"Webb, Isaac",805991,Right,TEX_ISL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.37414,-1.972298,-3.181368,2179.057952,193.412084,12:30,6.00027,1.63499,5.86016,-13.51784,20.04848,4.52626,3.03772,-0.94675,83.52463,-4.567688,-2.371713,0.416988,,,,,,,,,,,,-3.17461,11.09461,-1.37905,50,5.83189,7.16466,-132.47743,-4.93599,-5.65038,27.89371,-12.42701,TEX_LON,TEX_ISL,Texas,D1,BIG12,20240326-Texas-1,326e0910-ebc9-11ee-a812-0b8f3ab81d61,90.39218,,,7.84951,,,,,,,e6f3c5d6-8c01-4867-a410-fdd480dea5d2,2024-03-26,23:33:05.49,2024-03-26T18:33:05.4913256-05:00,2024-03-26T23:33:05.4913256Z,,v3,471466,4764,26 March 2024 19:30-tamucc@texas,"Schuessler, Kimble",694645,Right,TEX_LON,61c4be3b-0e7e-4163-a75c-ef0c394ebedd,54.64229,-133.4513,13.94686,5.99665,-4.50211,-6.2135,-1.63264,7.36193,-2.82519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-26,18:33:26.62,1,3,"Selvig, Cole",806217,Right,TEX_LON,"Webb, Isaac",805991,Right,TEX_ISL,Undefined,1,Top,0,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.05548,-2.596768,-1.615556,2148.180452,196.194375,12:30,6.01237,1.50402,5.72976,-14.46064,19.81422,5.40488,2.38606,0.4493,82.47649,-5.374388,-0.648914,0.421366,73.766,80.215977,135.425508,5034.331206,,,,,12.26769,,,-3.25654,11.24497,-1.3726,50,5.78683,3.48494,-131.96257,-6.39954,-5.68537,30.68775,-12.54223,TEX_LON,TEX_ISL,Texas,D1,BIG12,20240326-Texas-1,3ef19e40-ebc9-11ee-a812-0b8f3ab81d61,89.45304,63.94761,,8.579,,,,1.99534,2.67886,-0.52445,e6f3c5d6-8c01-4867-a410-fdd480dea5d2,2024-03-26,23:33:26.62,2024-03-26T18:33:26.6259688-05:00,2024-03-26T23:33:26.6259688Z,,v3,471466,4764,26 March 2024 19:30-tamucc@texas,"Schuessler, Kimble",694645,Right,TEX_LON,43cf0023-d265-441e-9705-988f4970bff6,54.77289,-133.06787,15.34388,6.00919,-5.9478,-6.27112,-1.5018,3.68971,-2.84269,351.419546,1.99534,-13.09651,-7.50387,2.37751,-0.61301,0.15217,-0.03773,0.00837,-0.00118,2.67886,106.61636,-30.44221,4.24428,-0.94199,0.20099,-0.04661,0.0102,-0.00153,-0.52445,12.90341,-3.98982,0.48233,-0.03686,-0.00205,0.00187,-0.00079,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2024-03-26,18:33:53.13,1,4,"Selvig, Cole",806217,Right,TEX_LON,"Webb, Isaac",805991,Right,TEX_ISL,Undefined,1,Top,0,2,1,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,88.15637,-2.799026,-2.90227,2371.353095,186.329852,12:15,6.04342,1.46438,5.72056,-25.7862,10.77942,1.05819,1.28169,-1.15339,80.38853,-7.576106,-2.713169,0.435219,,,,,,,,,,,,-1.40508,6.69142,-1.22215,50,5.79308,6.42644,-127.64981,-7.1186,-2.30206,28.00093,-21.21094,TEX_LON,TEX_ISL,Texas,D1,BIG12,20240326-Texas-1,4ecfd020-ebc9-11ee-a812-0b8f3ab81d61,86.60571,,,7.76785,,,,,,,e6f3c5d6-8c01-4867-a410-fdd480dea5d2,2024-03-26,23:33:53.13,2024-03-26T18:33:53.1314408-05:00,2024-03-26T23:33:53.1314408Z,,v3,471466,4764,26 March 2024 19:30-tamucc@texas,"Schuessler, Kimble",694645,Right,TEX_LON,0fafab8f-bd5e-4357-b6c1-f2df0107e5e0,54.78178,-128.69445,14.00046,6.04389,-6.32727,-10.60547,-1.46351,6.51232,-1.15103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-26,18:34:09.76,1,5,"Selvig, Cole",806217,Right,TEX_LON,"Webb, Isaac",805991,Right,TEX_ISL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.29914,-2.945316,-2.927401,2132.915333,194.873895,12:30,6.02019,1.583,6.13285,-15.48709,17.90312,4.46453,2.0011,-0.7533,83.38182,-5.902352,-2.124093,0.415892,85.61481,21.448433,2.163097,3310.660928,109.66959,38.45043,8.5169,292.53919,289.46599,8.845585,4.025777,-3.15725,10.44276,-1.36143,50,5.78657,6.58544,-132.35816,-7.25438,-5.58753,28.87381,-13.69289,TEX_LON,TEX_ISL,Texas,D1,BIG12,20240326-Texas-1,58ade7d0-ebc9-11ee-a812-0b8f3ab81d61,90.63027,46.74698,,7.91732,,,,1.71049,2.06464,0.7272,e6f3c5d6-8c01-4867-a410-fdd480dea5d2,2024-03-26,23:34:09.76,2024-03-26T18:34:09.7694440-05:00,2024-03-26T23:34:09.7694440Z,LineDrive,v3,471466,4764,26 March 2024 19:30-tamucc@texas,"Schuessler, Kimble",694645,Right,TEX_LON,17f94303-82e2-4882-86ba-3d95ed0eae49,54.37137,-133.30836,14.4369,6.01789,-6.80376,-6.84645,-1.58117,6.76931,-2.79376,195.702759,1.71013,116.79857,-21.86861,4.92928,-1.06435,0.22049,-0.03777,0.00407,-0.00018,2.06504,45.90283,-11.55804,-0.41845,0.26226,-0.07988,0.01445,-0.00099,-2E-05,0.72727,4.40979,2.83653,-0.50619,0.09035,-0.01834,0.00348,-0.00039,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2024-03-26,18:34:48.58,2,1,"Selvig, Cole",806217,Right,TEX_LON,"Trinidad, Sebastian",1000098292,Right,TEX_ISL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.14132,-2.881736,-2.524374,2026.477978,202.875494,12:45,5.99248,1.52637,5.96899,-16.39359,16.42103,6.49492,1.94948,-0.27456,84.52439,-5.981434,-1.358343,0.412292,,,,,,,,,,,,-4.00977,9.52048,-1.32968,50,5.75438,5.61163,-133.63885,-7.23034,-7.27481,27.93148,-14.90139,TEX_LON,TEX_ISL,Texas,D1,BIG12,20240326-Texas-1,6fd52ea0-ebc9-11ee-a812-0b8f3ab81d61,91.42166,,,7.61694,,,,,,,e6f3c5d6-8c01-4867-a410-fdd480dea5d2,2024-03-26,23:34:48.58,2024-03-26T18:34:48.5854440-05:00,2024-03-26T23:34:48.5854440Z,,v3,471466,4764,26 March 2024 19:30-tamucc@texas,"Schuessler, Kimble",694645,Right,TEX_LON,e5124986-3e8d-46da-ba86-143f0ab683d9,54.53447,-134.58325,13.96574,5.99033,-6.72651,-7.4507,-1.52357,5.8576,-3.63741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-26,18:35:02.71,2,2,"Selvig, Cole",806217,Right,TEX_LON,"Trinidad, Sebastian",1000098292,Right,TEX_ISL,Undefined,1,Top,1,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,88.02998,-2.27477,-3.84931,2413.435853,170.53798,11:45,5.99175,1.41257,5.55907,-26.89749,9.81406,-1.4415,1.61886,-2.30969,80.75814,-7.220828,-4.105552,0.436087,,,,,,,,,,,,-0.34543,5.95957,-1.07838,50,5.77695,8.63733,-127.43948,-6.01659,-0.56799,26.22197,-22.37454,TEX_LON,TEX_ISL,Texas,D1,BIG12,20240326-Texas-1,78413fc0-ebc9-11ee-a812-0b8f3ab81d61,86.43337,,,7.27184,,,,,,,e6f3c5d6-8c01-4867-a410-fdd480dea5d2,2024-03-26,23:35:02.71,2024-03-26T18:35:02.7151080-05:00,2024-03-26T23:35:02.7151080Z,,v3,471466,4764,26 March 2024 19:30-tamucc@texas,"Schuessler, Kimble",694645,Right,TEX_LON,e4db8aff-4a03-460c-b7bc-bb292ab1d594,54.94352,-128.45263,13.11098,5.99272,-5.1521,-11.18727,-1.41252,8.65928,-0.28399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-26,18:35:17.28,2,3,"Selvig, Cole",806217,Right,TEX_LON,"Trinidad, Sebastian",1000098292,Right,TEX_ISL,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.79205,-3.774784,-1.019445,2129.503628,186.23502,12:15,5.98467,1.57115,5.88039,-13.8167,19.40918,2.00457,1.32173,0.79127,84.13979,-6.407318,-0.659777,0.414868,,,,,,,,,,,,-1.30181,11.28107,-1.48989,50,5.67104,2.28083,-133.07929,-9.17055,-2.33931,28.01423,-11.90218,TEX_LON,TEX_ISL,Texas,D1,BIG12,20240326-Texas-1,80e96f80-ebc9-11ee-a812-0b8f3ab81d61,90.8541,,,7.65226,,,,,,,e6f3c5d6-8c01-4867-a410-fdd480dea5d2,2024-03-26,23:35:17.28,2024-03-26T18:35:17.2889320-05:00,2024-03-26T23:35:17.2889320Z,,v3,471466,4764,26 March 2024 19:30-tamucc@texas,"Schuessler, Kimble",694645,Right,TEX_LON,7341d383-180a-494e-8eb3-492bb63e535c,54.62265,-134.04886,14.00711,5.9813,-8.75862,-5.95109,-1.57023,2.3618,-1.16966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-26,18:35:37.97,2,4,"Selvig, Cole",806217,Right,TEX_LON,"Trinidad, Sebastian",1000098292,Right,TEX_ISL,Undefined,1,Top,1,2,1,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.63369,-1.806391,-2.816232,2491.240989,149.160863,11:00,5.94616,1.69605,5.5054,-28.4475,8.69339,-4.46953,1.88339,-1.31261,80.15855,-7.038365,-3.611414,0.438629,,,,,,,,,,,,1.43543,5.28366,-1.44673,50,5.76912,6.44266,-126.97918,-5.02045,2.33557,26.83497,-23.57706,TEX_LON,TEX_ISL,Texas,D1,BIG12,20240326-Texas-1,8d4fdfc0-ebc9-11ee-a812-0b8f3ab81d61,85.93231,,,7.47513,,,,,,,e6f3c5d6-8c01-4867-a410-fdd480dea5d2,2024-03-26,23:35:37.97,2024-03-26T18:35:37.9754216-05:00,2024-03-26T23:35:37.9754216Z,,v3,471466,4764,26 March 2024 19:30-tamucc@texas,"Schuessler, Kimble",694645,Right,TEX_LON,60dfebf0-22a2-4a25-904c-b879e6d3cef2,54.99656,-128.03077,13.41749,5.94776,-4.09653,-11.78853,-1.69741,6.35114,1.16779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-26,18:35:57.47,2,5,"Selvig, Cole",806217,Right,TEX_LON,"Trinidad, Sebastian",1000098292,Right,TEX_ISL,Undefined,1,Top,1,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.26163,0.095846,-0.954937,2566.367297,86.505585,9:00,5.75334,1.82368,5.47385,-44.11935,0.36677,-18.56619,2.16644,-0.61728,73.18838,-7.970173,-4.263644,0.480047,,,,,,,,,,,,9.01186,0.64319,-1.72694,50,5.73202,2.69718,-116.44577,-1.32378,12.232,24.20444,-31.30103,TEX_LON,TEX_ISL,Texas,D1,BIG12,20240326-Texas-1,98e8ede0-ebc9-11ee-a812-0b8f3ab81d61,78.51824,,,7.07325,,,,,,,e6f3c5d6-8c01-4867-a410-fdd480dea5d2,2024-03-26,23:35:57.47,2024-03-26T18:35:57.4758120-05:00,2024-03-26T23:35:57.4758120Z,,v3,471466,4764,26 March 2024 19:30-tamucc@texas,"Schuessler, Kimble",694645,Right,TEX_LON,13f5d897-739b-4f6a-8f4c-24af47fe200e,55.02972,-117.48659,12.10222,5.76001,0.02221,-15.65052,-1.83161,2.17119,6.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
