PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-26,18:35:57.16,1,1,"Carlson, Cade",1000090521,Right,SAL_JAG,"LaPread, Ali",1000081973,Right,ALA_HOR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.97022,-3.092684,-1.407747,2434.789491,190.392893,12:15,6.32187,0.71937,5.37059,-12.12174,23.51257,4.07886,2.40836,-0.26088,81.39879,-5.446268,-0.683164,0.429641,,,,,,,,,,,,-2.46378,13.07942,-0.59608,50,6.03619,3.01088,-130.22547,-7.3481,-4.19087,29.7619,-9.92595,SAL_JAG,ALA_HOR,USouthAlabama,D1,SBELT,20240326-USouthAlabama-1,98b44950-ebc9-11ee-901d-093154b99caa,87.73012,,,8.57143,,,,,,,5511febf-4c92-45ec-9b15-6a48ba9d52c7,2024-03-26,23:35:57.16,2024-03-26T18:35:57.1635784-05:00,2024-03-26T23:35:57.1635784Z,,v3,471440,4765,26 March 2024 19:30-alabamast@salabama,"Mathews, Duncan",10053145,Right,SAL_JAG,85234c11-bb05-4a9c-ba18-4d19cb630f8a,55.12536,-131.39161,14.88095,6.31649,-6.95918,-4.96298,-0.71727,3.17509,-2.09543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-26,18:36:09.44,1,2,"Carlson, Cade",1000090521,Right,SAL_JAG,"LaPread, Ali",1000081973,Right,ALA_HOR,Undefined,1,Top,0,0,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,81.83404,-0.43318,-0.716399,2585.698116,124.047433,10:15,6.22854,0.60216,5.225,-38.87301,3.81866,-3.7002,2.58184,-0.37973,75.26053,-7.510948,-1.373152,0.470266,72.22671,-34.16309,-37.335602,,,,,6.48156,6.48156,-19.200339,0.046412,1.66847,2.38055,-0.53317,50,6.15934,1.63731,-118.81998,-2.27921,2.38744,22.57025,-28.76767,SAL_JAG,ALA_HOR,USouthAlabama,D1,SBELT,20240326-USouthAlabama-1,a002b570-ebc9-11ee-901d-093154b99caa,80.15139,2.77136,,6.57351,,,,2.87416,2.77136,0.34503,5511febf-4c92-45ec-9b15-6a48ba9d52c7,2024-03-26,23:36:09.44,2024-03-26T18:36:09.4457928-05:00,2024-03-26T23:36:09.4457928Z,GroundBall,v3,471440,4765,26 March 2024 19:30-alabamast@salabama,"Mathews, Duncan",10053145,Right,SAL_JAG,4a4cd1e2-797b-4c6b-8b47-dca9239048e4,55.27566,-119.81792,11.28513,6.23199,-1.00726,-14.38384,-0.60323,1.53175,1.19372,,2.87219,69.9567,,,,,,,,2.77305,-59.71182,,,,,,,,0.34653,-53.36145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
3,2024-03-26,18:36:41.37,2,1,"Carlson, Cade",1000090521,Right,SAL_JAG,"George, Jamal",1000222535,Right,ALA_HOR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.03315,-2.719301,-1.312339,2424.920053,190.080442,12:15,6.4635,0.29855,5.17447,-11.45221,24.37675,4.10622,2.94765,-0.59441,81.39625,-4.951255,-0.585547,0.430813,78.89091,52.723844,122.046633,4917.838135,,,,,66.2626,,,-2.45866,13.37804,-0.1797,50,6.20244,2.79591,-130.34988,-6.49644,-4.18686,30.02155,-9.39274,SAL_JAG,ALA_HOR,USouthAlabama,D1,SBELT,20240326-USouthAlabama-1,b30fb910-ebc9-11ee-901d-093154b99caa,87.49145,71.67047,,8.6369,,,,1.32602,3.09602,0.67353,5511febf-4c92-45ec-9b15-6a48ba9d52c7,2024-03-26,23:36:41.37,2024-03-26T18:36:41.3765192-05:00,2024-03-26T23:36:41.3765192Z,,v3,471440,4765,26 March 2024 19:30-alabamast@salabama,"Mathews, Duncan",10053145,Right,SAL_JAG,6c7cd85f-8dae-4eab-822d-39d9dafc27fd,55.32338,-131.57022,15.01078,6.45875,-6.11464,-4.69637,-0.29681,2.9661,-2.09343,319.484643,1.32602,-37.18422,-4.20425,2.22466,-1.57034,2.75873,-3.33728,2.03501,-0.48815,3.09602,92.07074,-28.86407,3.64744,-0.74922,0.15909,-0.01045,-0.02355,0.0095,0.67353,59.39983,-13.10055,3.78951,-1.81955,2.7925,-3.30777,2.00133,-0.47771,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2024-03-26,18:36:55.69,2,2,"Carlson, Cade",1000090521,Right,SAL_JAG,"George, Jamal",1000222535,Right,ALA_HOR,Undefined,1,Top,1,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.33369,-1.49396,-0.720393,2424.250888,191.094345,12:15,6.39972,0.53419,5.23228,-13.44698,21.99226,4.06866,3.87438,0.19604,81.66227,-4.083726,0.000793,0.428463,69.65856,45.383257,147.795159,3907.253973,,,,,65.75836,,,-2.25307,11.80103,-0.47104,50,6.25289,1.45639,-130.91382,-3.80508,-3.87171,30.16855,-11.89495,SAL_JAG,ALA_HOR,USouthAlabama,D1,SBELT,20240326-USouthAlabama-1,bb9f09a0-ebc9-11ee-901d-093154b99caa,87.97126,52.64372,,8.67142,,,,0.84622,3.92365,-0.15674,5511febf-4c92-45ec-9b15-6a48ba9d52c7,2024-03-26,23:36:55.69,2024-03-26T18:36:55.6948040-05:00,2024-03-26T23:36:55.6948040Z,,v3,471440,4765,26 March 2024 19:30-alabamast@salabama,"Mathews, Duncan",10053145,Right,SAL_JAG,53c7db11-2709-4f3b-bd6d-98ef6a74497a,55.26481,-132.12151,15.08428,6.39568,-3.32891,-5.94748,-0.53245,1.61138,-1.93585,316.290615,0.84622,-60.71761,1.1012,0.63207,0.20937,-0.5942,0.44675,-0.14975,0.01824,3.92365,72.72363,-26.52463,3.01857,-0.53013,0.08299,-0.10596,0.09514,-0.02704,-0.15674,38.24251,-9.40539,2.26688,-0.06855,-0.43437,0.24684,-0.02173,-0.01286,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2024-03-26,18:37:11.78,2,3,"Carlson, Cade",1000090521,Right,SAL_JAG,"George, Jamal",1000222535,Right,ALA_HOR,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.2112,-1.116698,-2.644632,2477.729684,193.379714,12:30,6.31991,0.3931,5.37523,-15.28615,20.11375,4.48953,3.9979,-1.71391,81.53688,-4.039188,-1.848051,0.428226,,,,,,,,,,,,-3.03847,10.75898,-0.15925,50,6.20939,5.82347,-130.63118,-3.00331,-5.20239,29.86448,-13.75278,SAL_JAG,ALA_HOR,USouthAlabama,D1,SBELT,20240326-USouthAlabama-1,c5339530-ebc9-11ee-901d-093154b99caa,88.02006,,,8.67432,,,,,,,5511febf-4c92-45ec-9b15-6a48ba9d52c7,2024-03-26,23:37:11.78,2024-03-26T18:37:11.7810248-05:00,2024-03-26T23:37:11.7810248Z,,v3,471440,4765,26 March 2024 19:30-alabamast@salabama,"Mathews, Duncan",10053145,Right,SAL_JAG,d6f12204-f23b-486e-ad28-a5d18a7cadd9,55.12009,-131.79652,14.93224,6.31612,-2.46666,-6.87639,-0.39045,6.02647,-2.60119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-26,18:37:25.48,2,4,"Carlson, Cade",1000090521,Right,SAL_JAG,"George, Jamal",1000222535,Right,ALA_HOR,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.02743,-3.675632,-1.896334,2504.332975,189.59851,12:15,6.35156,0.43281,5.29934,-15.99965,19.91537,3.14177,1.56081,-1.08636,81.20911,-6.711429,-1.338961,0.43133,,,,,,,,,,,,-2.17181,11.51276,-0.26274,50,6.00582,4.16133,-130.11477,-8.85564,-3.66971,30.96024,-12.72094,SAL_JAG,ALA_HOR,USouthAlabama,D1,SBELT,20240326-USouthAlabama-1,cd6116b0-ebc9-11ee-901d-093154b99caa,87.3866,,,8.81832,,,,,,,5511febf-4c92-45ec-9b15-6a48ba9d52c7,2024-03-26,23:37:25.48,2024-03-26T18:37:25.4890000-05:00,2024-03-26T23:37:25.4890000Z,,v3,471440,4765,26 March 2024 19:30-alabamast@salabama,"Mathews, Duncan",10053145,Right,SAL_JAG,f7d5ea1f-a8b4-4f8d-a58e-29167d86e5f1,55.19615,-131.34535,15.48012,6.34776,-8.35002,-6.36047,-0.43104,4.30719,-1.83486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.49788,,,1.053809,,,,-0.40845,5.0573,1.19127,69.53259,7.02307,-55.25364,-0.30774,71.87078,-5.267,5.14987,16.83996,-14.24983,1.08206,-58.99192,5.20283,High,High,High,,,High,High,High
7,2024-03-26,18:37:53.13,3,1,"Carlson, Cade",1000090521,Right,SAL_JAG,"Flores, Randy",809389,Left,ALA_HOR,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,1,,90.62365,-3.297323,-1.004913,2453.868526,193.154128,12:30,6.33916,0.55585,5.36186,-13.82666,21.42426,4.70469,2.091,0.00546,81.79172,-5.952648,-0.168906,0.427323,101.24469,31.001325,2.798201,3179.496814,109.97164,64.4049,2.49616,360.26939,360.19203,-2.584125,5.53607,-2.68508,12.17946,-0.4691,50,6.03356,2.08438,-131.141,-7.95755,-4.61282,31.22972,-11.25039,SAL_JAG,ALA_HOR,USouthAlabama,D1,SBELT,20240326-USouthAlabama-1,dddbd6b0-ebc9-11ee-901d-093154b99caa,88.20594,99.20118,,8.83193,,,,1.99087,2.16258,0.01027,5511febf-4c92-45ec-9b15-6a48ba9d52c7,2024-03-26,23:37:53.13,2024-03-26T18:37:53.1379272-05:00,2024-03-26T23:37:53.1379272Z,FlyBall,v3,471440,4765,26 March 2024 19:30-alabamast@salabama,"Mathews, Duncan",10053145,Right,SAL_JAG,5dfda083-de98-41e7-b04e-e80469d7e673,55.13534,-132.35827,15.61486,6.33519,-7.51903,-5.6252,-0.55385,2.26418,-2.30641,168.022714,1.99221,127.10248,-27.89679,6.67167,-1.36088,0.23969,-0.03457,0.00337,-0.00015,2.16565,76.42496,-16.4656,0.56433,0.08503,-0.07374,0.02091,-0.0027,0.00013,0.01031,6.21016,-4.79266,1.3129,-0.26261,0.03625,-0.00306,0.00014,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2024-03-26,18:40:50.67,1,1,"Brooks, Devin",809399,Right,ALA_HOR,"Turner, Will",1000051665,Left,SAL_JAG,Undefined,1,Bottom,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.48264,0.066988,-1.085119,2267.591113,246.637787,2:15,4.75109,2.1332,5.98801,-30.26895,7.48965,14.18705,2.29077,2.30963,77.9765,-5.600484,1.467135,0.442262,,,,,,,,,,,,-7.58642,4.23886,-2.0551,50,4.73999,1.78365,-125.46247,-0.84,-11.89317,29.28034,-25.52883,SAL_JAG,ALA_HOR,USouthAlabama,D1,SBELT,20240326-USouthAlabama-1,47aa7a60-ebca-11ee-901d-093154b99caa,85.22654,,,8.50615,,,,,,,5511febf-4c92-45ec-9b15-6a48ba9d52c7,2024-03-26,23:40:50.67,2024-03-26T18:40:50.6709064-05:00,2024-03-26T23:40:50.6709064Z,,v3,471440,4765,26 March 2024 19:30-alabamast@salabama,"George, Jamal",1000222535,Right,ALA_HOR,a04f8ba0-cfe7-4faf-9a2c-b6d0e11aaa25,54.50858,-126.5103,14.64017,4.7537,0.07358,-12.76442,-2.12655,2.20926,-5.94658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-26,18:41:07.88,1,2,"Brooks, Devin",809399,Right,ALA_HOR,"Turner, Will",1000051665,Left,SAL_JAG,Undefined,1,Bottom,0,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.45824,-0.868118,-4.040077,2320.184619,249.278952,2:15,4.70572,1.79994,6.15502,-31.41293,5.90091,12.31032,1.28387,-0.91302,78.78998,-6.718395,-1.825119,0.439649,,,,,,,,,,,,-7.48713,3.71264,-1.49835,50,4.62381,8.34794,-125.29363,-2.91809,-11.84084,26.52577,-26.30252,SAL_JAG,ALA_HOR,USouthAlabama,D1,SBELT,20240326-USouthAlabama-1,51f33ac0-ebca-11ee-901d-093154b99caa,85.733,,,7.66826,,,,,,,5511febf-4c92-45ec-9b15-6a48ba9d52c7,2024-03-26,23:41:07.88,2024-03-26T18:41:07.8824008-05:00,2024-03-26T23:41:07.8824008Z,,v3,471440,4765,26 March 2024 19:30-alabamast@salabama,"George, Jamal",1000222535,Right,ALA_HOR,422a51b3-be7f-4c2f-9b9a-705dc5cbe774,54.34277,-126.20968,13.26288,4.7089,-2.00974,-13.15126,-1.7937,8.75686,-5.92042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-26,18:41:20.95,1,3,"Brooks, Devin",809399,Right,ALA_HOR,"Turner, Will",1000051665,Left,SAL_JAG,Undefined,1,Bottom,0,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.51062,-1.262452,-1.749488,2327.015641,249.227131,2:15,4.66596,1.91305,6.18978,-32.78388,4.43201,8.35504,0.76763,0.99352,78.77277,-7.364753,-0.239813,0.439072,,,,,,,,,,,,-4.87851,3.04437,-1.78535,50,4.5543,3.50929,-125.59711,-3.82145,-7.71548,27.79092,-27.3593,SAL_JAG,ALA_HOR,USouthAlabama,D1,SBELT,20240326-USouthAlabama-1,59b10a80-ebca-11ee-901d-093154b99caa,85.8457,,,7.73786,,,,,,,5511febf-4c92-45ec-9b15-6a48ba9d52c7,2024-03-26,23:41:20.95,2024-03-26T18:41:20.9586248-05:00,2024-03-26T23:41:20.9586248Z,,v3,471440,4765,26 March 2024 19:30-alabamast@salabama,"George, Jamal",1000222535,Right,ALA_HOR,abb4319b-4324-4f6c-be5f-0b7330b8a0de,54.30949,-126.54708,13.89546,4.66894,-2.88623,-13.67965,-1.90981,3.77303,-3.85774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
