PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-26,18:06:40.21,1,1,"Kysar, Ryan",694982,Right,SAN_TOR,"Lopez, Eli",1000138472,Right,CAL_FUL,Undefined,1,Top,0,0,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN_TOR,CAL_FUL,UofSanDiego,D1,WCC,20240326-UofSanDiego-1,ffd84450-ec56-11ee-b434-e335de11a9df,,,,,,,,,,,aba1e34c-cfda-41c8-92c3-cc1bb1e02c56,2024-03-27,01:06:40.21,2024-03-26T18:06:40.2150000-07:00,2024-03-27T01:06:40.2150000Z,,v3,5320,471254,26 March 2024 21:05-calstfull@sandiego,"Armas, Ariel",1000114054,Right,SAN_TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-03-26,18:06:45.21,1,2,"Kysar, Ryan",694982,Right,SAN_TOR,"Lopez, Eli",1000138472,Right,CAL_FUL,Undefined,1,Top,0,1,0,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN_TOR,CAL_FUL,UofSanDiego,D1,WCC,20240326-UofSanDiego-1,ffd84451-ec56-11ee-b434-e335de11a9df,,,,,,,,,,,aba1e34c-cfda-41c8-92c3-cc1bb1e02c56,2024-03-27,01:06:45.21,2024-03-26T18:06:45.2150000-07:00,2024-03-27T01:06:45.2150000Z,,v3,5320,471254,26 March 2024 21:05-calstfull@sandiego,"Armas, Ariel",1000114054,Right,SAN_TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-03-26,18:06:50.21,1,3,"Kysar, Ryan",694982,Right,SAN_TOR,"Lopez, Eli",1000138472,Right,CAL_FUL,Undefined,1,Top,0,1,1,Undefined,,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN_TOR,CAL_FUL,UofSanDiego,D1,WCC,20240326-UofSanDiego-1,ffd84452-ec56-11ee-b434-e335de11a9df,,,,,,,,,,,aba1e34c-cfda-41c8-92c3-cc1bb1e02c56,2024-03-27,01:06:50.21,2024-03-26T18:06:50.2150000-07:00,2024-03-27T01:06:50.2150000Z,,v3,5320,471254,26 March 2024 21:05-calstfull@sandiego,"Armas, Ariel",1000114054,Right,SAN_TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-03-26,18:06:55.21,1,4,"Kysar, Ryan",694982,Right,SAN_TOR,"Lopez, Eli",1000138472,Right,CAL_FUL,Undefined,1,Top,0,1,2,Undefined,,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN_TOR,CAL_FUL,UofSanDiego,D1,WCC,20240326-UofSanDiego-1,ffd84453-ec56-11ee-b434-e335de11a9df,,,,,,,,,,,aba1e34c-cfda-41c8-92c3-cc1bb1e02c56,2024-03-27,01:06:55.21,2024-03-26T18:06:55.2150000-07:00,2024-03-27T01:06:55.2150000Z,,v3,5320,471254,26 March 2024 21:05-calstfull@sandiego,"Armas, Ariel",1000114054,Right,SAN_TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-03-26,18:07:00.21,2,1,"Kysar, Ryan",694982,Right,SAN_TOR,"Latta, Maddox",1000138482,Right,CAL_FUL,Undefined,1,Top,1,0,0,Undefined,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN_TOR,CAL_FUL,UofSanDiego,D1,WCC,20240326-UofSanDiego-1,ffd86b60-ec56-11ee-b434-e335de11a9df,,,,,,,,,,,aba1e34c-cfda-41c8-92c3-cc1bb1e02c56,2024-03-27,01:07:00.21,2024-03-26T18:07:00.2150000-07:00,2024-03-27T01:07:00.2150000Z,,v3,5320,471254,26 March 2024 21:05-calstfull@sandiego,"Armas, Ariel",1000114054,Right,SAN_TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-03-26,18:07:05.21,2,2,"Kysar, Ryan",694982,Right,SAN_TOR,"Latta, Maddox",1000138482,Right,CAL_FUL,Undefined,1,Top,1,0,1,Curveball,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,76.74312,-0.255831,0.995789,2659.120601,50.069063,7:45,6.16951,0.43811,5.12047,-58.92743,-10.09934,-13.85851,1.01786,0.22139,71.00307,-10.843095,-1.466468,0.502929,78.5072,-16.279526,-15.453304,,,,,6.0221,6.0221,-12.324475,0.0355,7.23119,-4.58571,-0.52041,50,6.09891,-1.39666,-111.4646,-2.56608,9.07722,20.45266,-37.93046,SAN_TOR,CAL_FUL,UofSanDiego,D1,WCC,20240326-UofSanDiego-1,53ef6270-ebd6-11ee-bc42-65f9c4240a26,74.94591,1.14729,,5.74006,,,,2.09672,1.14729,-0.23861,aba1e34c-cfda-41c8-92c3-cc1bb1e02c56,2024-03-27,01:07:05.21,2024-03-26T18:07:05.2150000-07:00,2024-03-27T01:07:05.2150000Z,GroundBall,v3,5320,471254,26 March 2024 21:05-calstfull@sandiego,"Armas, Ariel",1000114054,Right,SAN_TOR,02bc700b-c7aa-48ed-9b4f-026984301200,55.38704,-112.44872,10.22633,6.17847,-0.74097,-18.96523,-0.4427,-1.83343,4.53861,,2.09595,106.66578,,,,,,,,1.14752,-32.31826,,,,,,,,-0.2384,-29.48744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,2024-03-26,18:07:42.81,3,1,"Kysar, Ryan",694982,Right,SAN_TOR,"Rosales, Marcos",10120475,Right,CAL_FUL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.51485,-2.48097,-1.378442,2027.022286,208.771544,1:00,6.17743,0.51372,5.56516,-14.63426,21.47391,11.15658,2.63793,0.15537,80.97938,-5.27122,0.611212,0.432488,,,,,,,,,,,,-6.0363,11.90339,-0.40233,50,5.95379,2.60701,-128.41686,-5.98604,-10.09173,26.2999,-12.27355,SAN_TOR,CAL_FUL,UofSanDiego,D1,WCC,20240326-UofSanDiego-1,6a50c130-ebd6-11ee-bc42-65f9c4240a26,87.15257,,,7.53546,,,,,,,aba1e34c-cfda-41c8-92c3-cc1bb1e02c56,2024-03-27,01:07:42.81,2024-03-26T18:07:42.8120000-07:00,2024-03-27T01:07:42.8120000Z,,v3,5320,471254,26 March 2024 21:05-calstfull@sandiego,"Armas, Ariel",1000114054,Right,SAN_TOR,d327a65d-bf7f-4356-82ce-c5d6b8db8c24,54.93786,-129.42419,13.14995,6.17406,-5.51595,-6.13678,-0.50958,2.99354,-5.04586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-26,18:08:04.83,3,2,"Kysar, Ryan",694982,Right,SAN_TOR,"Rosales, Marcos",10120475,Right,CAL_FUL,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.49366,-1.802458,-0.942837,2082.513488,203.615668,12:45,6.24695,0.54044,5.45333,-14.79292,21.47548,8.77182,3.32594,0.38865,79.99044,-4.669193,0.618447,0.433447,,,,,,,,,,,,-4.68351,11.76532,-0.46322,50,6.07812,1.72067,-129.50638,-4.47686,-7.78021,32.55973,-12.62959,SAN_TOR,CAL_FUL,UofSanDiego,D1,WCC,20240326-UofSanDiego-1,7773f1c0-ebd6-11ee-bc42-65f9c4240a26,86.95979,,,9.50322,,,,,,,aba1e34c-cfda-41c8-92c3-cc1bb1e02c56,2024-03-27,01:08:04.83,2024-03-26T18:08:04.8300000-07:00,2024-03-27T01:08:04.8300000Z,,v3,5320,471254,26 March 2024 21:05-calstfull@sandiego,"Armas, Ariel",1000114054,Right,SAN_TOR,43c61e41-a875-4490-9ad2-db15da4f0ed7,55.0435,-130.76823,16.27987,6.24214,-3.9874,-6.31479,-0.53575,2.02219,-3.8901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-26,18:08:26.44,3,3,"Kysar, Ryan",694982,Right,SAN_TOR,"Rosales, Marcos",10120475,Right,CAL_FUL,Undefined,1,Top,2,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.18864,0.092536,-1.685144,2327.216765,88.712686,9:00,6.20486,0.51552,5.05631,-44.61207,1.55787,-12.49194,2.5745,-2.11526,71.73806,-8.057507,-3.892803,0.489048,,,,,,,,,,,,5.53756,1.30016,-0.34473,50,6.17888,3.95086,-115.93447,-1.42053,7.3121,27.69057,-30.45722,SAN_TOR,CAL_FUL,UofSanDiego,D1,WCC,20240326-UofSanDiego-1,845a6770-ebd6-11ee-bc42-65f9c4240a26,77.07314,,,8.45058,,,,,,,aba1e34c-cfda-41c8-92c3-cc1bb1e02c56,2024-03-27,01:08:26.44,2024-03-26T18:08:26.4490000-07:00,2024-03-27T01:08:26.4490000Z,,v3,5320,471254,26 March 2024 21:05-calstfull@sandiego,"Armas, Ariel",1000114054,Right,SAN_TOR,ff63e558-e747-42f0-8ef6-755a80d44ffd,55.44204,-117.22708,13.84529,6.212,0.00122,-15.22861,-0.52119,3.60953,3.65605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-26,18:08:47.60,3,4,"Kysar, Ryan",694982,Right,SAN_TOR,"Rosales, Marcos",10120475,Right,CAL_FUL,Undefined,1,Top,2,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.75317,-3.751223,-3.575009,2121.795057,213.551527,1:00,6.19091,0.54072,5.54675,-19.08099,16.38627,9.91654,1.08315,-1.97837,81.09169,-7.362219,-1.810596,0.428633,,,,,,,,,,,,-6.26729,10.00032,-0.23737,50,5.85272,7.72643,-130.90729,-9.20969,-10.59958,34.16646,-15.26095,SAN_TOR,CAL_FUL,UofSanDiego,D1,WCC,20240326-UofSanDiego-1,90f15d90-ebd6-11ee-bc42-65f9c4240a26,87.93649,,,9.66148,,,,,,,aba1e34c-cfda-41c8-92c3-cc1bb1e02c56,2024-03-27,01:08:47.60,2024-03-26T18:08:47.6040000-07:00,2024-03-27T01:08:47.6040000Z,,v3,5320,471254,26 March 2024 21:05-calstfull@sandiego,"Armas, Ariel",1000114054,Right,SAN_TOR,c6499571-ab6f-4691-a03f-072bb59aaa36,54.9524,-132.19354,17.08323,6.18862,-8.63517,-7.63048,-0.53575,8.12546,-5.29979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
