PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-28,13:06:48.02,1,1,"Hansen, Benjamin",1000048598,Right,BYU_COU,"Nett, John",823134,Right,KAN_JAY,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.16767,-1.594283,-3.473852,1938.832866,222.417399,1:30,5.50298,1.84426,7.12161,-22.92608,7.52615,6.09591,2.1434,-0.80245,86.21056,-5.933037,-2.356262,0.397174,,,,,,,,,,,,-4.13362,4.71796,-1.64025,50,5.4014,8.00296,-135.46767,-4.41176,-7.76031,26.74684,-23.31674,BYU_COU,KAN_JAY,BrighamYoung,D1,BIG12,20240328-BrighamYoung-1,53dad010-ed36-11ee-ac49-8506eeea2a4e,94.90155,,,6.9571,,,,,,,083fbc6a-8c28-4dd1-ad7e-b8addcc609b3,2024-03-28,19:06:48.02,2024-03-28T13:06:48.0206622-06:00,2024-03-28T19:06:48.0206622Z,,v3,471246,471329,28 March 2024 20:00-kansas@byu,"Goff, Parker",810094,Right,BYU_COU,115cd3b2-fbc6-4802-9e8d-e881e2dab5a8,53.37824,-136.13304,13.37342,5.50394,-3.83172,-11.65837,-1.84173,8.19601,-3.88015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-28,13:07:01.49,1,2,"Hansen, Benjamin",1000048598,Right,BYU_COU,"Nett, John",823134,Right,KAN_JAY,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.60367,-1.177934,-2.675055,1946.781525,223.542366,1:30,5.5395,1.66492,7.0634,-22.01155,7.54922,6.38579,2.63429,-0.23372,87.44508,-5.348006,-1.504258,0.391318,97.99121,22.806047,66.698074,4880.159034,,,,,121.90965,,,-4.09114,4.60733,-1.50572,50,5.46144,6.19614,-137.67071,-3.45808,-7.92811,27.78148,-23.24565,BYU_COU,KAN_JAY,BrighamYoung,D1,BIG12,20240328-BrighamYoung-1,5bde8270-ed36-11ee-ac49-8506eeea2a4e,96.32183,46.36215,,7.15858,,,,-0.31947,2.34448,0.04152,083fbc6a-8c28-4dd1-ad7e-b8addcc609b3,2024-03-28,19:07:01.49,2024-03-28T13:07:01.4982942-06:00,2024-03-28T19:07:01.4982942Z,,v3,471246,471329,28 March 2024 20:00-kansas@byu,"Goff, Parker",810094,Right,BYU_COU,53f8e65b-91b6-4022-8831-c7cf96c347fd,53.43662,-138.36247,13.89074,5.54034,-2.87926,-11.62282,-1.66246,6.39355,-3.96406,,-0.31947,52.40775,-21.05759,4.84213,-1.07177,0.24346,-0.05546,0.01065,-0.00118,2.34448,55.70758,-15.00777,0.03218,0.25385,-0.11615,0.03732,-0.00854,0.00105,0.04152,121.67829,-21.85155,5.93984,-1.52673,0.3913,-0.0971,0.01979,-0.00227,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2024-03-28,13:07:25.19,1,3,"Hansen, Benjamin",1000048598,Right,BYU_COU,"Nett, John",823134,Right,KAN_JAY,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.40866,-0.693513,-5.081968,2038.108327,227.005589,1:30,5.46103,1.71177,7.24222,-22.55332,6.31937,5.95429,2.95151,-2.40286,88.52711,-4.959908,-3.99246,0.386737,,,,,,,,,,,,-4.40099,3.8302,-1.42272,50,5.41483,12.10635,-138.55423,-2.31085,-8.68531,26.54539,-24.61519,BYU_COU,KAN_JAY,BrighamYoung,D1,BIG12,20240328-BrighamYoung-1,6a01e4f0-ed36-11ee-ac49-8506eeea2a4e,97.46284,,,6.88155,,,,,,,083fbc6a-8c28-4dd1-ad7e-b8addcc609b3,2024-03-28,19:07:25.19,2024-03-28T13:07:25.1923230-06:00,2024-03-28T19:07:25.1923230Z,,v3,471246,471329,28 March 2024 20:00-kansas@byu,"Goff, Parker",810094,Right,BYU_COU,898f34be-46a5-4a6d-b193-62ebb20dcc5d,53.25814,-139.17705,13.2727,5.46227,-1.73331,-12.30759,-1.70916,12.31013,-4.34265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-28,13:07:43.12,1,4,"Hansen, Benjamin",1000048598,Right,BYU_COU,"Nett, John",823134,Right,KAN_JAY,Undefined,1,Top,0,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.5708,-1.354439,-3.457915,2041.314085,150.245377,11:00,5.46448,1.87448,6.82453,-33.99246,1.47402,-0.17673,1.39377,-1.29839,80.02346,-7.719958,-3.49015,0.428628,,,,,,,,,,,,-0.95228,1.55055,-1.65195,50,5.36519,7.68733,-127.11424,-4.01148,-1.54507,28.08744,-29.65826,BYU_COU,KAN_JAY,BrighamYoung,D1,BIG12,20240328-BrighamYoung-1,74b722c0-ed36-11ee-ac49-8506eeea2a4e,87.93744,,,7.54735,,,,,,,083fbc6a-8c28-4dd1-ad7e-b8addcc609b3,2024-03-28,19:07:43.12,2024-03-28T13:07:43.1270000-06:00,2024-03-28T19:07:43.1270000Z,,v3,471246,471329,28 March 2024 20:00-kansas@byu,"Goff, Parker",810094,Right,BYU_COU,3971d5fa-166b-4152-a557-29142930395a,53.67391,-127.92346,14.04372,5.46845,-3.157,-14.82913,-1.87407,7.73185,-0.77254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.58269,2.47729,1.573018,0.904272,1.12336,1.35384,1.31628,-0.25962,5.87092,-0.94612,72.8165,11.08627,-51.96976,-0.18094,84.73242,-4.40618,5.97022,18.57248,-14.25089,-1.09488,-61.70864,5.97691,High,High,High,,,High,High,High
5,2024-03-28,13:08:15.03,2,1,"Hansen, Benjamin",1000048598,Right,BYU_COU,"Shojinaga, Kodey",809975,Right,KAN_JAY,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.00341,-2.155019,-1.656673,1855.354638,216.243331,1:15,5.62529,1.68268,7.08152,-19.90281,9.33886,6.25115,2.00884,0.6994,88.01249,-5.930802,-0.508731,0.3892,,,,,,,,,,,,-3.77481,5.8026,-1.58532,50,5.48978,3.77283,-138.3038,-5.7559,-7.39179,27.67427,-20.8115,BYU_COU,KAN_JAY,BrighamYoung,D1,BIG12,20240328-BrighamYoung-1,87b24c10-ed36-11ee-ac49-8506eeea2a4e,96.84601,,,6.99092,,,,,,,083fbc6a-8c28-4dd1-ad7e-b8addcc609b3,2024-03-28,19:08:15.03,2024-03-28T13:08:15.0363422-06:00,2024-03-28T19:08:15.0363422Z,,v3,471246,471329,28 March 2024 20:00-kansas@byu,"Goff, Parker",810094,Right,BYU_COU,5bc47572-0f4b-408b-be53-f4988ab89a9a,53.41912,-138.98627,13.83713,5.6254,-5.24267,-10.40575,-1.68061,3.95512,-3.6959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-28,13:08:30.75,2,2,"Hansen, Benjamin",1000048598,Right,BYU_COU,"Shojinaga, Kodey",809975,Right,KAN_JAY,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.39154,-2.305267,-3.090067,2121.525598,68.00075,8:15,5.48509,1.86641,6.74526,-35.84923,-0.29248,-3.45374,0.3874,-1.24718,80.49625,-8.963211,-3.71991,0.429173,,,,,,,,,,,,0.94799,0.82165,-1.66215,50,5.31991,6.97339,-126.89639,-6.189,1.54047,26.80024,-30.8389,BYU_COU,KAN_JAY,BrighamYoung,D1,BIG12,20240328-BrighamYoung-1,91169fe0-ed36-11ee-ac49-8506eeea2a4e,87.82575,,,6.89528,,,,,,,083fbc6a-8c28-4dd1-ad7e-b8addcc609b3,2024-03-28,19:08:30.75,2024-03-28T13:08:30.7581214-06:00,2024-03-28T19:08:30.7581214Z,,v3,471246,471329,28 March 2024 20:00-kansas@byu,"Goff, Parker",810094,Right,BYU_COU,1a9dfc41-e7f6-4cf0-89d4-7650703b92a8,53.75486,-127.68694,13.40012,5.48906,-5.27931,-15.41945,-1.86718,6.92795,0.77024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-28,13:08:46.83,2,3,"Hansen, Benjamin",1000048598,Right,BYU_COU,"Shojinaga, Kodey",809975,Right,KAN_JAY,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.69543,-1.280686,-1.904258,2136.263786,206.097577,12:45,5.49594,1.8107,7.15727,-20.01871,8.89934,3.93799,2.66607,0.41222,87.9724,-5.100464,-1.180439,0.38704,87.25984,22.599947,34.257818,4968.098032,85.9875,36.47748,68.60129,271.11872,264.36599,45.825014,3.540027,-2.63016,5.39823,-1.70029,50,5.41476,4.48543,-139.28128,-3.66109,-5.18443,30.27371,-21.53333,BYU_COU,KAN_JAY,BrighamYoung,D1,BIG12,20240328-BrighamYoung-1,9aa69790-ed36-11ee-ac49-8506eeea2a4e,97.38636,40.50298,,7.72303,,,,0.37837,2.56542,-0.42947,083fbc6a-8c28-4dd1-ad7e-b8addcc609b3,2024-03-28,19:08:46.83,2024-03-28T13:08:46.8383006-06:00,2024-03-28T19:08:46.8383006Z,LineDrive,v3,471246,471329,28 March 2024 20:00-kansas@byu,"Goff, Parker",810094,Right,BYU_COU,23305f85-a609-4da5-9168-a78fbb741c8e,53.34219,-140.00584,15.13685,5.49621,-3.14572,-10.76666,-1.80913,4.60951,-2.59221,235.662825,0.37934,97.62614,-21.37252,4.5244,-0.75152,0.01625,0.01515,-0.00128,-8E-05,2.56502,49.19301,-18.13781,1.74092,-0.29894,0.03759,0.01209,-0.00548,0.00056,-0.42918,66.50298,-1.67608,-1.50945,0.6986,-0.19752,0.03217,-0.00213,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2024-03-28,13:09:26.91,2,4,"Hansen, Benjamin",1000048598,Right,BYU_COU,"Shojinaga, Kodey",809975,Right,KAN_JAY,Undefined,1,Top,1,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,88.71568,-3.473187,-3.839278,2082.020595,119.281295,10:00,5.43887,1.76148,7.02147,-31.81175,2.61748,-2.65555,-0.3794,-1.95404,81.36044,-9.413825,-4.325379,0.422314,,,,,,,,,,,,0.26386,2.75414,-1.52681,50,5.21647,8.71975,-128.59312,-8.70962,0.43764,29.0094,-27.60575,BYU_COU,KAN_JAY,BrighamYoung,D1,BIG12,20240328-BrighamYoung-1,b28c4c60-ed36-11ee-ac49-8506eeea2a4e,89.25225,,,7.35523,,,,,,,083fbc6a-8c28-4dd1-ad7e-b8addcc609b3,2024-03-28,19:09:26.91,2024-03-28T13:09:26.9100830-06:00,2024-03-28T19:09:26.9100830Z,,v3,471246,471329,28 March 2024 20:00-kansas@byu,"Goff, Parker",810094,Right,BYU_COU,8d796cb7-dd56-46a8-9b65-e0bb68f13216,53.4787,-129.3755,14.5047,5.44133,-7.96509,-13.80287,-1.76182,8.70795,0.21882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-28,13:09:45.65,2,5,"Hansen, Benjamin",1000048598,Right,BYU_COU,"Shojinaga, Kodey",809975,Right,KAN_JAY,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.1357,-1.705304,-1.529806,2050.714515,220.430834,1:15,5.48053,1.84298,7.18319,-21.47619,8.20099,6.28095,2.14494,0.98015,87.12547,-5.783235,-0.373996,0.392087,,,,,,,,,,,,-3.78311,5.10548,-1.75581,50,5.37494,3.44003,-137.09818,-4.6656,-7.26952,27.58297,-22.36354,BYU_COU,KAN_JAY,BrighamYoung,D1,BIG12,20240328-BrighamYoung-1,bdb69320-ed36-11ee-ac49-8506eeea2a4e,96.13276,,,7.01023,,,,,,,083fbc6a-8c28-4dd1-ad7e-b8addcc609b3,2024-03-28,19:09:45.65,2024-03-28T13:09:45.6507678-06:00,2024-03-28T19:09:45.6507678Z,,v3,471246,471329,28 March 2024 20:00-kansas@byu,"Goff, Parker",810094,Right,BYU_COU,7126df0f-e1b4-45a7-876a-8053851429aa,53.3176,-137.76404,13.79148,5.48105,-4.12574,-11.18177,-1.84097,3.61552,-3.63476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-28,13:10:05.84,2,6,"Hansen, Benjamin",1000048598,Right,BYU_COU,"Shojinaga, Kodey",809975,Right,KAN_JAY,Undefined,1,Top,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.75119,-3.66903,-4.788942,2145.202176,171.756817,11:45,5.44745,1.73404,7.02076,-33.1288,2.18398,-0.1472,-0.66387,-2.64047,80.47243,-9.842856,-4.815838,0.427698,,,,,,,,,,,,-1.39461,2.5915,-1.44197,50,5.2123,10.64529,-127.00673,-9.08783,-2.25501,28.45607,-27.98366,BYU_COU,KAN_JAY,BrighamYoung,D1,BIG12,20240328-BrighamYoung-1,c9c40df0-ed36-11ee-ac49-8506eeea2a4e,88.12861,,,7.27877,,,,,,,083fbc6a-8c28-4dd1-ad7e-b8addcc609b3,2024-03-28,19:10:05.84,2024-03-28T13:10:05.8484510-06:00,2024-03-28T19:10:05.8484510Z,,v3,471246,471329,28 March 2024 20:00-kansas@byu,"Goff, Parker",810094,Right,BYU_COU,32cc441d-3832-4b7e-807a-6da29c7e2169,53.47952,-127.78395,14.22804,5.45007,-8.32352,-13.99183,-1.73356,10.70688,-1.1275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
