PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-28,20:05:33.37,1,1,"Kent, Jackson",800600,Left,ARI_WIL,"Schrier, Cody",691794,Right,UCLA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,91.41254,-1.320724,2.102961,2215.561548,139.884318,10:45,5.78542,-1.81643,5.8851,-18.57162,15.00371,-11.70898,3.0103,-0.83846,83.22535,-4.834095,0.002717,0.417044,106.15986,5.670817,-2.261472,898.43284,,,,125.89585,125.89585,-0.26224,0.902365,6.62863,8.39989,1.65361,50,5.66817,-4.36886,-132.67129,-3.64582,11.76414,29.5153,-17.26642,ARI_WIL,UCLA,UArizona,D1,PAC12,20240328-UArizona-1,d3a96c40-ed70-11ee-9624-4331f49183d0,90.38007,5.76672,,8.18719,,,,1.72303,3.12193,0.76515,3ed24f4d-7ba8-429c-b217-4334a23b48ff,2024-03-29,02:05:33.37,2024-03-28T20:05:33.3799284-06:00,2024-03-29T02:05:33.3799284Z,GroundBall,v3,232,5048,28 March 2024 22:00-ucla@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,6b38203c-8540-41c0-b5cf-ab88c0879cb5,54.61447,-133.69393,14.75765,5.78413,-3.04758,-8.63321,1.81204,-4.77646,5.88207,313.077915,1.81121,153.48272,-17.80022,,,,,,,3.2035,14.14736,-19.70303,,,,,,,0.7241,-5.48699,4.52866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2024-03-28,20:06:15.95,2,1,"Kent, Jackson",800600,Left,ARI_WIL,"Reyes, Daylen",801421,Right,UCLA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.98096,-1.498369,1.755991,2111.504184,157.60542,11:15,5.88179,-1.74405,5.94264,-11.82308,21.02765,-8.24737,3.50567,-0.80195,84.22703,-3.791562,0.275316,0.412519,,,,,,,,,,,,4.68729,11.48253,1.60867,50,5.75555,-3.73687,-133.59535,-3.79247,8.50261,27.78014,-11.34497,ARI_WIL,UCLA,UArizona,D1,PAC12,20240328-UArizona-1,ed098c10-ed70-11ee-9624-4331f49183d0,91.37137,,,7.75393,,,,,,,3ed24f4d-7ba8-429c-b217-4334a23b48ff,2024-03-29,02:06:15.95,2024-03-28T20:06:15.9510388-06:00,2024-03-29T02:06:15.9510388Z,,v3,232,5048,28 March 2024 22:00-ucla@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,e028cda6-5124-421b-919f-bf47065eadbf,54.55636,-134.53948,13.89007,5.87789,-3.4069,-5.67249,1.74058,-4.02584,4.25131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-28,20:06:34.22,2,2,"Kent, Jackson",800600,Left,ARI_WIL,"Reyes, Daylen",801421,Right,UCLA,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.60119,-0.080871,3.405721,1736.746434,103.363912,9:30,5.55135,-1.88245,5.9685,-34.51951,5.21402,-16.89048,2.59962,-0.12863,76.89193,-6.466507,0.373303,0.45368,,,,,,,,,,,,9.55166,3.08032,1.62159,50,5.52572,-6.55958,-121.37243,-1.29096,14.31701,22.68012,-27.55695,ARI_WIL,UCLA,UArizona,D1,PAC12,20240328-UArizona-1,f7f93ad0-ed70-11ee-9624-4331f49183d0,83.08151,,,6.70926,,,,,,,3ed24f4d-7ba8-429c-b217-4334a23b48ff,2024-03-29,02:06:34.22,2024-03-28T20:06:34.2235508-06:00,2024-03-29T02:06:34.2235508Z,,v3,232,5048,28 March 2024 22:00-ucla@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,248fd22b-89a5-4ee4-94b6-52bc856e8b57,54.53237,-122.21643,11.34006,5.55468,-0.26548,-13.77847,1.87561,-7.09236,7.15851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-28,20:06:54.12,2,3,"Kent, Jackson",800600,Left,ARI_WIL,"Reyes, Daylen",801421,Right,UCLA,Undefined,1,Top,0,1,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.07731,0.653446,1.926792,2208.346582,341.90918,5:30,5.94316,-1.39676,5.84605,-56.51369,-9.69902,3.60449,1.8413,0.69485,71.59124,-9.642438,2.574337,0.49245,97.44411,-32.353894,-75.472102,,,,,4.48612,4.48612,-53.617492,0.025107,-1.34803,-4.81819,1.23775,50,5.96262,-3.89873,-112.08423,-0.51265,-1.72253,19.41162,-38.33077,ARI_WIL,UCLA,UArizona,D1,PAC12,20240328-UArizona-1,03d62fc0-ed71-11ee-9624-4331f49183d0,76.54062,1.923,,5.48607,,,,1.89957,1.923,-0.67317,3ed24f4d-7ba8-429c-b217-4334a23b48ff,2024-03-29,02:06:54.12,2024-03-28T20:06:54.1293940-06:00,2024-03-29T02:06:54.1293940Z,GroundBall,v3,232,5048,28 March 2024 22:00-ucla@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,a83805cc-75ed-493d-8ed1-75a2dabf259d,54.65818,-112.88808,9.70581,5.95099,1.07467,-19.16538,1.39773,-3.8274,-0.86126,,1.8994,30.32862,,,,,,,,1.92344,-76.5908,,,,,,,,-0.6725,-117.03694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2024-03-28,20:07:19.62,2,4,"Kent, Jackson",800600,Left,ARI_WIL,"Reyes, Daylen",801421,Right,UCLA,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Error,0,0,,92.90234,-2.521678,3.057537,2140.315234,151.310812,11:00,5.7952,-1.57378,6.31222,-13.20784,18.53064,-9.61686,2.36687,0.44397,85.41171,-5.062905,1.32116,0.405475,,,,,,,,,,,,5.83036,10.62028,1.35427,50,5.6037,-6.81532,-134.8695,-6.29687,10.80744,27.58184,-12.4878,ARI_WIL,UCLA,UArizona,D1,PAC12,20240328-UArizona-1,13002cd0-ed71-11ee-9624-4331f49183d0,92.95863,,,7.49064,,,,,,,3ed24f4d-7ba8-429c-b217-4334a23b48ff,2024-03-29,02:07:19.62,2024-03-28T20:07:19.6233588-06:00,2024-03-29T02:07:19.6233588Z,,v3,232,5048,28 March 2024 22:00-ucla@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,610a234b-1b33-472c-b5a6-0624fd59c9fd,54.18893,-135.72346,13.79092,5.79268,-5.91023,-6.2439,1.57046,-7.14992,5.40372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-28,20:08:01.18,3,1,"Kent, Jackson",800600,Left,ARI_WIL,"Gourson, Duce",701546,Left,UCLA,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.90542,2.67002,1.646837,2159.418743,349.57392,5:45,5.96365,-1.38515,5.83493,-61.63405,-12.75009,2.63473,3.31206,0.36555,69.46981,-8.610458,2.119434,0.503216,,,,,,,,,,,,-0.85059,-6.77496,1.24928,50,6.14563,-3.26433,-110.16841,3.16447,-1.03851,20.7759,-40.44566,ARI_WIL,UCLA,UArizona,D1,PAC12,20240328-UArizona-1,2bd8f430-ed71-11ee-9624-4331f49183d0,74.90309,,,6.4356,,,,,,,3ed24f4d-7ba8-429c-b217-4334a23b48ff,2024-03-29,02:08:01.18,2024-03-28T20:08:01.1862388-06:00,2024-03-29T02:08:01.1862388Z,,v3,232,5048,28 March 2024 22:00-ucla@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,483eb8c0-09f4-4fea-a082-beccb521065e,54.66792,-111.04521,10.38795,5.97606,4.87139,-20.22283,1.38612,-3.2205,-0.51926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-28,20:08:19.85,3,2,"Kent, Jackson",800600,Left,ARI_WIL,"Gourson, Duce",701546,Left,UCLA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.77585,-1.925107,3.318216,2221.492745,155.887843,11:15,5.77169,-1.69584,6.10205,-13.12989,19.19572,-8.12174,2.89348,0.69956,84.59527,-4.462781,1.858568,0.409209,,,,,,,,,,,,5.10217,10.74095,1.4445,50,5.61626,-7.44771,-134.52596,-4.86963,9.34079,29.44746,-12.50999,ARI_WIL,UCLA,UArizona,D1,PAC12,20240328-UArizona-1,36eb1f10-ed71-11ee-9624-4331f49183d0,92.11059,,,8.18058,,,,,,,3ed24f4d-7ba8-429c-b217-4334a23b48ff,2024-03-29,02:08:19.85,2024-03-28T20:08:19.8593396-06:00,2024-03-29T02:08:19.8593396Z,,v3,232,5048,28 March 2024 22:00-ucla@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,2f9c587f-0b6e-454f-b14a-050a44f12904,54.39621,-135.48486,14.72373,5.7682,-4.46226,-6.255,1.69198,-7.75187,4.6704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-28,20:08:38.58,3,3,"Kent, Jackson",800600,Left,ARI_WIL,"Gourson, Duce",701546,Left,UCLA,Undefined,1,Top,0,0,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.66228,-0.784854,2.166495,2158.037737,342.023812,5:30,5.85133,-1.40031,6.14787,-58.62357,-11.63682,4.22205,0.24024,0.95439,71.3414,-11.475235,2.930698,0.493354,,,,,,,,,,,,-1.60681,-5.54394,1.23315,50,5.76088,-4.35853,-111.48678,-3.28224,-2.02101,20.16324,-39.14712,ARI_WIL,UCLA,UArizona,D1,PAC12,20240328-UArizona-1,4217afc0-ed71-11ee-9624-4331f49183d0,76.40032,,,5.32088,,,,,,,3ed24f4d-7ba8-429c-b217-4334a23b48ff,2024-03-29,02:08:38.58,2024-03-28T20:08:38.5850228-06:00,2024-03-29T02:08:38.5850228Z,,v3,232,5048,28 March 2024 22:00-ucla@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,9fe32e6b-9964-40ba-96a3-1809c44192f8,54.35689,-112.272,10.08162,5.85902,-1.75774,-19.57356,1.40135,-4.27983,-1.01051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-28,20:09:12.20,3,4,"Kent, Jackson",800600,Left,ARI_WIL,"Gourson, Duce",701546,Left,UCLA,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.18288,-1.523202,4.253069,1776.363524,90.781247,9:00,5.5546,-1.99099,6.08073,-38.6562,1.38917,-13.72552,0.91976,0.8074,76.86425,-8.630489,1.784709,0.455457,,,,,,,,,,,,8.23508,1.46988,1.6691,50,5.41592,-8.45667,-120.64873,-4.45733,12.19778,22.39642,-29.99687,ARI_WIL,UCLA,UArizona,D1,PAC12,20240328-UArizona-1,5623acd0-ed71-11ee-9624-4331f49183d0,82.75737,,,6.31864,,,,,,,3ed24f4d-7ba8-429c-b217-4334a23b48ff,2024-03-29,02:09:12.20,2024-03-28T20:09:12.2067316-06:00,2024-03-29T02:09:12.2067316Z,,v3,232,5048,28 March 2024 22:00-ucla@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,be3a9d21-6a1f-4104-96be-d7816c9de496,54.4213,-121.4667,11.19821,5.55871,-3.36178,-14.99843,1.98609,-8.90216,6.09889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-28,20:09:39.86,4,1,"Kent, Jackson",800600,Left,ARI_WIL,"Cholowsky, Roch",800604,Right,UCLA,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.61602,-3.189986,3.365731,1836.679209,89.239336,9:00,5.52899,-1.90384,6.2206,-39.50388,1.04953,-15.91379,-0.71472,-0.12066,76.39106,-10.440113,0.486764,0.458337,,,,,,,,,,,,9.35091,1.70465,1.66006,50,5.26952,-6.48799,-119.81912,-7.89999,13.58811,23.24382,-29.69696,ARI_WIL,UCLA,UArizona,D1,PAC12,20240328-UArizona-1,669b1170-ed71-11ee-9624-4331f49183d0,82.23734,,,6.22496,,,,,,,3ed24f4d-7ba8-429c-b217-4334a23b48ff,2024-03-29,02:09:39.86,2024-03-28T20:09:39.8682996-06:00,2024-03-29T02:09:39.8682996Z,,v3,232,5048,28 March 2024 22:00-ucla@arizona,"Guzman, Adonys",702631,Right,ARI_WIL,0547f413-17c3-47b5-9641-5e7bd945d228,54.28287,-120.6471,11.62191,5.53209,-6.84215,-14.84848,1.89979,-6.97201,6.79406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
