PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-29,18:34:30.14,1,1,"Marriott, Mason",1000112314,Right,BAY_BEA,"Brooks, Lauden",800751,Right,CIN_BEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.18709,-2.486156,-1.741203,2277.248578,206.594854,1:00,6.14031,1.11374,5.73563,-12.89757,19.12564,9.01256,2.74775,0.24279,85.24156,-4.975951,-0.129134,0.40729,73.79572,31.950976,164.436315,3377.548571,,,,,59.39154,,,-5.14457,10.84505,-0.97437,50,5.92538,3.74234,-136.51698,-6.30002,-9.60964,32.91779,-11.91644,BAY_BEA,CIN_BEA,Baylor,D1,BIG12,20240329-Baylor-1,e40302e0-ee24-11ee-afcf-852e74f0e8fe,92.54444,31.23017,,8.94553,,,,1.3935,2.6893,-0.24395,5a8bb1ff-1267-4409-b53d-3d52c06a501d,2024-03-29,23:34:30.14,2024-03-29T18:34:30.1483818-05:00,2024-03-29T23:34:30.1483818Z,,v3,3033,471270,29 March 2024 19:30-cincy@baylor,"Castle, Cortlan",1000127061,Right,BAY_BEA,98708b3f-9386-46cc-a844-b01580ecd7c7,54.76498,-137.66115,16.45889,6.13716,-5.88583,-5.95822,-1.11025,4.07635,-4.80482,303.481372,1.3935,-88.46891,6.617,-0.76563,0.0624,0.00952,-0.00454,0.00209,-0.00046,2.6893,57.27648,-25.5983,2.90695,-0.60242,0.11271,-0.02289,0.00487,-0.00073,-0.24395,24.64053,-9.7433,2.72519,-0.67256,0.14967,-0.03442,0.0071,-0.00094,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2024-03-29,18:34:51.03,1,2,"Marriott, Mason",1000112314,Right,BAY_BEA,"Brooks, Lauden",800751,Right,CIN_BEA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.80089,-2.280466,-2.775165,2437.945334,207.546362,1:00,6.07319,1.17424,5.57403,-12.668,19.48194,9.52052,2.88377,-0.62662,84.91503,-4.743611,-1.079397,0.408095,,,,,,,,,,,,-5.68457,10.90855,-0.9412,50,5.86845,6.18213,-137.09901,-5.81409,-10.61543,35.64138,-11.80332,BAY_BEA,CIN_BEA,Baylor,D1,BIG12,20240329-Baylor-1,f07f9330-ee24-11ee-afcf-852e74f0e8fe,92.36191,,,9.88586,,,,,,,5a8bb1ff-1267-4409-b53d-3d52c06a501d,2024-03-29,23:34:51.03,2024-03-29T18:34:51.0325034-05:00,2024-03-29T23:34:51.0325034Z,,v3,3033,471270,29 March 2024 19:30-cincy@baylor,"Castle, Cortlan",1000127061,Right,BAY_BEA,c9348e9d-9cfe-4bf9-8a3f-2c391f654910,54.92231,-138.37273,17.82069,6.06869,-5.39227,-5.90166,-1.16891,6.5615,-5.30772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-29,18:35:05.97,1,3,"Marriott, Mason",1000112314,Right,BAY_BEA,"Brooks, Lauden",800751,Right,CIN_BEA,Undefined,1,Top,0,0,2,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,85.89765,0.204543,-1.504529,2705.623394,90.491799,9:00,5.86897,1.33983,4.95405,-38.10289,1.36185,-6.85941,2.88707,-0.65373,78.29303,-6.711708,-2.714512,0.452143,92.51427,18.579275,-23.747975,2465.626633,99.04089,30.4108,-47.86334,293.02414,286.93711,-29.853507,3.181429,2.96512,0.96,-1.1879,50,5.85735,3.57889,-124.53296,-1.0406,4.62501,26.58326,-30.67665,BAY_BEA,CIN_BEA,Baylor,D1,BIG12,20240329-Baylor-1,f963e190-ee24-11ee-afcf-852e74f0e8fe,83.36393,34.02568,,7.60463,,,,2.14551,3.00002,0.60799,5a8bb1ff-1267-4409-b53d-3d52c06a501d,2024-03-29,23:35:05.97,2024-03-29T18:35:05.9762986-05:00,2024-03-29T23:35:05.9762986Z,LineDrive,v3,3033,471270,29 March 2024 19:30-cincy@baylor,"Castle, Cortlan",1000127061,Right,BAY_BEA,71f24919-0efb-4895-b20a-e67b3c84131d,55.54753,-125.71158,13.29162,5.87334,0.31951,-15.33833,-1.34203,3.37383,2.3125,133.640088,2.14522,117.73625,-22.52049,5.96839,-1.59181,0.45802,-0.12289,0.02158,-0.0016,3.0003,43.22241,-15.77923,0.20494,0.40505,-0.21962,0.06935,-0.01072,0.00058,0.60807,-51.79885,0.99824,0.95357,-0.41075,0.08917,-0.00911,-0.00042,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2024-03-29,18:35:38.85,2,1,"Marriott, Mason",1000112314,Right,BAY_BEA,"O'Connor, Tommy",1000095561,Left,CIN_BEA,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.76835,-3.685832,-2.72449,2196.469032,230.91107,1:45,6.14952,1.12177,5.07966,-18.91214,14.84426,16.86942,1.09013,-0.04277,84.59706,-7.187983,0.256511,0.418167,,,,,,,,,,,,-9.16288,8.76886,-0.87738,50,5.78495,5.56942,-134.17384,-9.35115,-16.65303,29.8498,-16.23711,BAY_BEA,CIN_BEA,Baylor,D1,BIG12,20240329-Baylor-1,0cff90a0-ee25-11ee-afcf-852e74f0e8fe,90.13735,,,8.17129,,,,,,,5a8bb1ff-1267-4409-b53d-3d52c06a501d,2024-03-29,23:35:38.85,2024-03-29T18:35:38.8569898-05:00,2024-03-29T23:35:38.8569898Z,,v3,3033,471270,29 March 2024 19:30-cincy@baylor,"Castle, Cortlan",1000127061,Right,BAY_BEA,3630cdf0-b752-4732-9e76-6d85ac257107,55.42145,-135.37458,14.9249,6.14798,-8.698,-8.11856,-1.11489,6.23931,-8.32652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-29,18:35:52.00,2,2,"Marriott, Mason",1000112314,Right,BAY_BEA,"O'Connor, Tommy",1000095561,Left,CIN_BEA,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.61862,-1.110839,-1.689319,2216.307578,229.941947,1:45,6.1252,1.15259,5.23354,-18.67162,14.9845,16.44713,3.52444,0.93473,83.92302,-4.610321,1.226253,0.417545,,,,,,,,,,,,-8.65319,8.13835,-1.00953,50,6.00938,3.15772,-134.23788,-3.26442,-15.67033,31.10448,-17.43601,BAY_BEA,CIN_BEA,Baylor,D1,BIG12,20240329-Baylor-1,14cddb20-ee25-11ee-afcf-852e74f0e8fe,90.27153,,,8.6956,,,,,,,5a8bb1ff-1267-4409-b53d-3d52c06a501d,2024-03-29,23:35:52.00,2024-03-29T18:35:52.0004906-05:00,2024-03-29T23:35:52.0004906Z,,v3,3033,471270,29 March 2024 19:30-cincy@baylor,"Castle, Cortlan",1000127061,Right,BAY_BEA,bc43db1d-eec3-44b8-a51c-41e8e489ed28,55.26546,-135.45245,15.55224,6.12356,-2.58358,-8.71801,-1.14478,3.76962,-7.83516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-29,18:36:05.93,2,3,"Marriott, Mason",1000112314,Right,BAY_BEA,"O'Connor, Tommy",1000095561,Left,CIN_BEA,Undefined,1,Top,1,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.46079,-2.431518,-1.99477,2415.056005,208.920401,1:00,6.00412,1.15413,5.37634,-13.86217,18.52277,9.58686,2.56658,0.08213,85.20889,-5.08398,-0.291684,0.409584,75.01439,24.053402,-154.234806,2479.077738,,,,,60.43619,,,-5.46654,10.42119,-0.98252,50,5.77687,4.308,-136.76773,-6.25055,-10.21878,33.84745,-12.69334,BAY_BEA,CIN_BEA,Baylor,D1,BIG12,20240329-Baylor-1,1d1e7500-ee25-11ee-afcf-852e74f0e8fe,92.02618,21.27983,,9.25189,,,,1.61018,2.59292,-0.1015,5a8bb1ff-1267-4409-b53d-3d52c06a501d,2024-03-29,23:36:05.93,2024-03-29T18:36:05.9388202-05:00,2024-03-29T23:36:05.9388202Z,,v3,3033,471270,29 March 2024 19:30-cincy@baylor,"Castle, Cortlan",1000127061,Right,BAY_BEA,69bf80ab-e2dc-46d3-9c42-ca125797504f,55.12369,-138.02992,16.92372,6.00113,-5.77721,-6.34667,-1.15027,4.68907,-5.10939,22.750638,1.61018,-90.47921,6.07849,-0.71055,0.12801,-0.00737,-0.00124,0.00048,-0.00021,2.59292,44.84322,-26.62365,3.34458,-0.69681,0.14516,-0.02359,0.00504,-0.00087,-0.1015,-43.67156,6.08613,0.47886,-0.19811,0.08794,-0.02186,0.00531,-0.00118,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2024-03-29,18:36:25.19,2,4,"Marriott, Mason",1000112314,Right,BAY_BEA,"O'Connor, Tommy",1000095561,Left,CIN_BEA,Undefined,1,Top,1,2,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,93.59335,-2.78566,-1.823193,2171.706982,234.505312,1:45,6.12028,1.1566,5.44488,-19.89052,12.64048,16.24863,1.85107,0.80297,85.58933,-6.478756,1.069945,0.410506,,,,,,,,,,,,-8.79079,7.47701,-1.00733,50,5.86026,3.58075,-135.71334,-7.32744,-16.36942,30.1342,-18.25105,BAY_BEA,CIN_BEA,Baylor,D1,BIG12,20240329-Baylor-1,28946ac0-ee25-11ee-afcf-852e74f0e8fe,91.81936,,,8.00402,,,,,,,5a8bb1ff-1267-4409-b53d-3d52c06a501d,2024-03-29,23:36:25.19,2024-03-29T18:36:25.1906346-05:00,2024-03-29T23:36:25.1906346Z,,v3,3033,471270,29 March 2024 19:30-cincy@baylor,"Castle, Cortlan",1000127061,Right,BAY_BEA,de7e774f-15cc-4d6b-87b2-2cdc0ad4e329,55.05822,-136.83187,15.0671,6.11967,-6.64999,-9.12553,-1.15152,4.18836,-8.18471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-29,18:37:54.45,3,1,"Marriott, Mason",1000112314,Right,BAY_BEA,"Cross, Kerrington",701136,Right,CIN_BEA,Undefined,1,Top,1,0,0,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.2256,0.368386,-1.456129,2702.736096,70.661942,8:15,6.02409,1.33385,4.93993,-50.37648,-4.84835,-18.2282,2.17434,-1.56171,73.13594,-8.718709,-4.672508,0.485637,,,,,,,,,,,,8.51268,-2.01461,-1.17658,50,6.01836,3.73993,-116.26779,-1.14123,11.49871,24.48726,-34.89532,BAY_BEA,CIN_BEA,Baylor,D1,BIG12,20240329-Baylor-1,5ddae010-ee25-11ee-afcf-852e74f0e8fe,77.61451,,,7.08966,,,,,,,5a8bb1ff-1267-4409-b53d-3d52c06a501d,2024-03-29,23:37:54.45,2024-03-29T18:37:54.4558890-05:00,2024-03-29T23:37:54.4558890Z,,v3,3033,471270,29 March 2024 19:30-cincy@baylor,"Castle, Cortlan",1000127061,Right,BAY_BEA,823c6eb6-5d2d-49e9-abef-417dcdb17a74,55.56197,-117.43336,12.24363,6.03315,0.51974,-17.44766,-1.34157,3.19261,5.74935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-29,18:38:12.36,3,2,"Marriott, Mason",1000112314,Right,BAY_BEA,"Cross, Kerrington",701136,Right,CIN_BEA,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.68813,-4.358582,-2.976443,2319.649238,210.565489,1:00,6.05143,1.19368,5.52057,-12.33209,19.75474,10.99201,0.93506,-0.67582,85.82162,-6.726626,-1.020675,0.407694,,,,,,,,,,,,-6.45146,11.62638,-0.94192,50,5.66288,6.5966,-136.81644,-10.80235,-12.12609,32.54979,-10.3212,BAY_BEA,CIN_BEA,Baylor,D1,BIG12,20240329-Baylor-1,687b3650-ee25-11ee-afcf-852e74f0e8fe,92.45269,,,8.86651,,,,,,,5a8bb1ff-1267-4409-b53d-3d52c06a501d,2024-03-29,23:38:12.36,2024-03-29T18:38:12.3670000-05:00,2024-03-29T23:38:12.3670000Z,,v3,3033,471270,29 March 2024 19:30-cincy@baylor,"Castle, Cortlan",1000127061,Right,BAY_BEA,e0998ec7-1526-4a46-8eb2-326723f94c13,54.9796,-137.99604,16.2749,6.04758,-10.42831,-5.1606,-1.18894,7.03605,-6.06304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.22657,1.645094,0.779469,0.865625,1.31951,0.92357,0.67755,-2.3037,5.7209,3.31812,65.5288,3.99662,59.25618,-2.18264,86.44296,-9.41645,5.71391,6.7035,-10.03854,3.36261,68.2711,-4.24545,High,High,High,,,High,Medium,Medium
10,2024-03-29,18:38:31.80,3,3,"Marriott, Mason",1000112314,Right,BAY_BEA,"Cross, Kerrington",701136,Right,CIN_BEA,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.55217,-3.70619,-2.690264,2334.228015,209.586281,1:00,6.12054,1.0548,5.60517,-11.75634,20.17092,10.82556,1.67235,-0.55636,85.87771,-5.97503,-0.760521,0.406679,,,,,,,,,,,,-6.25213,11.61197,-0.83148,50,5.79518,5.9198,-136.80863,-9.19699,-11.78424,31.73006,-10.28732,BAY_BEA,CIN_BEA,Baylor,D1,BIG12,20240329-Baylor-1,741507c0-ee25-11ee-afcf-852e74f0e8fe,92.68341,,,8.67446,,,,,,,5a8bb1ff-1267-4409-b53d-3d52c06a501d,2024-03-29,23:38:31.80,2024-03-29T18:38:31.8047530-05:00,2024-03-29T23:38:31.8047530Z,,v3,3033,471270,29 March 2024 19:30-cincy@baylor,"Castle, Cortlan",1000127061,Right,BAY_BEA,161e9c08-c185-4a0e-85c2-12c6e56e0eb4,54.89463,-137.93917,15.86503,6.11634,-8.83045,-5.14366,-1.04988,6.33967,-5.89212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
