PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-29,18:35:37.59,1,1,"Thompson, Brandt",1000132377,Right,MIS_BEA,"Rasmussen, Auggie",1000114442,Left,ILL_RED,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.2987,-0.63608,-1.357042,2272.055474,199.390031,12:45,5.34668,2.23876,5.30659,-16.44926,19.70678,6.4928,3.37863,1.50573,80.71094,-3.768704,-0.204859,0.432775,,,,,,,,,,,,-3.64622,10.40465,-2.1204,50,5.27755,2.76472,-129.42335,-1.94434,-6.12665,29.37366,-14.69146,MIS_BEA,ILL_RED,Hammons,D1,MVC,20240329-Hammons-1,0c82bf80-ee25-11ee-b907-272653e511a5,87.09485,,,8.58775,,,,,,,c50ec941-7f0c-4e34-ac61-1bfecefc6133,2024-03-29,23:35:37.59,2024-03-29T18:35:37.5981376-05:00,2024-03-29T23:35:37.5981376Z,,v3,471451,471316,29 March 2024 19:30-illinoisst@missourist,"Leach, Dylan",696528,Right,MIS_BEA,187f710c-67a7-4b41-a318-8c123866d00b,55.1892,-130.59577,14.68683,5.34345,-1.35794,-7.34573,-2.23563,3.00926,-3.06332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-29,18:35:49.77,1,2,"Thompson, Brandt",1000132377,Right,MIS_BEA,"Rasmussen, Auggie",1000114442,Left,ILL_RED,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.25939,-1.526374,-3.163113,2257.409343,219.893254,1:15,5.41952,2.09437,5.5993,-20.92918,14.47217,11.18237,2.24789,0.07016,81.87196,-5.431772,-1.170504,0.428234,,,,,,,,,,,,-6.54209,8.07784,-1.83074,50,5.2751,6.67414,-129.46978,-4.15504,-11.14812,26.03233,-18.40885,MIS_BEA,ILL_RED,Hammons,D1,MVC,20240329-Hammons-1,13aeaf80-ee25-11ee-b907-272653e511a5,88.01827,,,7.38743,,,,,,,c50ec941-7f0c-4e34-ac61-1bfecefc6133,2024-03-29,23:35:49.77,2024-03-29T18:35:49.7724224-05:00,2024-03-29T23:35:49.7724224Z,,v3,471451,471316,29 March 2024 19:30-illinoisst@missourist,"Leach, Dylan",696528,Right,MIS_BEA,dab3029d-62f8-4994-949b-ebeae0194add,54.90087,-130.45147,13.01616,5.4187,-3.46084,-9.20443,-2.09035,7.09454,-5.57406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-29,18:36:05.45,1,3,"Thompson, Brandt",1000132377,Right,MIS_BEA,"Rasmussen, Auggie",1000114442,Left,ILL_RED,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.38937,-0.461414,-2.016447,2303.308939,200.310611,12:45,5.32785,2.28974,5.36364,-17.55851,18.44989,6.36717,3.43169,0.92872,80.82368,-3.792204,-0.885938,0.43189,,,,,,,,,,,,-3.78945,9.74197,-2.11328,50,5.27441,4.26712,-129.53503,-1.59843,-6.38128,29.30719,-15.76899,MIS_BEA,ILL_RED,Hammons,D1,MVC,20240329-Hammons-1,1d1d1570-ee25-11ee-b907-272653e511a5,87.27319,,,8.56568,,,,,,,c50ec941-7f0c-4e34-ac61-1bfecefc6133,2024-03-29,23:36:05.45,2024-03-29T18:36:05.4556992-05:00,2024-03-29T23:36:05.4556992Z,,v3,471451,471316,29 March 2024 19:30-illinoisst@missourist,"Leach, Dylan",696528,Right,MIS_BEA,7cd49719-39e6-4475-8947-31765493682c,55.13229,-130.69104,14.6536,5.32519,-0.97642,-7.8845,-2.28656,4.51883,-3.19064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-29,18:36:20.32,1,4,"Thompson, Brandt",1000132377,Right,MIS_BEA,"Rasmussen, Auggie",1000114442,Left,ILL_RED,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.66543,-2.988055,-2.777722,2271.011132,214.645039,1:15,5.32999,2.21237,5.44949,-17.98446,18.84253,12.06816,1.02801,0.61547,79.87973,-6.39884,-0.631934,0.436772,,,,,,,,,,,,-6.94823,10.8315,-1.9755,50,5.05385,5.67488,-128.19879,-7.25346,-11.38615,30.29039,-14.42428,MIS_BEA,ILL_RED,Hammons,D1,MVC,20240329-Hammons-1,25f64040-ee25-11ee-b907-272653e511a5,86.29778,,,8.7857,,,,,,,c50ec941-7f0c-4e34-ac61-1bfecefc6133,2024-03-29,23:36:20.32,2024-03-29T18:36:20.3232064-05:00,2024-03-29T23:36:20.3232064Z,,v3,471451,471316,29 March 2024 19:30-illinoisst@missourist,"Leach, Dylan",696528,Right,MIS_BEA,90460410-9241-4137-a173-48f567186f6d,55.04658,-129.38568,15.1452,5.32699,-6.68826,-7.21214,-2.2066,6.12103,-5.69308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-29,18:36:39.34,1,5,"Thompson, Brandt",1000132377,Right,MIS_BEA,"Rasmussen, Auggie",1000114442,Left,ILL_RED,Undefined,1,Top,0,3,1,Cutter,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.72782,-0.357347,-1.920937,2474.2909,145.322143,10:45,5.15486,2.52066,5.34704,-28.93769,9.75973,-5.94,2.40801,0.22315,78.74618,-5.677468,-2.975402,0.447726,,,,,,,,,,,,2.47788,5.34697,-2.34314,50,5.10207,4.42709,-124.43551,-1.80038,3.89689,24.26419,-23.76498,MIS_BEA,ILL_RED,Hammons,D1,MVC,20240329-Hammons-1,31604f20-ee25-11ee-b907-272653e511a5,84.18636,,,6.98164,,,,,,,c50ec941-7f0c-4e34-ac61-1bfecefc6133,2024-03-29,23:36:39.34,2024-03-29T18:36:39.3413952-05:00,2024-03-29T23:36:39.3413952Z,,v3,471451,471316,29 March 2024 19:30-illinoisst@missourist,"Leach, Dylan",696528,Right,MIS_BEA,610f0ce3-b795-43f6-a95c-6b414808797d,55.15244,-125.43618,12.1321,5.15611,-0.8203,-11.88249,-2.5224,4.26637,1.94845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-29,18:37:02.80,1,6,"Thompson, Brandt",1000132377,Right,MIS_BEA,"Rasmussen, Auggie",1000114442,Left,ILL_RED,Undefined,1,Top,0,3,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,84.54639,-0.121297,-3.250357,2352.475071,151.058373,11:00,5.12751,2.45859,5.32376,-31.47813,8.12638,-3.88225,2.39032,-0.91836,78.26281,-5.870033,-3.937818,0.452943,,,,,,,,,,,,1.15232,4.44984,-2.16132,50,5.09377,7.13108,-122.68827,-1.38061,1.77606,21.72727,-25.31557,MIS_BEA,ILL_RED,Hammons,D1,MVC,20240329-Hammons-1,3f49dcf0-ee25-11ee-b907-272653e511a5,83.21669,,,6.28358,,,,,,,c50ec941-7f0c-4e34-ac61-1bfecefc6133,2024-03-29,23:37:02.80,2024-03-29T18:37:02.8000000-05:00,2024-03-29T23:37:02.8000000Z,,v3,471451,471316,29 March 2024 19:30-illinoisst@missourist,"Leach, Dylan",696528,Right,MIS_BEA,f919dbf1-5aac-4f07-8250-d6d3b83396c6,55.17628,-123.60156,10.86364,5.12944,-0.3165,-12.65779,-2.45949,7.05642,0.88803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0565,,,0.870703,,,,0.52808,6.37002,4.40026,67.57614,7.13957,57.20343,0.64698,82.64298,-6.56546,6.39538,11.09723,-11.74805,4.4874,64.83383,-4.87737,High,High,High,,,High,Medium,High
7,2024-03-29,18:37:32.69,2,1,"Thompson, Brandt",1000132377,Right,MIS_BEA,"Sokolove, JT",1000113120,Right,ILL_RED,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.34843,-1.682851,-2.337588,2222.67276,138.338311,10:30,5.24609,2.35636,5.45416,-31.57037,6.65906,-5.08772,1.0381,-0.25711,80.06915,-7.413082,-3.242911,0.44501,,,,,,,,,,,,2.08776,4.0111,-2.14642,50,5.07548,5.2722,-124.08093,-4.77238,3.32741,19.63857,-25.78131,MIS_BEA,ILL_RED,Hammons,D1,MVC,20240329-Hammons-1,510cad50-ee25-11ee-b907-272653e511a5,84.70012,,,5.27928,,,,,,,c50ec941-7f0c-4e34-ac61-1bfecefc6133,2024-03-29,23:37:32.69,2024-03-29T18:37:32.6938944-05:00,2024-03-29T23:37:32.6938944Z,,v3,471451,471316,29 March 2024 19:30-illinoisst@missourist,"Leach, Dylan",696528,Right,MIS_BEA,74047098-8ca6-4f23-ac50-df07fc2847e9,55.04813,-124.87735,9.81929,5.24782,-3.72685,-12.89065,-2.3575,5.13726,1.66371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-29,18:37:48.27,2,2,"Thompson, Brandt",1000132377,Right,MIS_BEA,"Sokolove, JT",1000113120,Right,ILL_RED,Undefined,1,Top,1,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.92232,0.893189,-2.116864,2367.825941,139.232386,10:45,5.1627,2.40924,5.29354,-30.22639,8.23733,-6.14449,3.48312,-0.0913,79.10246,-4.650091,-3.205647,0.446372,,,,,,,,,,,,2.5365,4.23977,-2.21188,50,5.22204,4.87718,-124.72871,0.85177,4.02596,23.31427,-25.44456,MIS_BEA,ILL_RED,Hammons,D1,MVC,20240329-Hammons-1,5a656860-ee25-11ee-b907-272653e511a5,84.4417,,,6.81986,,,,,,,c50ec941-7f0c-4e34-ac61-1bfecefc6133,2024-03-29,23:37:48.27,2024-03-29T18:37:48.2727744-05:00,2024-03-29T23:37:48.2727744Z,,v3,471451,471316,29 March 2024 19:30-illinoisst@missourist,"Leach, Dylan",696528,Right,MIS_BEA,7ddd777b-c492-4f29-ae0c-74a774cd5408,55.20585,-125.69802,11.65714,5.16464,1.90965,-12.72228,-2.41117,4.7098,2.01298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-29,18:38:05.72,2,3,"Thompson, Brandt",1000132377,Right,MIS_BEA,"Sokolove, JT",1000113120,Right,ILL_RED,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.01886,-2.110518,-2.410284,2206.700528,206.569415,1:00,5.29874,2.2765,5.46863,-16.11792,18.92698,8.90752,1.97775,0.76173,82.34735,-5.155454,-0.825821,0.426073,72.40473,12.735979,170.061804,2571.884402,,,,123.9115,59.33481,174.521627,1.359186,-5.1676,10.46721,-2.07078,50,5.10227,5.09979,-130.54201,-5.32367,-8.93178,27.0595,-14.0823,MIS_BEA,ILL_RED,Hammons,D1,MVC,20240329-Hammons-1,64c46fe0-ee25-11ee-b907-272653e511a5,88.46477,9.14842,,7.67151,,,,1.8394,2.03699,-0.7597,c50ec941-7f0c-4e34-ac61-1bfecefc6133,2024-03-29,23:38:05.72,2024-03-29T18:38:05.7249600-05:00,2024-03-29T23:38:05.7249600Z,GroundBall,v3,471451,471316,29 March 2024 19:30-illinoisst@missourist,"Leach, Dylan",696528,Right,MIS_BEA,05ed3a81-4e2a-4b8a-ae93-22c5bd4440a1,55.03073,-131.58068,13.52975,5.29624,-4.78313,-7.04115,-2.27311,5.44263,-4.46589,289.830441,1.8394,-102.02639,8.05106,-0.7198,0.13334,-0.0083,0.00123,-0.00032,2E-05,2.03699,23.41127,-20.21276,1.7273,-0.32727,0.06822,-0.01027,0.00157,-0.00017,-0.7597,17.87655,-7.72319,1.34253,-0.29554,0.05214,-0.00899,0.00163,-0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2024-03-29,18:38:30.40,2,4,"Thompson, Brandt",1000132377,Right,MIS_BEA,"Sokolove, JT",1000113120,Right,ILL_RED,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,91.77523,-2.653821,-3.462936,2304.684895,205.198181,12:45,5.5106,1.8988,5.47711,-15.30926,18.50777,8.19457,1.74525,-0.66264,83.8859,-5.547302,-2.007462,0.418542,,,,,,,,,,,,-5.08429,10.38918,-1.60018,50,5.26692,7.66837,-132.89512,-6.65606,-9.10358,28.15738,-13.57192,MIS_BEA,ILL_RED,Hammons,D1,MVC,20240329-Hammons-1,7379d930-ee25-11ee-b907-272653e511a5,90.05653,,,7.88934,,,,,,,c50ec941-7f0c-4e34-ac61-1bfecefc6133,2024-03-29,23:38:30.40,2024-03-29T18:38:30.4080000-05:00,2024-03-29T23:38:30.4080000Z,,v3,471451,471316,29 March 2024 19:30-illinoisst@missourist,"Leach, Dylan",696528,Right,MIS_BEA,535ce89b-0c6a-491c-b0d4-5c227f4f912d,55.02161,-133.95485,14.07869,5.50782,-6.14526,-6.78596,-1.89524,8.011,-4.55179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.76803,2.68662,1.76599,0.92063,0.55041,1.66064,0.69283,0.08096,5.74171,6.54717,75.67097,2.5489,49.10736,0.11268,87.62977,-6.03151,5.77445,10.45488,-15.15588,6.55306,47.91323,-1.83503,High,High,High,,,High,Medium,Medium
