PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-29,16:06:24.95,1,1,"Wozniak, Brett",1000048759,Left,HIG_PAN,"Pittman, Cameron",1000048495,Left,RAD_HIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.75803,-2.48094,3.672977,2291.534516,143.22053,10:45,6.24596,-1.85253,6.1047,-21.02922,13.42977,-9.23111,2.19293,0.77973,82.35532,-6.427204,2.01368,0.422496,,,,,,,,,,,,5.75197,7.935,1.57447,50,6.04357,-7.9717,-130.11208,-6.29933,9.88733,26.59926,-18.53421,HIG_PAN,RAD_HIG,HighPointUniversity,D1,BSOU,20240329-HighPointUniversity-1,d24c1f90-ee07-11ee-9091-771aef38c21b,89.21366,,,7.40271,,,,,,,2e5cc152-c3b9-4d3d-ae7d-38d9ecd02690,2024-03-29,20:06:24.95,2024-03-29T16:06:24.9508286-04:00,2024-03-29T20:06:24.9508286Z,,v3,471515,471417,29 March 2024 16:00-radford@highpoint,"Grintz, Eric",686456,Right,HIG_PAN,9991cfbe-868f-4bae-b382-f05744489f96,54.39718,-131.00793,13.29963,6.24522,-5.67511,-9.2671,1.84856,-8.3047,4.94366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-29,16:06:36.37,1,2,"Wozniak, Brett",1000048759,Left,HIG_PAN,"Pittman, Cameron",1000048495,Left,RAD_HIG,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.14532,-4.297663,3.101727,2462.698047,145.72876,10:45,6.27762,-2.01417,5.66824,-18.72938,15.90717,-10.1254,0.6961,0.03705,83.2439,-7.777136,1.29433,0.423583,,,,,,,,,,,,5.97658,9.51812,1.75853,50,5.9015,-6.64316,-130.51954,-10.43866,10.39641,25.30544,-15.61704,HIG_PAN,RAD_HIG,HighPointUniversity,D1,BSOU,20240329-HighPointUniversity-1,d917ee30-ee07-11ee-9091-771aef38c21b,88.98473,,,6.90142,,,,,,,2e5cc152-c3b9-4d3d-ae7d-38d9ecd02690,2024-03-29,20:06:36.37,2024-03-29T16:06:36.3743166-04:00,2024-03-29T20:06:36.3743166Z,,v3,471515,471417,29 March 2024 16:00-radford@highpoint,"Grintz, Eric",686456,Right,HIG_PAN,371d3b47-d5a6-4e0a-8778-95dd7319f02b,54.8356,-131.45374,12.65272,6.27622,-9.86212,-7.80852,2.01085,-7.02696,5.19821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-29,16:06:50.30,1,3,"Wozniak, Brett",1000048759,Left,HIG_PAN,"Pittman, Cameron",1000048495,Left,RAD_HIG,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,88.87815,-1.784959,2.450304,2332.466201,140.722788,10:45,6.17571,-1.84574,5.87163,-21.13316,14.64387,-10.9541,2.75452,-0.48113,80.55299,-5.772859,0.486368,0.4305,63.91608,22.021705,6.767644,1731.134022,109.59765,23.95119,9.39717,190.08188,190.08188,3.019248,2.657264,6.36815,8.40678,1.65373,50,6.01892,-5.05087,-128.84459,-4.67884,10.59654,29.30235,-18.18529,HIG_PAN,RAD_HIG,HighPointUniversity,D1,BSOU,20240329-HighPointUniversity-1,e166b350-ee07-11ee-9091-771aef38c21b,87.55495,24.20633,,8.32515,,,,1.47396,2.81714,0.50028,2e5cc152-c3b9-4d3d-ae7d-38d9ecd02690,2024-03-29,20:06:50.30,2024-03-29T16:06:50.3090622-04:00,2024-03-29T20:06:50.3090622Z,LineDrive,v3,471515,471417,29 March 2024 16:00-radford@highpoint,"Grintz, Eric",686456,Right,HIG_PAN,84b880b7-1501-42eb-a812-3e6bafc2bf9d,54.62931,-129.89314,14.65118,6.1747,-4.0281,-9.09265,1.84125,-5.43005,5.29827,147.093291,1.47353,86.31859,-7.354,1.17583,-0.67935,0.31064,-0.06213,0.00192,0.00065,2.81731,35.14251,-15.26096,0.65336,0.01957,0.02896,-0.04038,0.01326,-0.00148,0.50016,10.24683,-3.30028,0.60502,-0.28224,0.11771,-0.0282,0.00289,-3E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2024-03-29,16:07:24.08,2,1,"Wozniak, Brett",1000048759,Left,HIG_PAN,"Keen, Hunter",10026274,Right,RAD_HIG,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.78505,-3.839012,3.230009,2313.88033,137.545346,10:30,6.03813,-2.09816,5.76687,-22.07485,13.79225,-11.53851,0.61446,-0.05027,81.31645,-7.944327,1.166057,0.431042,,,,,,,,,,,,6.83855,8.47721,1.83778,50,5.70604,-6.77091,-128.50465,-9.35704,11.41823,26.99689,-18.01978,HIG_PAN,RAD_HIG,HighPointUniversity,D1,BSOU,20240329-HighPointUniversity-1,f5837940-ee07-11ee-9091-771aef38c21b,87.44495,,,7.4686,,,,,,,2e5cc152-c3b9-4d3d-ae7d-38d9ecd02690,2024-03-29,20:07:24.08,2024-03-29T16:07:24.0837566-04:00,2024-03-29T20:07:24.0837566Z,,v3,471515,471417,29 March 2024 16:00-radford@highpoint,"Grintz, Eric",686456,Right,HIG_PAN,9981e06f-6cef-4e46-a5e1-a4646e689856,54.73599,-129.49579,13.49844,6.03742,-8.69548,-9.00989,2.09406,-7.19011,5.70911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-29,16:07:40.47,2,2,"Wozniak, Brett",1000048759,Left,HIG_PAN,"Keen, Hunter",10026274,Right,RAD_HIG,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.5328,-3.947515,3.13574,2354.986296,141.347626,10:45,6.05537,-2.11304,5.61632,-19.13434,16.69714,-12.31528,0.76506,-0.20965,81.10828,-7.545412,0.939496,0.430828,,,,,,,,,,,,7.25122,10.08107,1.85325,50,5.70521,-6.55337,-129.40726,-9.55241,12.15222,29.95479,-15.27934,HIG_PAN,RAD_HIG,HighPointUniversity,D1,BSOU,20240329-HighPointUniversity-1,ff4e3000-ee07-11ee-9091-771aef38c21b,87.48838,,,8.42451,,,,,,,2e5cc152-c3b9-4d3d-ae7d-38d9ecd02690,2024-03-29,20:07:40.47,2024-03-29T16:07:40.4778430-04:00,2024-03-29T20:07:40.4778430Z,,v3,471515,471417,29 March 2024 16:00-radford@highpoint,"Grintz, Eric",686456,Right,HIG_PAN,62770946-8b0c-400c-ab53-3e751403d36b,54.88495,-130.53311,14.9774,6.05345,-8.97813,-7.63967,2.10814,-7.01011,6.07611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-29,16:07:59.51,2,3,"Wozniak, Brett",1000048759,Left,HIG_PAN,"Keen, Hunter",10026274,Right,RAD_HIG,Undefined,1,Top,0,2,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,88.93208,-2.711989,2.835401,2363.981378,141.634639,10:45,6.09378,-2.1545,5.71991,-22.13604,13.59316,-9.83453,1.7178,-0.33059,81.31755,-6.839146,1.077541,0.430213,96.69309,16.290756,15.592873,3487.175937,103.72383,27.71102,36.62308,296.15535,282.81433,25.843136,3.329484,5.81205,8.03611,1.92348,50,5.85303,-5.96171,-128.87166,-6.84111,9.75851,27.18341,-18.68126,HIG_PAN,RAD_HIG,HighPointUniversity,D1,BSOU,20240329-HighPointUniversity-1,0aa9e700-ee08-11ee-9091-771aef38c21b,87.61353,32.95054,,7.61452,,,,0.36429,1.62806,0.32098,2e5cc152-c3b9-4d3d-ae7d-38d9ecd02690,2024-03-29,20:07:59.51,2024-03-29T16:07:59.5128254-04:00,2024-03-29T20:07:59.5128254Z,LineDrive,v3,471515,471417,29 March 2024 16:00-radford@highpoint,"Grintz, Eric",686456,Right,HIG_PAN,817f6292-0053-4dc9-938f-287a8152ce5b,54.78174,-129.87638,13.59171,6.09312,-6.15063,-9.34063,2.15049,-6.32239,4.87926,225.023991,0.36442,131.10979,-26.58673,5.76848,-1.079,0.11851,0.00602,-0.00437,0.00048,1.62793,39.78384,-12.67263,-0.17849,0.12652,0.02927,-0.02705,0.00715,-0.00067,0.32104,36.58458,4.12979,-2.50704,0.84482,-0.21067,0.03905,-0.00462,0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-03-29,16:08:59.68,3,1,"Wozniak, Brett",1000048759,Left,HIG_PAN,"Whitacre, Zack",1000116819,Right,RAD_HIG,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,82.51318,-3.360448,2.088032,1634.493151,99.450789,9:15,5.95583,-2.22654,5.41351,-38.19423,3.35406,-12.96859,-0.3811,-1.35013,76.85876,-10.256179,-0.225214,0.463925,,,,,,,,,,,,7.17705,2.8226,2.05044,50,5.62919,-3.85818,-119.70572,-8.36128,10.50388,21.23841,-28.04304,HIG_PAN,RAD_HIG,HighPointUniversity,D1,BSOU,20240329-HighPointUniversity-1,2e8521d0-ee08-11ee-9091-771aef38c21b,81.24682,,,5.65442,,,,,,,2e5cc152-c3b9-4d3d-ae7d-38d9ecd02690,2024-03-29,20:08:59.68,2024-03-29T16:08:59.6854206-04:00,2024-03-29T20:08:59.6854206Z,,v3,471515,471417,29 March 2024 16:00-radford@highpoint,"Grintz, Eric",686456,Right,HIG_PAN,7ed167ad-166e-4db3-97ea-af66292eccd7,55.09239,-120.60584,10.61921,5.95837,-7.17277,-14.02152,2.22339,-4.30335,5.25194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-29,16:09:41.18,3,2,"Wozniak, Brett",1000048759,Left,HIG_PAN,"Whitacre, Zack",1000116819,Right,RAD_HIG,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.98703,-0.992279,1.828335,1541.212013,114.769987,9:45,5.9796,-2.08165,5.68241,-33.68801,8.57363,-15.43194,2.2467,-1.6627,74.59399,-7.229333,-0.932818,0.467891,,,,,,,,,,,,8.37067,5.09575,1.93731,50,5.87502,-3.17261,-118.91654,-3.15732,11.87587,24.76516,-24.94448,HIG_PAN,RAD_HIG,HighPointUniversity,D1,BSOU,20240329-HighPointUniversity-1,4749c4f0-ee08-11ee-9091-771aef38c21b,80.55818,,,7.39304,,,,,,,2e5cc152-c3b9-4d3d-ae7d-38d9ecd02690,2024-03-29,20:09:41.18,2024-03-29T16:09:41.1800510-04:00,2024-03-29T20:09:41.1800510Z,,v3,471515,471417,29 March 2024 16:00-radford@highpoint,"Grintz, Eric",686456,Right,HIG_PAN,10cab829-0744-4dfb-af62-537de344168f,54.81833,-119.91578,12.38258,5.98211,-2.15083,-12.47224,2.07498,-3.65178,5.93793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-29,16:09:57.61,3,3,"Wozniak, Brett",1000048759,Left,HIG_PAN,"Whitacre, Zack",1000116819,Right,RAD_HIG,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.87844,-1.093851,2.546571,2469.954065,133.225184,10:30,6.04283,-2.08909,5.80547,-21.20548,14.19891,-13.94162,3.25724,-0.8809,81.46132,-5.068738,0.050481,0.428253,,,,,,,,,,,,7.78733,7.87233,1.88822,50,5.94027,-5.14445,-129.02806,-3.14773,13.17211,26.00011,-18.85811,HIG_PAN,RAD_HIG,HighPointUniversity,D1,BSOU,20240329-HighPointUniversity-1,51064ae0-ee08-11ee-9091-771aef38c21b,88.01451,,,7.41711,,,,,,,2e5cc152-c3b9-4d3d-ae7d-38d9ecd02690,2024-03-29,20:09:57.61,2024-03-29T16:09:57.6133054-04:00,2024-03-29T20:09:57.6133054Z,,v3,471515,471417,29 March 2024 16:00-radford@highpoint,"Grintz, Eric",686456,Right,HIG_PAN,6f49c688-6b80-4500-9ca6-36ecbc65b3de,54.69667,-129.97102,13.00006,6.04203,-2.46378,-9.42905,2.08345,-5.62217,6.58606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-29,16:10:14.46,3,4,"Wozniak, Brett",1000048759,Left,HIG_PAN,"Whitacre, Zack",1000116819,Right,RAD_HIG,Undefined,1,Top,1,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.49808,-3.123249,4.070929,2413.204535,142.669777,10:45,6.13484,-2.00011,5.79903,-18.28875,16.89969,-12.01871,1.69542,0.79133,81.91843,-6.565507,1.924624,0.426945,,,,,,,,,,,,7.26807,9.83233,1.6722,50,5.86629,-8.70967,-129.53761,-7.65119,12.36439,26.75597,-15.44738,HIG_PAN,RAD_HIG,HighPointUniversity,D1,BSOU,20240329-HighPointUniversity-1,5b155da0-ee08-11ee-9091-771aef38c21b,88.28415,,,7.57965,,,,,,,2e5cc152-c3b9-4d3d-ae7d-38d9ecd02690,2024-03-29,20:10:14.46,2024-03-29T16:10:14.4657854-04:00,2024-03-29T20:10:14.4657854Z,,v3,471515,471417,29 March 2024 16:00-radford@highpoint,"Grintz, Eric",686456,Right,HIG_PAN,8dd8cfa8-ba13-4171-8bb0-6795a56923d5,54.70337,-130.50547,13.37799,6.13295,-7.09241,-7.72369,1.99535,-9.15693,6.1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
