PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-29,16:04:59.44,1,1,"Hertzler, Cole",1000112688,Right,LIB_FLA,"Cotton, Caleb",702982,Left,SAM_BEA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.50075,-3.533853,-1.175707,2301.343908,206.847954,1:00,6.08969,0.76512,6.05522,-16.41013,15.49166,7.4217,1.44634,0.29519,86.3502,-6.599028,0.160976,0.406517,,,,,,,,,,,,-4.11103,9.05906,-0.67783,50,5.80578,2.4541,-134.43818,-8.81897,-7.67925,23.49773,-15.25204,LIB_FLA,SAM_BEA,Liberty,D1,CUSA,20240329-Liberty-1,9f4d9e70-ee07-11ee-9cf8-2f6111b34ab6,92.7204,,,6.15055,,,,,,,6717aa14-676e-43f3-bb9d-c0f02625658b,2024-03-29,20:04:59.44,2024-03-29T16:04:59.4455250-04:00,2024-03-29T20:04:59.4455250Z,,v3,471336,471430,29 March 2024 16:00-samhouston@liberty,"Dye, Macaddin",1000114594,Right,LIB_FLA,34c697e9-5698-412f-98db-167e93aab24a,54.44553,-135.21296,11.74887,6.08827,-8.31607,-7.62602,-0.76292,2.70731,-3.83963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-29,16:05:14.02,1,2,"Hertzler, Cole",1000112688,Right,LIB_FLA,"Cotton, Caleb",702982,Left,SAM_BEA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.9446,-1.932146,-1.31704,2302.410446,203.395944,12:45,5.97592,1.07477,5.98617,-16.39887,16.4091,6.66449,2.81744,0.40927,84.37271,-5.040061,-0.118785,0.41225,90.30343,41.926101,-61.193311,4485.809695,,,,,85.79857,,,-3.77977,9.26213,-0.97453,50,5.81429,2.78629,-133.56134,-5.00175,-6.85428,27.71356,-15.37805,LIB_FLA,SAM_BEA,Liberty,D1,CUSA,20240329-Liberty-1,a800cab0-ee07-11ee-9cf8-2f6111b34ab6,91.43094,67.82301,,7.57189,,,,0.21817,2.8131,-0.79801,6717aa14-676e-43f3-bb9d-c0f02625658b,2024-03-29,20:05:14.02,2024-03-29T16:05:14.0240082-04:00,2024-03-29T20:05:14.0240082Z,,v3,471336,471430,29 March 2024 16:00-samhouston@liberty,"Dye, Macaddin",1000114594,Right,LIB_FLA,1bb084c5-cfbf-47c9-99e6-770745ba86a8,54.51199,-134.49431,13.85678,5.97395,-4.48405,-7.68903,-1.07221,3.01703,-3.42714,,0.21819,47.47942,-18.05964,3.86,0.89646,-3.69689,4.15984,-2.16956,0.42823,2.81309,88.49721,-26.67867,4.00603,-1.91165,2.27447,-2.25305,1.15266,-0.22753,-0.798,-86.34648,10.06296,-2.33459,1.11799,-1.40037,1.40231,-0.71939,0.14233,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2024-03-29,16:05:32.99,1,3,"Hertzler, Cole",1000112688,Right,LIB_FLA,"Cotton, Caleb",702982,Left,SAM_BEA,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.89325,-2.128358,-0.372112,2230.659157,199.943453,12:45,6.08723,1.20928,6.06858,-17.27084,14.97666,5.0528,2.67749,1.286,84.74964,-5.404029,0.538197,0.408714,,,,,,,,,,,,-2.69264,8.63315,-1.18301,50,5.91301,0.65429,-134.85848,-5.5358,-4.94516,30.08117,-16.31896,LIB_FLA,SAM_BEA,Liberty,D1,CUSA,20240329-Liberty-1,b34920c0-ee07-11ee-9cf8-2f6111b34ab6,92.22205,,,8.14361,,,,,,,6717aa14-676e-43f3-bb9d-c0f02625658b,2024-03-29,20:05:32.99,2024-03-29T16:05:32.9970386-04:00,2024-03-29T20:05:32.9970386Z,,v3,471336,471430,29 March 2024 16:00-samhouston@liberty,"Dye, Macaddin",1000114594,Right,LIB_FLA,1113570c-47a0-4368-8bf6-1f3bd9cade21,54.42742,-135.84246,15.04059,6.08536,-5.00199,-8.15948,-1.20705,0.81605,-2.47258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-29,16:05:46.86,1,4,"Hertzler, Cole",1000112688,Right,LIB_FLA,"Cotton, Caleb",702982,Left,SAM_BEA,Undefined,1,Top,0,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.71873,-2.365719,-1.909909,2237.806365,231.32741,1:45,5.80718,1.46665,5.63865,-26.68112,13.57544,15.3615,1.37431,0.96438,76.87429,-7.308631,0.835931,0.456657,,,,,,,,,,,,-8.31402,7.92922,-1.31432,50,5.58906,3.42305,-121.45423,-5.87842,-12.43354,23.5209,-20.316,LIB_FLA,SAM_BEA,Liberty,D1,CUSA,20240329-Liberty-1,bb961120-ee07-11ee-9cf8-2f6111b34ab6,82.54002,,,6.84444,,,,,,,6717aa14-676e-43f3-bb9d-c0f02625658b,2024-03-29,20:05:46.86,2024-03-29T16:05:46.8610000-04:00,2024-03-29T20:05:46.8610000Z,,v3,471336,471430,29 March 2024 16:00-samhouston@liberty,"Dye, Macaddin",1000114594,Right,LIB_FLA,ad4207d3-9a06-463f-8783-e03ec34572a7,54.8594,-122.39169,11.76045,5.80722,-5.0687,-10.158,-1.46062,3.91861,-6.21677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.20323,,,0.909302,,,,2.84468,5.79865,-3.28206,70.98029,6.78181,-53.79356,2.92329,80.08497,-5.71692,5.85263,12.5216,-12.61412,-3.51838,-64.61163,10.11877,High,High,High,,,High,High,High
5,2024-03-29,16:06:11.48,2,1,"Hertzler, Cole",1000112688,Right,LIB_FLA,"Janek, Walker",801075,Right,SAM_BEA,Undefined,1,Top,1,0,0,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Double,0,0,,83.08206,-1.493628,-1.731835,2153.307026,229.240905,1:45,5.83154,1.26791,5.79776,-27.96738,12.29009,12.90442,2.11073,0.73199,76.84397,-6.6721,0.581412,0.456662,105.3732,25.661354,-31.5303,2986.775107,90.01968,47.24277,-63.2174,301.22698,283.52608,-40.989311,4.254633,-7.09059,7.01174,-1.13364,50,5.69186,3.15586,-120.74992,-4.03226,-10.56287,21.53337,-21.72868,LIB_FLA,SAM_BEA,Liberty,D1,CUSA,20240329-Liberty-1,ca3e0cf0-ee07-11ee-9cf8-2f6111b34ab6,82.5391,63.1218,,6.23809,,,,2.72737,2.41139,-0.88724,6717aa14-676e-43f3-bb9d-c0f02625658b,2024-03-29,20:06:11.48,2024-03-29T16:06:11.4802386-04:00,2024-03-29T20:06:11.4802386Z,FlyBall,v3,471336,471430,29 March 2024 16:00-samhouston@liberty,"Dye, Macaddin",1000114594,Right,LIB_FLA,c6e95570-3ea3-4a45-9f1b-76782544a775,54.70252,-121.58563,10.76669,5.83199,-3.18897,-10.86434,-1.26407,3.5658,-5.28143,,2.72846,118.71224,-33.08899,8.99634,-2.18184,0.42911,-0.0688,0.0074,-0.00034,2.41191,66.90999,-21.74127,2.05915,-0.0435,-0.14219,0.05893,-0.01037,0.00068,-0.88749,-72.84809,4.80205,1.95286,-1.02092,0.27839,-0.04305,0.00344,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
6,2024-03-29,16:06:51.61,3,1,"Hertzler, Cole",1000112688,Right,LIB_FLA,"Lott, Malachi",800733,Left,SAM_BEA,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.49565,2.159132,-0.064142,1931.219508,20.545308,6:45,5.88835,1.00939,5.33835,-54.04649,-8.44386,-3.61221,3.41098,0.6482,73.10151,-7.617416,-0.70653,0.486034,,,,,,,,,,,,1.79543,-4.34536,-1.00094,50,6.04397,0.27037,-114.14549,2.40124,2.40502,18.00137,-37.99468,LIB_FLA,SAM_BEA,Liberty,D1,CUSA,20240329-Liberty-1,e22b89f0-ee07-11ee-9cf8-2f6111b34ab6,77.55109,,,5.39414,,,,,,,6717aa14-676e-43f3-bb9d-c0f02625658b,2024-03-29,20:06:51.61,2024-03-29T16:06:51.6113618-04:00,2024-03-29T20:06:51.6113618Z,,v3,471336,471430,29 March 2024 16:00-samhouston@liberty,"Dye, Macaddin",1000114594,Right,LIB_FLA,9c94a94d-5f18-4634-8c76-4f5f0210bfa7,55.1642,-114.95702,9.00069,5.89711,4.11411,-18.99734,-1.01068,0.16195,1.20251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-29,16:07:07.25,3,2,"Hertzler, Cole",1000112688,Right,LIB_FLA,"Lott, Malachi",800733,Left,SAM_BEA,Undefined,1,Top,1,1,0,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.48901,-1.640639,-2.234851,2133.18895,228.600009,1:30,5.73014,1.33386,5.80316,-25.75942,14.68064,15.11304,2.05612,0.51378,76.11614,-6.461059,0.473187,0.457696,,,,,,,,,,,,-8.44878,8.38256,-1.15979,50,5.5801,4.13687,-121.12809,-4.26051,-12.47904,24.94982,-19.79282,LIB_FLA,SAM_BEA,Liberty,D1,CUSA,20240329-Liberty-1,eb7eedd0-ee07-11ee-9cf8-2f6111b34ab6,82.35253,,,7.37287,,,,,,,6717aa14-676e-43f3-bb9d-c0f02625658b,2024-03-29,20:07:07.25,2024-03-29T16:07:07.2531666-04:00,2024-03-29T20:07:07.2531666Z,,v3,471336,471430,29 March 2024 16:00-samhouston@liberty,"Dye, Macaddin",1000114594,Right,LIB_FLA,db749a60-7eb6-477b-80c6-713d269cd244,54.69577,-122.09149,12.47491,5.72985,-3.49624,-9.89641,-1.32883,4.61873,-6.23952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-29,16:07:32.93,3,3,"Hertzler, Cole",1000112688,Right,LIB_FLA,"Lott, Malachi",800733,Left,SAM_BEA,Undefined,1,Top,1,1,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.03956,-0.877388,-1.187613,2155.305593,135.273728,10:30,5.85444,1.10607,5.95285,-36.13565,2.41551,-1.47886,2.02921,-0.11873,78.96609,-7.488821,-1.453688,0.446879,83.574,66.686534,-64.732184,5586.823697,,,,,52.17986,,,0.51823,1.67102,-1.01081,50,5.76383,2.59225,-122.40449,-3.06088,0.80458,18.88046,-29.57975,LIB_FLA,SAM_BEA,Liberty,D1,CUSA,20240329-Liberty-1,faca7ca0-ee07-11ee-9cf8-2f6111b34ab6,84.34593,91.36644,,5.07347,,,,2.11017,1.49868,-0.13818,6717aa14-676e-43f3-bb9d-c0f02625658b,2024-03-29,20:07:32.93,2024-03-29T16:07:32.9317074-04:00,2024-03-29T20:07:32.9317074Z,,v3,471336,471430,29 March 2024 16:00-samhouston@liberty,"Dye, Macaddin",1000114594,Right,LIB_FLA,ec144a9b-da1e-437d-9fa9-a12876dfa383,54.54948,-123.10423,9.44023,5.85696,-1.9646,-14.78988,-1.10633,2.56242,0.40229,,2.11017,20.70668,-10.95871,2.93333,-0.7527,0.20355,-0.05246,0.01083,-0.00122,1.49868,112.56716,-38.67351,7.33184,-1.93892,0.52046,-0.13547,0.02802,-0.00317,-0.13818,-43.86908,3.35274,-0.89802,0.2305,-0.06234,0.01608,-0.00333,0.00038,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2024-03-29,16:07:57.87,3,4,"Hertzler, Cole",1000112688,Right,LIB_FLA,"Lott, Malachi",800733,Left,SAM_BEA,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.57814,-2.252036,-1.586528,2200.23867,240.65178,2:00,5.72823,1.25204,5.7166,-30.89309,8.86233,13.8141,1.05408,0.92494,77.81772,-7.914054,0.888109,0.453805,,,,,,,,,,,,-7.46622,5.38733,-1.12827,50,5.52047,2.82568,-121.47466,-5.8,-11.31071,20.70519,-24.01269,LIB_FLA,SAM_BEA,Liberty,D1,CUSA,20240329-Liberty-1,09ae7000-ee08-11ee-9cf8-2f6111b34ab6,83.05862,,,5.76042,,,,,,,6717aa14-676e-43f3-bb9d-c0f02625658b,2024-03-29,20:07:57.87,2024-03-29T16:07:57.8778322-04:00,2024-03-29T20:07:57.8778322Z,,v3,471336,471430,29 March 2024 16:00-samhouston@liberty,"Dye, Macaddin",1000114594,Right,LIB_FLA,b384e34b-09d2-4751-868e-28b3dc0c9840,54.78418,-122.2874,10.3526,5.72963,-4.85743,-12.00635,-1.2479,3.26965,-5.65535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-29,16:08:16.98,3,5,"Hertzler, Cole",1000112688,Right,LIB_FLA,"Lott, Malachi",800733,Left,SAM_BEA,Undefined,1,Top,1,2,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.19164,1.663338,-0.189946,2047.340395,27.614381,7:00,5.85327,0.92529,5.41383,-51.6444,-8.44221,-4.94898,3.10826,0.33493,75.30967,-7.667567,-1.071539,0.473069,,,,,,,,,,,,2.45677,-4.28075,-0.90485,50,5.96449,0.58178,-116.75955,1.55781,3.47165,17.10853,-38.2232,LIB_FLA,SAM_BEA,Liberty,D1,CUSA,20240329-Liberty-1,150c70f0-ee08-11ee-9cf8-2f6111b34ab6,79.67645,,,4.88197,,,,,,,6717aa14-676e-43f3-bb9d-c0f02625658b,2024-03-29,20:08:16.98,2024-03-29T16:08:16.9806546-04:00,2024-03-29T20:08:16.9806546Z,,v3,471336,471430,29 March 2024 16:00-samhouston@liberty,"Dye, Macaddin",1000114594,Right,LIB_FLA,3eef9a31-75af-4ed6-8c25-8d7e3f6ed3ed,55.08985,-117.50299,8.55427,5.86072,3.21877,-19.1116,-0.92685,0.43092,1.73582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
