PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-30,12:07:01.85,1,1,"Herman, Carsten",1000121447,Left,DIX_STE,"York, Kade",1000220575,Right,UTR_VAQ,Undefined,1,Top,0,0,0,Fastball,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,85.53511,-1.393315,1.039022,1678.966879,175.074359,11:45,6.11826,-1.6723,6.11209,-20.83934,16.37812,-1.32681,3.09287,-0.82205,79.58261,-5.299069,0.799876,0.439081,95.96144,11.52296,-13.164689,1131.370695,106.08779,10.62005,-29.07321,169.62087,147.8973,-16.968247,1.42253,0.92917,9.12186,1.59331,50,6.00025,-2.20776,-124.48357,-3.63834,1.48343,20.90793,-17.61114,DIX_STE,UTR_VAQ,BruceHurst,D1,WAC,20240330-BruceHurst-1,4ebb8df0-eec0-11ee-823a-3f4475c4cb50,85.84387,11.70635,,5.95249,,,,1.42481,3.09463,0.82382,8a6c276a-65f4-458a-a3bb-09e9d295acea,2024-03-30,18:07:01.85,2024-03-30T12:07:01.8509680-06:00,2024-03-30T18:07:01.8509680Z,LineDrive,v3,526275,471407,,"Dodson, Hank",823520,Right,DIX_STE,ca7bfefe-997f-47c5-9400-edb816cddd7e,54.38854,-125.21849,10.45396,6.11726,-3.01931,-8.80557,1.67183,-2.2599,0.74171,62.370964,1.42481,134.28224,-18.03278,2.84004,-0.56798,0.09417,-0.01752,0.00282,-0.00023,3.09463,28.11495,-24.63417,3.08284,-0.68332,0.15088,-0.02981,0.00517,-0.00051,0.82382,-31.40832,-4.89453,2.08951,-0.59331,0.15286,-0.03389,0.00616,-0.0006,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2024-03-30,12:07:31.83,2,1,"Herman, Carsten",1000121447,Left,DIX_STE,"Torres, Adrian",1000116402,Left,UTR_VAQ,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.62056,-2.877699,2.369019,1637.543836,130.97765,10:15,6.1116,-1.55817,6.13338,-27.87379,9.55815,-9.78217,1.12452,-0.18251,79.53138,-8.032574,0.604332,0.440345,,,,,,,,,,,,5.68296,5.97949,1.38241,50,5.87693,-4.77634,-124.36119,-7.12592,9.00096,22.28615,-22.7034,DIX_STE,UTR_VAQ,BruceHurst,D1,WAC,20240330-BruceHurst-1,609c94b0-eec0-11ee-823a-3f4475c4cb50,85.59758,,,6.08919,,,,,,,8a6c276a-65f4-458a-a3bb-09e9d295acea,2024-03-30,18:07:31.83,2024-03-30T12:07:31.8373232-06:00,2024-03-30T18:07:31.8373232Z,,v3,526275,471407,,"Dodson, Hank",823520,Right,DIX_STE,1f4ccb6f-f1cf-45a2-8d38-dba93e6c966a,54.36743,-125.1414,11.14307,6.11249,-6.3311,-11.3517,1.55514,-5.09145,4.50048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-30,12:07:42.97,2,2,"Herman, Carsten",1000121447,Left,DIX_STE,"Torres, Adrian",1000116402,Left,UTR_VAQ,Undefined,1,Top,1,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.90542,-1.713456,2.302155,1508.942373,121.937965,10:00,6.11153,-1.49446,6.07744,-29.83738,7.4487,-10.22693,2.03797,-0.21551,79.52284,-7.234918,0.459365,0.439486,,,,,,,,,,,,5.87575,4.60851,1.32183,50,5.96295,-4.62202,-124.83944,-4.69535,9.35709,22.99098,-24.83508,DIX_STE,UTR_VAQ,BruceHurst,D1,WAC,20240330-BruceHurst-1,673433f0-eec0-11ee-823a-3f4475c4cb50,85.76483,,,6.38258,,,,,,,8a6c276a-65f4-458a-a3bb-09e9d295acea,2024-03-30,18:07:42.97,2024-03-30T12:07:42.9703536-06:00,2024-03-30T18:07:42.9703536Z,,v3,526275,471407,,"Dodson, Hank",823520,Right,DIX_STE,c7a4b7f9-0cf3-4d8c-971e-cd7273128f3d,54.42268,-125.6513,11.49549,6.11327,-3.81837,-12.41754,1.49088,-4.95244,4.67854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-30,12:07:56.18,2,3,"Herman, Carsten",1000121447,Left,DIX_STE,"Torres, Adrian",1000116402,Left,UTR_VAQ,Undefined,1,Top,1,1,1,ChangeUp,Slider,InPlay,Undefined,GroundBall,Out,1,0,,78.52577,-0.048557,1.538657,1014.374572,134.596489,10:30,6.00556,-1.83138,6.08668,-38.13045,6.24977,-5.10677,2.78309,-0.83323,72.9843,-7.092589,0.618143,0.479475,44.85156,18.660062,-3.708198,2350.025249,,,,84.96868,84.96868,-6.793014,1.47244,3.02941,3.59484,1.71542,50,5.98133,-2.89084,-114.25687,-1.22655,4.05499,18.57119,-27.36221,DIX_STE,UTR_VAQ,BruceHurst,D1,WAC,20240330-BruceHurst-1,6f234ce0-eec0-11ee-823a-3f4475c4cb50,78.61185,9.62163,,5.54147,,,,0.93377,2.71932,0.84919,8a6c276a-65f4-458a-a3bb-09e9d295acea,2024-03-30,18:07:56.18,2024-03-30T12:07:56.1845616-06:00,2024-03-30T18:07:56.1845616Z,GroundBall,v3,526275,471407,,"Dodson, Hank",823520,Right,DIX_STE,e589cf48-138f-49bf-9709-7bf57d5d8b97,54.41407,-114.97209,9.2856,6.00827,-0.17277,-13.68111,1.82976,-3.04701,2.0275,109.486099,0.93376,62.19565,-4.51224,0.86781,-0.75733,1.02353,-0.90049,0.40818,-0.07244,2.71932,21.04621,-16.47524,0.63186,0.1994,-0.45238,0.41662,-0.18258,0.03084,0.84918,-4.03,-2.87075,0.67008,-0.43428,0.46697,-0.39903,0.17982,-0.03183,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-03-30,12:08:28.32,3,1,"Herman, Carsten",1000121447,Left,DIX_STE,"Vazquez, Martin",1000310872,Right,UTR_VAQ,Undefined,1,Top,2,0,0,ChangeUp,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.48831,-0.387818,1.483187,873.394913,146.49442,11:00,5.96705,-1.98303,6.32139,-38.65152,6.54859,-3.51024,2.3888,-0.90926,72.05912,-7.554488,0.847505,0.483884,,,,,,,,,,,,2.19571,3.89772,1.87629,50,5.92021,-2.80128,-112.76451,-1.8505,2.8609,18.21554,-27.0955,DIX_STE,UTR_VAQ,BruceHurst,D1,WAC,20240330-BruceHurst-1,824e5fd0-eec0-11ee-823a-3f4475c4cb50,77.89562,,,5.42919,,,,,,,8a6c276a-65f4-458a-a3bb-09e9d295acea,2024-03-30,18:08:28.32,2024-03-30T12:08:28.3261808-06:00,2024-03-30T18:08:28.3261808Z,,v3,526275,471407,,"Dodson, Hank",823520,Right,DIX_STE,2f88e5f1-5e3a-4b02-a450-5f081f1aa2df,54.17857,-113.4375,9.10777,5.97008,-0.84944,-13.54775,1.98174,-2.90697,1.43045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-30,12:08:39.44,3,2,"Herman, Carsten",1000121447,Left,DIX_STE,"Vazquez, Martin",1000310872,Right,UTR_VAQ,Undefined,1,Top,2,0,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.72914,-1.669622,2.727112,1641.047554,142.882342,10:45,6.1764,-1.73974,6.27948,-24.61749,11.62363,-8.02166,2.58385,0.1073,80.31877,-6.269549,1.278009,0.433284,70.39934,62.423491,97.896647,5056.326277,,,,,14.78075,,,4.86902,6.77969,1.54228,50,6.04091,-5.70253,-126.05534,-4.41806,7.92279,22.914,-21.1422,DIX_STE,UTR_VAQ,BruceHurst,D1,WAC,20240330-BruceHurst-1,88e514b0-eec0-11ee-823a-3f4475c4cb50,86.99255,30.4298,,6.41037,,,,1.26556,2.66079,-0.11679,8a6c276a-65f4-458a-a3bb-09e9d295acea,2024-03-30,18:08:39.44,2024-03-30T12:08:39.4457456-06:00,2024-03-30T18:08:39.4457456Z,,v3,526275,471407,,"Dodson, Hank",823520,Right,DIX_STE,267c38e0-7bc3-4586-afe3-572c74370e6f,54.2209,-126.82028,11.457,6.17661,-3.71227,-10.5711,1.73707,-5.96701,3.96139,330.961192,1.27104,-6.78702,-6.8553,,,,,,,2.66565,91.32879,-24.64875,,,,,,,-0.11223,47.16378,-8.71086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2024-03-30,12:08:53.33,3,3,"Herman, Carsten",1000121447,Left,DIX_STE,"Vazquez, Martin",1000310872,Right,UTR_VAQ,Undefined,1,Top,2,0,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,71.64812,2.094923,-0.10955,2036.551218,328.235482,5:00,5.97292,-1.83754,5.70765,-65.42944,-10.41158,7.53587,2.47316,-1.31162,65.84938,-9.848461,1.241584,0.533855,,,,,,,,,,,,-3.85028,-5.32953,1.84203,50,6.10805,-0.06583,-104.05781,1.80742,-4.19626,18.44165,-37.98249,DIX_STE,UTR_VAQ,BruceHurst,D1,WAC,20240330-BruceHurst-1,91414750-eec0-11ee-823a-3f4475c4cb50,70.60426,,,5.79874,,,,,,,8a6c276a-65f4-458a-a3bb-09e9d295acea,2024-03-30,18:08:53.33,2024-03-30T12:08:53.3390000-06:00,2024-03-30T18:08:53.3390000Z,,v3,526275,471407,,"Dodson, Hank",823520,Right,DIX_STE,229fb710-ddbc-44bc-8194-8d71aec7e0ce,54.79417,-104.90402,9.22083,5.98513,3.55027,-18.99124,1.84063,0.12671,-2.09813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.05337,2.88938,1.896192,0.993188,-1.93388,1.86715,1.23649,1.75369,4.8561,3.56221,72.77435,7.31281,-52.01068,1.81381,75.74207,-4.29446,4.93154,16.8409,-14.50256,3.47521,-60.99864,5.12423,High,High,High,,,High,High,High
8,2024-03-30,12:11:42.51,1,1,"Tjelmeland, Zach",1000098320,Right,UTR_VAQ,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.96995,-3.526164,-1.866776,1941.516065,206.755351,1:00,6.10436,1.91594,6.17605,-19.35757,15.72776,7.34894,1.22891,0.80374,81.41642,-7.179241,-0.540561,0.426319,,,,,,,,,,,,-4.35547,9.50662,-1.77853,50,5.8275,3.91206,-129.0132,-8.51856,-7.32315,27.44272,-16.18993,DIX_STE,UTR_VAQ,BruceHurst,D1,WAC,20240330-BruceHurst-1,f605f0a0-eec0-11ee-823a-3f4475c4cb50,88.4138,,,7.55353,,,,,,,8a6c276a-65f4-458a-a3bb-09e9d295acea,2024-03-30,18:11:42.51,2024-03-30T12:11:42.5166192-06:00,2024-03-30T18:11:42.5166192Z,,v3,526275,471407,,"Lancia, Steven",1000121307,Right,UTR_VAQ,2352633b-291d-4f32-b68d-b8546e8b2b58,54.3226,-129.92942,13.72136,6.10288,-7.97803,-8.09496,-1.91322,4.15656,-3.66157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-30,12:12:00.31,1,2,"Tjelmeland, Zach",1000098320,Right,UTR_VAQ,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.22139,-1.376784,-1.37541,1931.532189,203.283268,12:45,5.94108,1.81457,6.06048,-18.11076,16.61237,6.69288,3.15698,1.09908,81.8785,-4.808437,-0.170484,0.424112,,,,,,,,,,,,-3.80071,9.24552,-1.71127,50,5.82435,2.83415,-129.63705,-3.6452,-6.49571,26.00923,-16.37276,DIX_STE,UTR_VAQ,BruceHurst,D1,WAC,20240330-BruceHurst-1,00abec30-eec1-11ee-823a-3f4475c4cb50,88.87375,,,7.34289,,,,,,,8a6c276a-65f4-458a-a3bb-09e9d295acea,2024-03-30,18:12:00.31,2024-03-30T12:12:00.3193200-06:00,2024-03-30T18:12:00.3193200Z,,v3,526275,471407,,"Lancia, Steven",1000121307,Right,UTR_VAQ,e4e24e1f-edb4-4486-9d37-8d330e68d1d5,54.43713,-130.52424,13.00461,5.93917,-3.08672,-8.18638,-1.81173,3.05572,-3.24786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-30,12:12:14.57,1,3,"Tjelmeland, Zach",1000098320,Right,UTR_VAQ,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Bottom,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.78579,-2.808199,-1.842161,1963.285688,222.323805,1:30,6.10024,1.70031,6.21379,-20.47879,14.34363,12.11599,1.79869,1.00934,81.90927,-6.653917,0.346233,0.424718,,,,,,,,,,,,-6.73394,8.48386,-1.56797,50,5.87916,3.65941,-128.94497,-6.93733,-11.42168,24.94784,-17.78423,DIX_STE,UTR_VAQ,BruceHurst,D1,WAC,20240330-BruceHurst-1,0920afe0-eec1-11ee-823a-3f4475c4cb50,88.74696,,,6.87652,,,,,,,8a6c276a-65f4-458a-a3bb-09e9d295acea,2024-03-30,18:12:14.57,2024-03-30T12:12:14.5706864-06:00,2024-03-30T18:12:14.5706864Z,,v3,526275,471407,,"Lancia, Steven",1000121307,Right,UTR_VAQ,9573b848-763c-4f64-b3e3-63c47296d710,54.28494,-129.77136,12.47392,6.0992,-6.34824,-8.89211,-1.69545,4.03775,-5.71084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
