PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-30,19:02:36.11,1,1,"Hartle, Josh",1000069321,Left,WAK_DEA,"Gallaher, Gavin",703555,Right,NOR_TAR,Undefined,1,Top,0,0,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.86832,-0.172405,3.199916,2409.698044,131.852935,10:30,5.59763,-3.16925,6.36316,-29.44045,2.20248,-1.44036,2.98535,-0.34147,85.61344,-5.642245,2.939615,0.404865,,,,,,,,,,,,1.57744,1.49244,2.93822,50,5.57155,-7.48468,-134.93507,-1.40946,2.92811,27.49282,-29.40375,WAK_DEA,NOR_TAR,David F. Couch,D1,ACC,20240330-David F. Couch-1,99a9d960-eee9-11ee-a552-f728d122d1d3,93.09889,,,7.25488,,,,,,,280d0e7e-5a0e-4f59-bfc4-fbf9da83f717,2024-03-30,23:02:36.11,2024-03-30T19:02:36.1194092-04:00,2024-03-30T23:02:36.1194092Z,,v3,471484,471370,30 March 2024 19:00-unc@wake,"Ballestero, Tate",1000047988,Right,WAK_DEA,3467fc34-adc0-46b8-9543-334af63f3691,54.13648,-135.77525,13.74641,5.60089,-0.51087,-14.70187,3.16832,-7.57416,1.46406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-30,19:02:48.05,1,2,"Hartle, Josh",1000069321,Left,WAK_DEA,"Gallaher, Gavin",703555,Right,NOR_TAR,Undefined,1,Top,0,0,1,Curveball,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.9477,-0.654728,2.524146,2709.456299,313.390301,4:30,5.72748,-3.10462,6.00417,-52.70054,-11.35442,13.26729,0.72854,0.34118,76.13439,-10.241124,4.913622,0.462795,,,,,,,,,,,,-6.20555,-5.42646,2.89865,50,5.64662,-5.73638,-119.12733,-3.09436,-8.91756,22.88199,-39.97202,WAK_DEA,NOR_TAR,David F. Couch,D1,ACC,20240330-David F. Couch-1,a0cd64f0-eee9-11ee-a552-f728d122d1d3,81.44517,,,5.81331,,,,,,,280d0e7e-5a0e-4f59-bfc4-fbf9da83f717,2024-03-30,23:02:48.05,2024-03-30T19:02:48.0548460-04:00,2024-03-30T23:02:48.0548460Z,,v3,471484,471370,30 March 2024 19:00-unc@wake,"Ballestero, Tate",1000047988,Right,WAK_DEA,e7e35ff7-5390-4cd9-a674-ac66158533bd,54.49992,-119.98856,11.441,5.73478,-1.5899,-19.98601,3.10824,-5.40074,-4.45878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-30,19:03:02.09,1,3,"Hartle, Josh",1000069321,Left,WAK_DEA,"Gallaher, Gavin",703555,Right,NOR_TAR,Undefined,1,Top,0,0,2,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.66261,-0.539509,1.865312,2665.331979,304.487168,4:15,5.67654,-3.07462,5.76104,-50.08692,-9.138,15.01942,1.00019,-0.08622,76.70415,-9.629941,4.558957,0.460567,,,,,,,,,,,,-7.20764,-4.2228,2.91067,50,5.60101,-4.49263,-120.17088,-2.85976,-10.55301,23.01288,-38.35683,WAK_DEA,NOR_TAR,David F. Couch,D1,ACC,20240330-David F. Couch-1,a970d9c0-eee9-11ee-a552-f728d122d1d3,81.83928,,,5.95846,,,,,,,280d0e7e-5a0e-4f59-bfc4-fbf9da83f717,2024-03-30,23:03:02.09,2024-03-30T19:03:02.0976236-04:00,2024-03-30T23:03:02.0976236Z,,v3,471484,471370,30 March 2024 19:00-unc@wake,"Ballestero, Tate",1000047988,Right,WAK_DEA,bee7c68e-b629-436c-b313-03b54968447b,54.74242,-121.07565,11.50644,5.6838,-1.35173,-19.17842,3.07914,-4.07773,-5.2765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-30,19:03:15.81,1,4,"Hartle, Josh",1000069321,Left,WAK_DEA,"Gallaher, Gavin",703555,Right,NOR_TAR,Undefined,1,Top,0,1,2,Curveball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.38216,1.337816,0.853194,2692.99799,310.407968,4:15,5.63226,-3.26226,5.95606,-50.21495,-10.33749,13.50024,2.68869,-1.34596,77.01671,-7.852938,3.282222,0.454501,,,,,,,,,,,,-6.67599,-5.25839,3.18717,50,5.71079,-2.33709,-121.27958,1.09843,-9.97163,23.0865,-40.02823,WAK_DEA,NOR_TAR,David F. Couch,D1,ACC,20240330-David F. Couch-1,b1580370-eee9-11ee-a552-f728d122d1d3,82.93145,,,6.36544,,,,,,,280d0e7e-5a0e-4f59-bfc4-fbf9da83f717,2024-03-30,23:03:15.81,2024-03-30T19:03:15.8191724-04:00,2024-03-30T23:03:15.8191724Z,,v3,471484,471370,30 March 2024 19:00-unc@wake,"Ballestero, Tate",1000047988,Right,WAK_DEA,44b81a22-cd12-4bd5-a22d-5c81ed59c5de,54.54679,-122.14203,11.54325,5.64182,2.59377,-20.01411,3.26752,-1.96458,-4.98581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-03-30,19:03:30.94,1,5,"Hartle, Josh",1000069321,Left,WAK_DEA,"Gallaher, Gavin",703555,Right,NOR_TAR,Undefined,1,Top,0,2,2,ChangeUp,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,86.33895,-0.780205,2.58175,1812.620819,61.272982,8:00,5.54704,-3.29431,5.79548,-36.38183,0.0937,-1.23232,1.78872,-0.99392,81.79158,-7.388146,2.360999,0.434683,,,,,,,,,,,,1.11217,0.41933,3.08265,50,5.46038,-5.62172,-125.74381,-2.99111,1.84015,17.49832,-31.48026,WAK_DEA,NOR_TAR,David F. Couch,D1,ACC,20240330-David F. Couch-1,ba5c0ed0-eee9-11ee-a552-f728d122d1d3,86.71253,,,4.54738,,,,,,,280d0e7e-5a0e-4f59-bfc4-fbf9da83f717,2024-03-30,23:03:30.94,2024-03-30T19:03:30.9400000-04:00,2024-03-30T23:03:30.9400000Z,,v3,471484,471370,30 March 2024 19:00-unc@wake,"Ballestero, Tate",1000047988,Right,WAK_DEA,44bea191-b937-4c44-8d36-3c5daa0a0733,54.70806,-126.39727,8.74916,5.55013,-1.81549,-15.74013,3.29387,-5.69044,0.92008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.99855,2.951857,1.972634,0.979224,-0.17696,1.57896,0.92831,5.45887,5.27255,3.21133,73.31928,3.60566,-51.45736,5.46003,71.72912,-2.48075,5.30389,10.97405,-12.96472,3.09779,-64.88048,9.32097,High,High,High,,,High,Medium,High
6,2024-03-30,19:03:56.28,2,1,"Hartle, Josh",1000069321,Left,WAK_DEA,"Cook, Casey",695517,Left,NOR_TAR,Undefined,1,Top,1,0,0,Curveball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.91749,1.382367,1.28734,2705.570828,308.972367,4:15,5.62491,-3.1236,5.97881,-51.6107,-10.30351,14.21347,2.60599,-0.74562,75.70757,-8.064123,3.844718,0.462577,,,,,,,,,,,,-6.95835,-5.29796,3.01406,50,5.70567,-3.21802,-119.13896,1.14503,-10.02383,22.40428,-39.80604,WAK_DEA,NOR_TAR,David F. Couch,D1,ACC,20240330-David F. Couch-1,c96c9070-eee9-11ee-a552-f728d122d1d3,81.48357,,,6.20992,,,,,,,280d0e7e-5a0e-4f59-bfc4-fbf9da83f717,2024-03-30,23:03:56.28,2024-03-30T19:03:56.2862700-04:00,2024-03-30T23:03:56.2862700Z,,v3,471484,471370,30 March 2024 19:00-unc@wake,"Ballestero, Tate",1000047988,Right,WAK_DEA,8f3ffafe-a634-4bda-b342-2377faadaa67,54.52449,-119.98679,11.20214,5.63384,2.65136,-19.90302,3.12865,-2.8387,-5.01192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-30,19:04:06.93,2,2,"Hartle, Josh",1000069321,Left,WAK_DEA,"Cook, Casey",695517,Left,NOR_TAR,Undefined,1,Top,1,0,1,ChangeUp,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,84.90303,-0.270701,2.199506,1936.828943,340.249502,5:15,5.5585,-3.1954,5.94751,-39.7949,-2.50362,1.15721,1.991,-1.0579,80.8689,-7.502793,2.407506,0.439516,,,,,,,,,,,,-0.22626,-1.0641,3.01961,50,5.5137,-4.79727,-123.79196,-1.92838,-0.36461,15.78632,-33.88875,WAK_DEA,NOR_TAR,David F. Couch,D1,ACC,20240330-David F. Couch-1,cfc1cf80-eee9-11ee-a552-f728d122d1d3,85.75888,,,4.03413,,,,,,,280d0e7e-5a0e-4f59-bfc4-fbf9da83f717,2024-03-30,23:04:06.93,2024-03-30T19:04:06.9304940-04:00,2024-03-30T23:04:06.9304940Z,,v3,471484,471370,30 March 2024 19:00-unc@wake,"Ballestero, Tate",1000047988,Right,WAK_DEA,ac5d6824-86fa-46e9-a58c-e5ae848f55dd,54.5572,-124.37175,7.89316,5.56167,-0.68374,-16.94438,3.19556,-4.78388,-0.1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-30,19:04:21.11,2,3,"Hartle, Josh",1000069321,Left,WAK_DEA,"Cook, Casey",695517,Left,NOR_TAR,Undefined,1,Top,1,1,1,Fastball,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.80109,-0.712921,3.994897,2357.911347,164.926195,11:30,5.51575,-3.06801,6.51919,-23.48308,9.95611,-2.44102,2.90307,0.39997,83.36047,-5.111146,3.553348,0.416197,72.1715,41.277161,-137.177238,2615.753249,,,,,58.32167,,,2.23551,5.67847,2.79058,50,5.4556,-9.02201,-130.48414,-2.32877,3.91133,23.63944,-22.23874,WAK_DEA,NOR_TAR,David F. Couch,D1,ACC,20240330-David F. Couch-1,d8395250-eee9-11ee-a552-f728d122d1d3,90.56388,42.99976,,6.44062,,,,2.54104,2.66002,-0.15029,280d0e7e-5a0e-4f59-bfc4-fbf9da83f717,2024-03-30,23:04:21.11,2024-03-30T19:04:21.1144300-04:00,2024-03-30T23:04:21.1144300Z,,v3,471484,471370,30 March 2024 19:00-unc@wake,"Ballestero, Tate",1000047988,Right,WAK_DEA,23ef7124-dafb-458b-94df-270b06677fd7,53.98211,-131.20358,11.81972,5.51617,-1.65195,-11.11937,3.06697,-9.14105,1.95566,42.006713,2.54104,-58.34687,-0.84364,1.12426,-0.29245,0.08083,-0.01662,0.00338,-0.00051,2.66002,69.83038,-26.84048,3.32669,-0.696,0.14541,-0.0246,0.00483,-0.00063,-0.15029,-54.07286,9.81054,-0.60015,0.06423,0.0248,-0.00761,0.00134,-0.00027,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2024-03-30,19:04:36.77,2,4,"Hartle, Josh",1000069321,Left,WAK_DEA,"Cook, Casey",695517,Left,NOR_TAR,Undefined,1,Top,1,1,2,ChangeUp,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.79372,-2.413451,3.793624,1927.705941,11.745601,6:30,5.50419,-3.12657,6.03288,-39.18683,-1.66583,-0.61685,-0.00252,0.34015,79.12331,-9.603175,3.682707,0.440868,,,,,,,,,,,,1.53736,0.23827,2.83026,50,5.29395,-8.30772,-125.65596,-6.63385,2.42231,28.91389,-31.79863,WAK_DEA,NOR_TAR,David F. Couch,D1,ACC,20240330-David F. Couch-1,e18bf2e0-eee9-11ee-a552-f728d122d1d3,85.49597,,,7.67041,,,,,,,280d0e7e-5a0e-4f59-bfc4-fbf9da83f717,2024-03-30,23:04:36.77,2024-03-30T19:04:36.7768684-04:00,2024-03-30T23:04:36.7768684Z,,v3,471484,471370,30 March 2024 19:00-unc@wake,"Ballestero, Tate",1000047988,Right,WAK_DEA,ead50427-2308-4c95-97b8-74bc3d9772bc,54.46663,-126.67957,14.45695,5.50887,-5.5081,-15.89932,3.12589,-8.39347,1.21115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-30,19:04:53.16,2,5,"Hartle, Josh",1000069321,Left,WAK_DEA,"Cook, Casey",695517,Left,NOR_TAR,Undefined,1,Top,1,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,83.27938,0.356118,1.672568,2833.12522,320.754559,4:45,5.57143,-3.08936,6.20303,-52.11334,-12.29977,11.03103,1.55751,-0.6258,76.81728,-9.20309,3.667869,0.454137,,,,,,,,,,,,-5.26634,-6.16965,2.95822,50,5.57211,-3.94535,-121.12367,-0.95749,-7.79643,24.42613,-41.30773,WAK_DEA,NOR_TAR,David F. Couch,D1,ACC,20240330-David F. Couch-1,eb4e4530-eee9-11ee-a552-f728d122d1d3,82.99797,,,6.46211,,,,,,,280d0e7e-5a0e-4f59-bfc4-fbf9da83f717,2024-03-30,23:04:53.16,2024-03-30T19:04:53.1610732-04:00,2024-03-30T23:04:53.1610732Z,,v3,471484,471370,30 March 2024 19:00-unc@wake,"Ballestero, Tate",1000047988,Right,WAK_DEA,33369e15-ec06-4f8d-9e86-e9894000edec,54.30021,-121.98778,12.21306,5.58013,0.50383,-20.65387,3.09291,-3.66954,-3.89822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
