PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-30,14:26:58.61,1,1,"Chaffee, Evan",10063909,Left,STJ_RED,"Evans, Charlie",1000242870,Right,WIN_EAG,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.67564,-0.756661,2.918445,1855.220829,120.816695,10:00,5.61091,-0.45286,6.94905,-23.04741,12.11631,-18.31855,3.00077,0.67876,79.62449,-5.174771,-0.432992,0.426795,,,,,,,,,,,,10.56347,7.0387,0.2762,50,5.55577,-5.81909,-127.37243,-2.27203,17.20999,28.18794,-20.70663,STJ_RED,WIN_EAG,JackKaiser,D1,BEAST,20240330-JackKaiser-2,1878afe0-eec3-11ee-9f52-df1fa4f40aac,88.31517,,,8.05115,,,,,,,880c119b-3af8-4f0d-92f2-2148bbfd6f35,2024-03-30,18:26:58.61,2024-03-30T14:26:58.6184386-04:00,2024-03-30T18:26:58.6184386Z,,v3,4285,471494,,"Keenan, Jimmy",1000115564,Right,STJ_RED,436d51a5-056d-44fd-9747-8d16a2816c01,53.54863,-128.15534,14.09397,5.61089,-1.69691,-10.35332,0.44446,-6.29709,8.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-30,14:27:12.63,1,2,"Chaffee, Evan",10063909,Left,STJ_RED,"Evans, Charlie",1000242870,Right,WIN_EAG,Undefined,1,Top,0,0,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.43096,-0.769791,1.758299,1871.808777,113.669783,9:45,5.55417,-0.59435,7.23348,-24.80482,10.07154,-20.35048,2.79002,-0.69836,79.63599,-5.525925,-1.990051,0.425047,,,,,,,,,,,,11.41044,6.01485,0.49762,50,5.50295,-3.19473,-127.20999,-2.31952,18.55143,27.99977,-22.39492,STJ_RED,WIN_EAG,JackKaiser,D1,BEAST,20240330-JackKaiser-2,20d75380-eec3-11ee-9f52-df1fa4f40aac,88.6783,,,7.79497,,,,,,,880c119b-3af8-4f0d-92f2-2148bbfd6f35,2024-03-30,18:27:12.63,2024-03-30T14:27:12.6319298-04:00,2024-03-30T18:27:12.6319298Z,,v3,4285,471494,,"Keenan, Jimmy",1000115564,Right,STJ_RED,71290856-acec-42a8-a528-a656d91ee8f4,53.26504,-127.92663,13.99989,5.55498,-1.74634,-11.19746,0.58547,-3.66954,9.27572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-30,14:27:29.31,1,3,"Chaffee, Evan",10063909,Left,STJ_RED,"Evans, Charlie",1000242870,Right,WIN_EAG,Undefined,1,Top,0,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.78982,0.136063,0.600856,2029.743431,140.461608,10:45,5.79715,-0.49623,6.93034,-17.90107,18.0469,-13.67375,4.42927,-1.08869,77.66381,-3.407494,-1.901781,0.431528,,,,,,,,,,,,7.33012,9.88745,0.4614,50,5.79863,-0.78896,-127.31426,-0.06033,11.61701,34.51117,-16.50409,STJ_RED,WIN_EAG,JackKaiser,D1,BEAST,20240330-JackKaiser-2,2ac5bee0-eec3-11ee-9f52-df1fa4f40aac,87.34654,,,10.12602,,,,,,,880c119b-3af8-4f0d-92f2-2148bbfd6f35,2024-03-30,18:27:29.31,2024-03-30T14:27:29.3181634-04:00,2024-03-30T18:27:29.3181634Z,,v3,4285,471494,,"Keenan, Jimmy",1000115564,Right,STJ_RED,d665ca41-36c0-49f7-8579-a4a20b49e9a3,53.55926,-128.27544,17.25559,5.79391,0.39933,-8.25205,0.48788,-1.11251,5.80851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-30,14:27:42.98,1,4,"Chaffee, Evan",10063909,Left,STJ_RED,"Evans, Charlie",1000242870,Right,WIN_EAG,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Out,1,0,,79.88521,0.208138,1.280859,1256.467949,106.822168,9:30,5.4105,-0.76901,6.66297,-35.72707,7.72556,-20.04922,2.62375,-1.26758,71.65787,-6.569876,-2.373067,0.474438,109.65729,-61.99859,40.717485,,,,,2.20572,2.20572,81.47391,0.016751,10.92524,4.50327,0.68969,50,5.41071,-1.87848,-115.95636,-0.5331,14.49336,26.86812,-26.20005,STJ_RED,WIN_EAG,JackKaiser,D1,BEAST,20240330-JackKaiser-2,32f25600-eec3-11ee-9f52-df1fa4f40aac,79.44652,2.38203,,8.22735,,,,-0.633,2.38203,1.35509,880c119b-3af8-4f0d-92f2-2148bbfd6f35,2024-03-30,18:27:42.98,2024-03-30T14:27:42.9870274-04:00,2024-03-30T18:27:42.9870274Z,GroundBall,v3,4285,471494,,"Keenan, Jimmy",1000115564,Right,STJ_RED,08921584-c6d2-4574-b563-74b26d66a5b6,53.83265,-116.84104,13.43406,5.41406,0.32958,-13.10002,0.7594,-2.3557,7.24668,,-0.63322,57.312,,,,,,,,2.38258,-142.20448,,,,,,,,1.3549,49.32653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
5,2024-03-30,14:28:14.00,2,1,"Chaffee, Evan",10063909,Left,STJ_RED,"Benhardt, Alan",1000125039,Left,WIN_EAG,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,89.23458,-1.614487,2.721699,1939.605564,120.077657,10:00,5.65459,-0.36178,7.15638,-22.80706,11.13071,-17.09985,2.28858,0.68206,80.55189,-6.006238,-0.420805,0.419289,,,,,,,,,,,,10.07158,6.8667,0.20644,50,5.55301,-5.55259,-129.59885,-4.22171,16.83557,31.41755,-20.69575,STJ_RED,WIN_EAG,JackKaiser,D1,BEAST,20240330-JackKaiser-2,45664df0-eec3-11ee-9f52-df1fa4f40aac,89.89618,,,8.68269,,,,,,,880c119b-3af8-4f0d-92f2-2148bbfd6f35,2024-03-30,18:28:14.00,2024-03-30T14:28:14.0007106-04:00,2024-03-30T18:28:14.0007106Z,,v3,4285,471494,,"Keenan, Jimmy",1000115564,Right,STJ_RED,1a92ee89-da23-4ec9-9702-740a5ec180b6,53.34153,-130.40639,15.70878,5.65469,-3.68975,-10.34788,0.35472,-5.98532,8.41779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-30,14:28:46.67,3,1,"Chaffee, Evan",10063909,Left,STJ_RED,"Badillo, Nicholas",1000182747,Right,WIN_EAG,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.646,-0.736664,1.638883,1989.959818,144.910767,10:45,5.6274,-0.37742,7.12071,-16.97875,17.36651,-11.34134,3.54402,0.16439,79.94493,-4.068851,-0.444132,0.421798,,,,,,,,,,,,6.53492,9.87197,0.28274,50,5.57778,-3.26574,-128.81428,-2.00481,10.81448,30.5242,-15.83716,STJ_RED,WIN_EAG,JackKaiser,D1,BEAST,20240330-JackKaiser-2,58e26710-eec3-11ee-9f52-df1fa4f40aac,89.36127,,,8.70106,,,,,,,880c119b-3af8-4f0d-92f2-2148bbfd6f35,2024-03-30,18:28:46.67,2024-03-30T14:28:46.6745026-04:00,2024-03-30T18:28:46.6745026Z,,v3,4285,471494,,"Keenan, Jimmy",1000115564,Right,STJ_RED,6699129d-8886-4569-a885-afecf576c981,53.37424,-129.61138,15.2621,5.62473,-1.59124,-7.91858,0.3717,-3.54814,5.40724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-30,14:29:01.04,3,2,"Chaffee, Evan",10063909,Left,STJ_RED,"Badillo, Nicholas",1000182747,Right,WIN_EAG,Undefined,1,Top,2,0,1,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,89.34715,-1.940539,1.738253,2093.609735,132.735416,10:30,5.6804,-0.43502,6.98257,-20.80332,13.22603,-12.99383,2.1805,0.06349,80.74551,-5.948112,-0.643265,0.419854,99.39379,1.078836,-0.448363,1504.682828,,,,54.78761,50.40328,0.825066,0.393136,7.47595,8.04233,0.33151,50,5.55371,-3.45899,-129.76814,-4.91613,12.54638,31.16218,-18.67712,STJ_RED,WIN_EAG,JackKaiser,D1,BEAST,20240330-JackKaiser-2,6172f020-eec3-11ee-9f52-df1fa4f40aac,89.77512,2.21823,,8.60164,,,,0.73509,2.13224,-0.06497,880c119b-3af8-4f0d-92f2-2148bbfd6f35,2024-03-30,18:29:01.04,2024-03-30T14:29:01.0481346-04:00,2024-03-30T18:29:01.0481346Z,GroundBall,v3,4285,471494,,"Keenan, Jimmy",1000115564,Right,STJ_RED,b22152f8-fda9-478b-b300-14de575f2211,53.51434,-130.60933,15.58109,5.67961,-4.41196,-9.33856,0.42946,-3.79767,6.27319,300.693801,0.74377,145.45189,-20.39749,,,,,,,2.14017,2.47449,-20.19069,,,,,,,-0.07156,-0.91529,7.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2024-03-30,14:29:41.76,4,1,"Chaffee, Evan",10063909,Left,STJ_RED,"Hernandez, Jaylen",1000193856,Left,WIN_EAG,Undefined,1,Top,2,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.56921,1.59815,2.020248,2080.04609,254.699049,2:30,5.54283,-0.67754,6.53404,-42.76435,4.27563,9.78654,3.44637,1.99189,69.53402,-6.426394,3.795413,0.493634,,,,,,,,,,,,-4.44591,2.27587,0.53389,50,5.63619,-4.25794,-111.13608,1.94234,-5.4915,22.22242,-29.36295,STJ_RED,WIN_EAG,JackKaiser,D1,BEAST,20240330-JackKaiser-2,79bd8140-eec3-11ee-9f52-df1fa4f40aac,76.3571,,,7.0352,,,,,,,880c119b-3af8-4f0d-92f2-2148bbfd6f35,2024-03-30,18:29:41.76,2024-03-30T14:29:41.7639106-04:00,2024-03-30T18:29:41.7639106Z,,v3,4285,471494,,"Keenan, Jimmy",1000115564,Right,STJ_RED,1cd5675b-60c5-4bde-a7b4-eef021bc6d9f,53.96201,-111.92551,11.11121,5.54866,2.98543,-14.68147,0.68169,-4.06286,-2.74575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-30,14:30:00.94,4,2,"Chaffee, Evan",10063909,Left,STJ_RED,"Hernandez, Jaylen",1000193856,Left,WIN_EAG,Undefined,1,Top,2,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.00929,-0.22789,2.22906,1913.496931,136.373136,10:30,5.61375,-0.5006,6.87193,-20.75233,14.43706,-12.57001,3.67654,0.48443,79.37766,-4.238758,-0.06772,0.42695,,,,,,,,,,,,7.29646,8.08808,0.36231,50,5.5915,-4.49202,-127.80072,-1.01725,11.89514,29.84994,-18.98838,STJ_RED,WIN_EAG,JackKaiser,D1,BEAST,20240330-JackKaiser-2,85267eb0-eec3-11ee-9f52-df1fa4f40aac,88.28298,,,8.63163,,,,,,,880c119b-3af8-4f0d-92f2-2148bbfd6f35,2024-03-30,18:30:00.94,2024-03-30T14:30:00.9441986-04:00,2024-03-30T18:30:00.9441986Z,,v3,4285,471494,,"Keenan, Jimmy",1000115564,Right,STJ_RED,ea0afa0f-1da9-4afa-a1dd-49abe527e50f,53.62281,-128.64411,14.92497,5.61266,-0.48075,-9.49419,0.49398,-4.82811,5.94757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-30,14:30:18.15,4,3,"Chaffee, Evan",10063909,Left,STJ_RED,"Hernandez, Jaylen",1000193856,Left,WIN_EAG,Undefined,1,Top,2,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.80359,-0.146666,1.350018,1938.162753,134.347894,10:30,5.63646,-0.55257,6.90644,-19.9521,14.65127,-13.70127,3.84017,-0.46455,79.8491,-4.01785,-1.156691,0.42338,,,,,,,,,,,,7.6302,8.18359,0.47105,50,5.61985,-2.50963,-128.9868,-0.81058,12.62262,31.35,-18.63596,STJ_RED,WIN_EAG,JackKaiser,D1,BEAST,20240330-JackKaiser-2,8f64b7c0-eec3-11ee-9f52-df1fa4f40aac,89.02744,,,8.95449,,,,,,,880c119b-3af8-4f0d-92f2-2148bbfd6f35,2024-03-30,18:30:18.15,2024-03-30T14:30:18.1531330-04:00,2024-03-30T18:30:18.1531330Z,,v3,4285,471494,,"Keenan, Jimmy",1000115564,Right,STJ_RED,950c163c-4e24-4463-900b-623bb70dae61,53.58792,-129.85591,15.675,5.63515,-0.29394,-9.31798,0.54547,-2.85956,6.31131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
