PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-30,13:00:54.20,1,1,"Potthoff, Kyle",693687,Right,NOR_CAT,"Sanderson, Case",806508,Left,NEB,Undefined,1,Top,0,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.94599,-2.956321,-3.056094,2408.76204,177.890374,12:00,5.98963,1.65364,6.16339,-26.09344,10.56083,-0.34709,1.0779,-1.20108,80.03909,-7.804088,-3.118623,0.435746,,,,,,,,,,,,-0.65795,6.62674,-1.42151,50,5.75151,6.7447,-126.07909,-7.32853,-1.06042,25.31987,-21.49354,NOR_CAT,NEB,Northwestern,D1,BIG10,20240330-Northwestern-1,73fdef50-eebf-11ee-b256-599cc5c88088,86.50088,,,6.9069,,,,,,,894b055e-cca8-468d-ad10-343e4bc8b2a0,2024-03-30,18:00:54.20,2024-03-30T13:00:54.2062524-05:00,2024-03-30T18:00:54.2062524Z,,v3,471395,4865,30 March 2024 14:00-nebraska@nwestern,"Markinson, Bennett",1000060013,Right,NOR_CAT,c7e6d673-82a7-4bf8-8f7a-473effc8af08,54.33741,-126.94716,12.65993,5.99013,-6.59164,-10.74677,-1.65337,6.78106,-0.53021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-30,13:01:05.97,1,2,"Potthoff, Kyle",693687,Right,NOR_CAT,"Sanderson, Case",806508,Left,NEB,Undefined,1,Top,0,1,0,Fastball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.24519,-1.606902,-2.902262,2418.39521,186.471798,12:15,5.962,1.70572,6.13829,-26.54738,11.54524,1.17555,2.26232,-0.8809,78.30596,-6.563063,-2.690612,0.444213,,,,,,,,,,,,-1.40315,6.77327,-1.48478,50,5.82547,6.22705,-123.72363,-4.28097,-2.17835,24.32637,-21.65887,NOR_CAT,NEB,Northwestern,D1,BIG10,20240330-Northwestern-1,7b134a10-eebf-11ee-b256-599cc5c88088,84.8521,,,6.93923,,,,,,,894b055e-cca8-468d-ad10-343e4bc8b2a0,2024-03-30,18:01:05.97,2024-03-30T13:01:05.9708860-05:00,2024-03-30T18:01:05.9708860Z,,v3,471395,4865,30 March 2024 14:00-nebraska@nwestern,"Markinson, Bennett",1000060013,Right,NOR_CAT,4d01dfd1-b0e7-49c1-9a8a-d4243bc134a6,54.36161,-124.57825,12.16318,5.9625,-3.52006,-10.82944,-1.70489,6.30358,-1.08917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-30,13:01:18.70,1,3,"Potthoff, Kyle",693687,Right,NOR_CAT,"Sanderson, Case",806508,Left,NEB,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.34434,-3.672303,-3.15405,2194.421903,216.741501,1:15,6.15819,1.50288,6.13995,-18.37469,15.92276,11.00442,1.2233,-0.49792,82.236,-7.154172,-1.172541,0.421505,,,,,,,,,,,,-6.64315,9.68142,-1.26784,50,5.86792,6.75499,-130.79641,-8.94436,-11.42937,29.3513,-15.51745,NOR_CAT,NEB,Northwestern,D1,BIG10,20240330-Northwestern-1,8294d420-eebf-11ee-b256-599cc5c88088,89.42354,,,8.10834,,,,,,,894b055e-cca8-468d-ad10-343e4bc8b2a0,2024-03-30,18:01:18.70,2024-03-30T13:01:18.7081148-05:00,2024-03-30T18:01:18.7081148Z,,v3,471395,4865,30 March 2024 14:00-nebraska@nwestern,"Markinson, Bennett",1000060013,Right,NOR_CAT,11c88e7b-d4ea-49ff-ba5a-d1d72bc1a35e,54.35982,-131.77114,14.67565,6.15639,-8.42904,-7.75872,-1.49847,7.13455,-5.71468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-30,13:01:30.87,1,4,"Potthoff, Kyle",693687,Right,NOR_CAT,"Sanderson, Case",806508,Left,NEB,Undefined,1,Top,0,2,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,87.99027,-2.087213,-2.963434,2230.617565,235.779332,1:45,5.89821,1.70758,6.74629,-23.54852,12.0017,15.72099,2.02557,0.30787,79.36234,-6.586212,-0.097612,0.429134,91.89198,-19.744549,21.732798,,,,,8.30143,8.30143,8.021338,0.041236,-9.33969,7.41603,-1.51839,50,5.75182,6.02835,-127.62764,-5.28818,-15.12297,30.75276,-20.16594,NOR_CAT,NEB,Northwestern,D1,BIG10,20240330-Northwestern-1,89d0f0c0-eebf-11ee-b256-599cc5c88088,87.8338,1.88034,,8.62794,,,,3.35383,1.88034,-0.7814,894b055e-cca8-468d-ad10-343e4bc8b2a0,2024-03-30,18:01:30.87,2024-03-30T13:01:30.8775356-05:00,2024-03-30T18:01:30.8775356Z,GroundBall,v3,471395,4865,30 March 2024 14:00-nebraska@nwestern,"Markinson, Bennett",1000060013,Right,NOR_CAT,0a8299a1-a205-458e-895b-e057d129f316,53.75351,-128.52889,15.37638,5.89814,-4.69719,-10.08297,-1.70156,6.47155,-7.56148,180,3.35265,118.01295,,,,,,,,1.8808,-45.59948,,,,,,,,-0.78187,47.04133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-03-30,13:02:01.93,2,1,"Potthoff, Kyle",693687,Right,NOR_CAT,"Silva, Riley",683342,Left,NEB,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.37402,-0.873548,-3.05087,2166.230743,247.494904,2:15,5.97452,1.54584,6.65563,-25.55442,8.80926,18.36477,3.04435,0.28151,80.91718,-5.722045,0.290453,0.421911,,,,,,,,,,,,-10.52646,5.2824,-1.34652,50,5.90556,6.18504,-129.71314,-2.7256,-17.72456,30.09743,-23.27948,NOR_CAT,NEB,Northwestern,D1,BIG10,20240330-Northwestern-1,9c569bf0-eebf-11ee-b256-599cc5c88088,89.33735,,,8.45685,,,,,,,894b055e-cca8-468d-ad10-343e4bc8b2a0,2024-03-30,18:02:01.93,2024-03-30T13:02:01.9389372-05:00,2024-03-30T18:02:01.9389372Z,,v3,471395,4865,30 March 2024 14:00-nebraska@nwestern,"Markinson, Bennett",1000060013,Right,NOR_CAT,b72672eb-e444-4a67-b63a-ba7e21366020,53.84295,-130.60178,15.04872,5.97589,-2.03826,-11.63974,-1.53686,6.70836,-8.86228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-30,13:02:14.37,2,2,"Potthoff, Kyle",693687,Right,NOR_CAT,"Silva, Riley",683342,Left,NEB,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.99931,-2.113395,-3.786679,2237.444316,251.821841,2:30,5.84167,1.7461,6.68881,-25.96891,7.83906,20.35359,1.73958,-0.02611,81.86661,-7.017033,-0.082561,0.418486,,,,,,,,,,,,-11.97993,5.10733,-1.501,50,5.69007,7.88173,-130.55552,-5.58722,-20.48791,29.83126,-23.43957,NOR_CAT,NEB,Northwestern,D1,BIG10,20240330-Northwestern-1,a3c958f0-eebf-11ee-b256-599cc5c88088,90.06859,,,8.1327,,,,,,,894b055e-cca8-468d-ad10-343e4bc8b2a0,2024-03-30,18:02:14.37,2024-03-30T13:02:14.3756220-05:00,2024-03-30T18:02:14.3756220Z,,v3,471395,4865,30 March 2024 14:00-nebraska@nwestern,"Markinson, Bennett",1000060013,Right,NOR_CAT,62a0469a-4010-49e9-875b-4aa99bd35786,53.81328,-131.42395,14.91563,5.84279,-4.90487,-11.71978,-1.73913,8.47815,-10.24396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-03-30,13:02:32.99,2,3,"Potthoff, Kyle",693687,Right,NOR_CAT,"Silva, Riley",683342,Left,NEB,Undefined,1,Top,1,0,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.41901,-2.405128,-2.847797,2313.4278,249.59604,2:15,5.88255,1.70584,6.78803,-26.09667,8.16808,18.67245,1.50826,0.66008,81.00927,-7.348753,0.561559,0.421304,76.12425,-59.509566,27.149157,,,,,2.87688,2.87688,-4.538022,0.016471,-10.84012,5.45406,-1.52707,50,5.71635,5.75928,-129.747,-6.19678,-18.19988,30.96734,-23.01707,NOR_CAT,NEB,Northwestern,D1,BIG10,20240330-Northwestern-1,aee520c0-eebf-11ee-b256-599cc5c88088,89.46622,1.58777,,8.40974,,,,2.03595,1.58777,-0.65423,894b055e-cca8-468d-ad10-343e4bc8b2a0,2024-03-30,18:02:32.99,2024-03-30T13:02:32.9928636-05:00,2024-03-30T18:02:32.9928636Z,GroundBall,v3,471395,4865,30 March 2024 14:00-nebraska@nwestern,"Markinson, Bennett",1000060013,Right,NOR_CAT,525835c7-bc35-4ad5-9212-7afc6411d6e1,53.71254,-130.63009,15.48367,5.8837,-5.54041,-11.50853,-1.6987,6.27828,-9.09994,,2.03569,50.50844,,,,,,,,1.58828,-96.40029,,,,,,,,-0.65436,25.90118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
8,2024-03-30,13:03:05.87,3,1,"Potthoff, Kyle",693687,Right,NOR_CAT,"Evans, Cole",1000078693,Right,NEB,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.15837,-1.065504,-2.882587,2420.726124,161.065027,11:15,6.12403,1.46148,5.77397,-34.6501,5.18811,-1.33693,2.24363,-1.33463,77.03083,-7.447566,-3.121758,0.454278,,,,,,,,,,,,-0.15591,3.36445,-1.22231,50,6.01512,6.19945,-122.03567,-3.4383,-0.23419,24.90408,-27.1204,NOR_CAT,NEB,Northwestern,D1,BIG10,20240330-Northwestern-1,c27732e0-eebf-11ee-b256-599cc5c88088,82.97223,,,7.12754,,,,,,,894b055e-cca8-468d-ad10-343e4bc8b2a0,2024-03-30,18:03:05.87,2024-03-30T13:03:05.8715068-05:00,2024-03-30T18:03:05.8715068Z,,v3,471395,4865,30 March 2024 14:00-nebraska@nwestern,"Markinson, Bennett",1000060013,Right,NOR_CAT,0de93c38-6325-4421-900e-5f3403e683f4,54.72475,-122.99608,12.45204,6.12755,-2.39242,-13.5602,-1.46156,6.20848,-0.11709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-30,13:03:17.72,3,2,"Potthoff, Kyle",693687,Right,NOR_CAT,"Evans, Cole",1000078693,Right,NEB,Undefined,1,Top,2,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.81355,-1.83277,-3.124875,2395.768101,211.056383,1:00,6.07441,1.61857,6.03813,-34.9014,5.71382,2.67193,1.4658,-1.05513,76.18382,-8.273565,-2.644341,0.458686,,,,,,,,,,,,-2.25851,3.83185,-1.376,50,5.91224,6.45799,-120.13762,-4.94748,-3.29852,23.42431,-26.57767,NOR_CAT,NEB,Northwestern,D1,BIG10,20240330-Northwestern-1,c990fa70-eebf-11ee-b256-599cc5c88088,82.17476,,,6.62974,,,,,,,894b055e-cca8-468d-ad10-343e4bc8b2a0,2024-03-30,18:03:17.72,2024-03-30T13:03:17.7221052-05:00,2024-03-30T18:03:17.7221052Z,,v3,471395,4865,30 March 2024 14:00-nebraska@nwestern,"Markinson, Bennett",1000060013,Right,NOR_CAT,20d33ff7-7911-40fd-8e08-3eadaecd0c22,54.46257,-121.0046,11.71216,6.07716,-3.96379,-13.28884,-1.61728,6.58007,-1.64926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-30,13:03:30.36,3,3,"Potthoff, Kyle",693687,Right,NOR_CAT,"Evans, Cole",1000078693,Right,NEB,Undefined,1,Top,2,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,HomeRun,0,1,,89.94136,-3.177395,-1.986166,2264.448633,217.196572,1:15,6.18889,1.37548,6.15964,-16.12414,18.46324,13.08824,1.90506,0.63054,81.57028,-6.271744,0.374203,0.423282,107.15216,19.400146,-20.119817,2032.532427,100.96427,36.46631,-43.65837,389.84976,368.91054,-30.281661,4.1081,-7.41355,10.90158,-1.23139,50,5.93914,3.98751,-130.37295,-7.6786,-12.62728,30.0654,-13.60576,NOR_CAT,NEB,Northwestern,D1,BIG10,20240330-Northwestern-1,d11320c0-eebf-11ee-b256-599cc5c88088,89.048,52.86411,,8.37109,,,,1.33171,2.18307,-0.82961,894b055e-cca8-468d-ad10-343e4bc8b2a0,2024-03-30,18:03:30.36,2024-03-30T13:03:30.3627196-05:00,2024-03-30T18:03:30.3627196Z,LineDrive,v3,471395,4865,30 March 2024 14:00-nebraska@nwestern,"Markinson, Bennett",1000060013,Right,NOR_CAT,d39495ab-9bae-4b3e-91a6-f22f94bb9de2,54.34023,-131.37004,15.0327,6.18631,-7.22738,-6.80288,-1.37058,4.40628,-6.31364,,1.33084,139.21282,-29.28014,7.36708,-1.70342,0.36414,-0.06594,0.00798,-0.00043,2.18419,52.16824,-12.95558,-0.92307,0.61009,-0.19754,0.04072,-0.0043,0.00016,-0.82974,-50.98316,-1.1787,1.53274,-0.54338,0.12171,-0.01791,0.00155,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
