PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-03-30,13:06:45.96,1,1,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Skagerlind, Kevin",1000100002,Right,UMA_AMH,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.93079,-3.089622,-3.081397,1895.922166,245.663315,2:15,5.84531,1.85572,6.08256,-24.5336,8.32024,16.13213,0.93562,0.34661,84.51615,-7.644864,-0.175881,0.412538,,,,,,,,,,,,-9.18831,5.44331,-1.62617,50,5.59318,6.50389,-133.31669,-8.03202,-16.57519,28.03573,-22.3546,VCU_RAM,UMA_AMH,TheDiamond,D1,A10,20240330-TheDiamond-1,e4025cd0-eeb7-11ee-9ab1-31ff302f770b,91.36709,,,7.41464,,,,,,,dc090adb-27e8-4112-bc51-0b63ebc02986,2024-03-30,17:06:45.96,2024-03-30T13:06:45.9618532-04:00,2024-03-30T17:06:45.9618532Z,,v3,471479,umass,,"Kleinman, Casey",1000098568,Right,VCU_RAM,d0c8427a-24fe-45f2-ab73-24337cbd22e4,54.41658,-134.24226,14.01787,5.84616,-7.29401,-11.1773,-1.84992,7.05111,-8.2876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-03-30,13:06:56.57,1,2,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Skagerlind, Kevin",1000100002,Right,UMA_AMH,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.35323,-2.0908,-2.650457,1998.295489,236.922188,2:00,5.8308,1.87383,6.08061,-20.90781,11.69485,16.34139,2.15122,0.78175,84.41171,-6.018225,0.291912,0.410959,,,,,,,,,,,,-9.16489,6.9387,-1.67747,50,5.65799,5.50574,-134.01856,-5.57382,-16.64666,29.3177,-19.57092,VCU_RAM,UMA_AMH,TheDiamond,D1,A10,20240330-TheDiamond-1,ea4af1b0-eeb7-11ee-9ab1-31ff302f770b,91.71834,,,7.94152,,,,,,,dc090adb-27e8-4112-bc51-0b63ebc02986,2024-03-30,17:06:56.57,2024-03-30T13:06:56.5764836-04:00,2024-03-30T17:06:56.5764836Z,,v3,471479,umass,,"Kleinman, Casey",1000098568,Right,VCU_RAM,f1fb78ec-2225-4287-965e-a1e97bf712a0,54.41726,-134.98142,14.65885,5.83049,-4.93107,-9.78546,-1.86727,6.05245,-8.32333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-03-30,13:07:08.18,1,3,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Skagerlind, Kevin",1000100002,Right,UMA_AMH,Undefined,1,Top,0,1,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.4478,-1.629937,-2.628415,1994.176755,243.406163,2:00,5.71583,1.83531,6.10639,-23.63836,9.57548,16.9906,2.23674,0.81894,83.57506,-6.054868,0.432875,0.414793,,,,,,,,,,,,-9.5293,5.72803,-1.64217,50,5.57811,5.3826,-132.75255,-4.5574,-16.97096,28.9556,-21.97284,VCU_RAM,UMA_AMH,TheDiamond,D1,A10,20240330-TheDiamond-1,f1491af0-eeb7-11ee-9ab1-31ff302f770b,90.87057,,,7.87274,,,,,,,dc090adb-27e8-4112-bc51-0b63ebc02986,2024-03-30,17:07:08.18,2024-03-30T13:07:08.1880804-04:00,2024-03-30T17:07:08.1880804Z,,v3,471479,umass,,"Kleinman, Casey",1000098568,Right,VCU_RAM,ef3d0265-7b4d-421f-b790-c33d36a2d06b,54.39199,-133.70708,14.4778,5.71641,-3.83305,-10.98642,-1.82883,5.94206,-8.48548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-03-30,13:07:36.35,2,1,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Burgess, Austin",1000307062,Right,UMA_AMH,Undefined,1,Top,1,0,0,Slider,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,80.20475,1.502559,0.879971,2064.344905,110.267731,9:45,5.72973,2.20516,5.54239,-36.93785,7.62662,-16.40887,4.0563,1.6602,72.44152,-5.347028,-2.045692,0.480469,34.19507,2.533064,157.54824,2509.865515,,,,26.93959,26.93959,162.215826,0.561724,8.57315,3.82114,-2.27013,50,5.8357,-1.12919,-116.28353,1.84798,11.57526,24.63709,-27.01482,VCU_RAM,UMA_AMH,TheDiamond,D1,A10,20240330-TheDiamond-1,020b6b40-eeb8-11ee-9ab1-31ff302f770b,78.44919,3.9566,,7.76323,,,,-0.26281,3.88375,-1.56133,dc090adb-27e8-4112-bc51-0b63ebc02986,2024-03-30,17:07:36.35,2024-03-30T13:07:36.3514596-04:00,2024-03-30T17:07:36.3514596Z,GroundBall,v3,471479,umass,,"Kleinman, Casey",1000098568,Right,VCU_RAM,b222abfc-85e2-4140-99d5-b85796ce488a,54.95393,-117.32843,12.31854,5.73303,2.99372,-13.50741,-2.21183,-1.62011,5.78763,280.365405,-0.26281,-46.30569,1.95762,0.10834,-0.71445,2.47065,-3.99857,2.72859,-0.49808,3.88375,2.21656,-16.60663,0.66377,-0.0992,0.04244,0.23474,-0.56446,0.35598,-1.56133,19.13463,-3.11559,0.06827,0.76896,-2.88256,4.73535,-3.309,0.65342,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-03-30,13:08:10.03,3,1,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Travisano, Matt",811258,Right,UMA_AMH,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.58697,-1.875269,-4.01588,2137.822931,222.196845,1:30,5.84992,1.88074,6.11994,-18.73229,14.5643,12.19119,2.55037,-0.82201,83.30742,-5.428595,-1.825404,0.415309,,,,,,,,,,,,-7.42697,8.38886,-1.5789,50,5.69616,8.79201,-132.67287,-4.91831,-13.18001,29.54196,-17.28707,VCU_RAM,UMA_AMH,TheDiamond,D1,A10,20240330-TheDiamond-1,1611ea10-eeb8-11ee-9ab1-31ff302f770b,90.75757,,,8.27955,,,,,,,dc090adb-27e8-4112-bc51-0b63ebc02986,2024-03-30,17:08:10.03,2024-03-30T13:08:10.0345572-04:00,2024-03-30T17:08:10.0345572Z,,v3,471479,umass,,"Kleinman, Casey",1000098568,Right,VCU_RAM,00c1033c-ea60-43df-a299-38d236cc18d2,54.37616,-133.64374,14.77098,5.84846,-4.35018,-8.64354,-1.87496,9.22516,-6.59001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-03-30,13:08:48.97,3,2,"Vaughan, Everett",1000091149,Right,VCU_RAM,"Travisano, Matt",811258,Right,UMA_AMH,Undefined,1,Top,1,0,1,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Out,2,0,,86.20621,-1.272485,-3.045173,1667.027071,264.809635,2:45,5.7303,1.92701,5.9366,-35.1884,2.74925,15.86591,1.61561,0.42156,78.40597,-7.77974,-0.194414,0.443309,89.11516,10.606043,-13.266564,6807.308102,106.20016,8.54158,-28.6611,158.13492,138.22652,-16.218954,1.479218,-9.16414,2.13725,-1.69326,50,5.60871,6.0203,-125.01231,-3.95984,-14.3416,27.8086,-28.82932,VCU_RAM,UMA_AMH,TheDiamond,D1,A10,20240330-TheDiamond-1,2d48c140-eeb8-11ee-9ab1-31ff302f770b,85.02515,9.75194,,7.80024,,,,2.37262,1.80001,-0.3913,dc090adb-27e8-4112-bc51-0b63ebc02986,2024-03-30,17:08:48.97,2024-03-30T13:08:48.9706724-04:00,2024-03-30T17:08:48.9706724Z,LineDrive,v3,471479,umass,,"Kleinman, Casey",1000098568,Right,VCU_RAM,e42aa50d-1c22-4c30-bfbd-2c6a4887bb9c,54.56235,-126.0231,13.9043,5.7336,-2.91195,-14.41466,-1.92156,6.54159,-7.1708,98.128759,2.37262,125.04063,-20.50422,3.86055,-0.86031,0.18635,-0.0398,0.0069,-0.00064,1.80001,24.05636,-19.36729,2.02236,-0.44122,0.1033,-0.02105,0.00364,-0.00035,-0.3913,-29.48132,0.16901,-0.22996,0.05848,-0.01339,0.00259,-0.00042,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2024-03-30,13:11:30.25,1,1,"O'Connor, Robbie",1000092102,Right,UMA_AMH,"Kleinman, Casey",1000098568,Right,VCU_RAM,Undefined,1,Bottom,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.46523,0.031834,-3.752852,2139.350321,263.088848,2:45,4.98832,2.73425,5.75393,-32.41392,3.8717,21.58418,2.31686,1.03452,80.14778,-5.970239,0.105001,0.433549,,,,,,,,,,,,-12.09603,2.34087,-2.43579,50,4.97139,7.47175,-128.18343,-1.08075,-19.93325,28.85899,-28.31647,VCU_RAM,UMA_AMH,TheDiamond,D1,A10,20240330-TheDiamond-1,8d684c80-eeb8-11ee-9ab1-31ff302f770b,86.9392,,,8.31746,,,,,,,dc090adb-27e8-4112-bc51-0b63ebc02986,2024-03-30,17:11:30.25,2024-03-30T13:11:30.2552292-04:00,2024-03-30T17:11:30.2552292Z,,v3,471479,umass,,"Given, Jake",1000078914,Right,UMA_AMH,e1a2c162-f5db-4be2-b1a5-b35b8e652002,54.74392,-129.24705,14.4295,4.99199,-0.03712,-14.15824,-2.7247,8.2064,-9.96663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-03-30,13:11:44.29,1,2,"O'Connor, Robbie",1000092102,Right,UMA_AMH,"Kleinman, Casey",1000098568,Right,VCU_RAM,Undefined,1,Bottom,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.38376,0.162225,-1.916158,2561.3712,83.534056,8:45,4.96804,2.6384,5.10192,-48.85869,-0.20957,-16.50804,1.04943,-0.54344,70.584,-8.695299,-4.835695,0.502006,,,,,,,,,,,,7.66091,0.27532,-2.44393,50,4.94512,4.40773,-112.15053,-1.36832,9.62539,22.83905,-31.82811,VCU_RAM,UMA_AMH,TheDiamond,D1,A10,20240330-TheDiamond-1,95c93a10-eeb8-11ee-9ab1-31ff302f770b,75.08364,,,6.79976,,,,,,,dc090adb-27e8-4112-bc51-0b63ebc02986,2024-03-30,17:11:44.29,2024-03-30T13:11:44.2900708-04:00,2024-03-30T17:11:44.2900708Z,,v3,471479,umass,,"Given, Jake",1000078914,Right,UMA_AMH,628d18af-e553-417a-8e57-f020acf93260,55.39653,-113.24418,11.41953,4.97415,0.15578,-15.91406,-2.64396,3.94682,4.81269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-03-30,13:11:58.91,1,3,"O'Connor, Robbie",1000092102,Right,UMA_AMH,"Kleinman, Casey",1000098568,Right,VCU_RAM,Undefined,1,Bottom,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.21112,1.477858,-3.142832,2526.72275,86.543805,9:00,4.94485,2.66919,5.14137,-46.47018,0.79102,-11.56343,2.46623,-1.25657,71.63297,-6.959141,-5.182621,0.494793,,,,,,,,,,,,4.84496,0.42429,-2.36539,50,5.04771,6.68969,-113.29213,1.30668,6.2743,21.39215,-31.62459,VCU_RAM,UMA_AMH,TheDiamond,D1,A10,20240330-TheDiamond-1,9e7cdb80-eeb8-11ee-9ab1-31ff302f770b,76.17813,,,6.57814,,,,,,,dc090adb-27e8-4112-bc51-0b63ebc02986,2024-03-30,17:11:58.91,2024-03-30T13:11:58.9158116-04:00,2024-03-30T17:11:58.9158116Z,,v3,471479,umass,,"Given, Jake",1000078914,Right,UMA_AMH,41f21e8c-5f83-4f4c-a3ed-8d9d685a153c,55.35628,-114.29904,10.69607,4.95117,2.79523,-15.81229,-2.67332,6.39436,3.13715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-03-30,13:12:18.21,1,4,"O'Connor, Robbie",1000092102,Right,UMA_AMH,"Kleinman, Casey",1000098568,Right,VCU_RAM,Undefined,1,Bottom,0,2,1,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.28331,-0.72757,-5.579189,2163.382335,243.70462,2:00,5.01079,2.38625,5.88991,-24.71474,10.98902,19.63395,2.27244,-1.17426,80.51912,-5.366809,-2.077363,0.430059,,,,,,,,,,,,-11.72174,6.21906,-1.94653,50,4.93785,11.7491,-128.99133,-2.45458,-19.52625,29.66107,-21.81427,VCU_RAM,UMA_AMH,TheDiamond,D1,A10,20240330-TheDiamond-1,aa1ffbc0-eeb8-11ee-9ab1-31ff302f770b,87.64477,,,8.76419,,,,,,,dc090adb-27e8-4112-bc51-0b63ebc02986,2024-03-30,17:12:18.21,2024-03-30T13:12:18.2145252-04:00,2024-03-30T17:12:18.2145252Z,,v3,471479,umass,,"Given, Jake",1000078914,Right,UMA_AMH,a4ff99ce-b015-4f0c-b526-8714417513c1,54.60636,-130.04623,14.83054,5.01135,-1.67875,-10.90713,-2.37673,12.44355,-9.76312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
