School,City,State,Type,Conference,Division
Abilene Christian University,Abilene,Texas,Private,Western Athletic Conference,NCAA D1
Alabama A&M University,Normal,Alabama,Public,Southwestern Athletic Conference,NCAA D1
Alabama State University,Montgomery,Alabama,Public,Southwestern Athletic Conference,NCAA D1
Alcorn State University,Alcorn State,Mississippi,Public,Southwestern Athletic Conference,NCAA D1
Appalachian State University,Boone,North Carolina,Public,Sun Belt Conference,NCAA D1
Arizona State University,Tempe,Arizona,Public,Big 12 Conference,NCAA D1
Arkansas State University,Jonesboro,Arkansas,Public,Sun Belt Conference,NCAA D1
Auburn University,Auburn,Alabama,Public,Southeastern Conference,NCAA D1
Austin Peay State University,Clarksville,Tennessee,Public,Atlantic Sun Conference,NCAA D1
Ball State University,Muncie,Indiana,Public,Mid-American Conference,NCAA D1
Baylor University,Waco,Texas,Private,Big 12 Conference,NCAA D1
Bellarmine University,Louisville,Kentucky,Private,Atlantic Sun Conference,NCAA D1
Belmont University,Nashville,Tennessee,Private,Missouri Valley Conference,NCAA D1
Bethune-Cookman University,Daytona Beach,Florida,Private,Southwestern Athletic Conference,NCAA D1
Boston College,Chestnut Hill,Massachusetts,Private,Atlantic Coast Conference,NCAA D1
Bowling Green State University,Bowling Green,Ohio,Public,Mid-American Conference,NCAA D1
Bradley University,Peoria,Illinois,Private,Missouri Valley Conference,NCAA D1
Brigham Young University,Provo,Utah,Private,Big 12 Conference,NCAA D1
Brown University,Providence,Rhode Island,Private,Ivy League,NCAA D1
Bryant University,Smithfield,Rhode Island,Private,American East Conference,NCAA D1
Bucknell University,Lewisburg,Pennsylvania,Private,Patriot League,NCAA D1
Butler University,Indianapolis,Indiana,Private,Big East Conference,NCAA D1
California Baptist University,Riverside,California,Private,Western Athletic Conference,NCAA D1
California Polytechnic State University – San Luis Obispo,San Luis Obispo,California,Public,Big Sky Conference,NCAA D1
California State University – Bakersfield,Bakersfield,California,Public,Big West Conference,NCAA D1
California State University – Fresno,Fresno,California,Public,Mountain West Conference,NCAA D1
California State University – Fullerton,Fullerton,California,Public,Big West Conference,NCAA D1
California State University – Long Beach,Long Beach,California,Public,Big West Conference,NCAA D1
California State University – Northridge,Northridge,California,Public,Big West Conference,NCAA D1
California State University – Sacramento,Sacramento,California,Public,Big Sky Conference,NCAA D1
Campbell University,Buies Creek,North Carolina,Private,Colonial Athletic Association,NCAA D1
Canisius University,Buffalo,New York,Private,Metro Atlantic Athletic Conference,NCAA D1
Central Connecticut State University,New Britain,Connecticut,Public,Northeast Conference,NCAA D1
Central Michigan University,Mount Pleasant,Michigan,Public,Mid-American Conference,NCAA D1
Charleston Southern University,Charleston,South Carolina,Private,Big South Conference,NCAA D1
Clemson University,Clemson,South Carolina,Public,Atlantic Coast Conference,NCAA D1
Coastal Carolina University,Conway,South Carolina,Public,Sun Belt Conference,NCAA D1
College of Charleston,Charleston,South Carolina,Public,Colonial Athletic Association,NCAA D1
College of the Holy Cross,Worcester,Massachusetts,Private,Patriot League,NCAA D1
Columbia University,New York,New York,Private,Ivy League,NCAA D1
Coppin State University,Baltimore,Maryland,Public,Mid-Eastern Athletic Conference,NCAA D1
Cornell University,Ithaca,New York,Private,Ivy League,NCAA D1
Creighton University,Omaha,Nebraska,Private,Big East Conference,NCAA D1
Dartmouth College,Hanover,New Hampshire,Private,Ivy League,NCAA D1
Davidson College,Davidson,North Carolina,Private,Atlantic 10 Conference,NCAA D1
Delaware State University,Dover,Delaware,Public,Mid-Eastern Athletic Conference,NCAA D1
Duke University,Durham,North Carolina,Private,Atlantic Coast Conference,NCAA D1
East Carolina University,Greenville,North Carolina,Public,American Athletic Conference,NCAA D1
East Tennessee State University,Johnson City,Tennessee,Public,Southern Conference,NCAA D1
Eastern Illinois University,Charleston,Illinois,Public,Ohio Valley Conference,NCAA D1
Eastern Kentucky University,Richmond,Kentucky,Public,Atlantic Sun Conference,NCAA D1
Eastern Michigan University,Ypsilanti,Michigan,Public,Mid-American Conference,NCAA D1
Elon University,Elon,North Carolina,Private,Colonial Athletic Association,NCAA D1
Fairfield University,Fairfield,Connecticut,Private,Metro Atlantic Athletic Conference,NCAA D1
Fairleigh Dickinson University,Teaneck,New Jersey,Private,Northeast Conference,NCAA D1
Florida A&M University,Tallahassee,Florida,Public,Southwestern Athletic Conference,NCAA D1
Florida Atlantic University,Boca Raton,Florida,Public,American Athletic Conference,NCAA D1
Florida Gulf Coast University,Fort Myers,Florida,Public,Atlantic Sun Conference,NCAA D1
Florida International University,Miami,Florida,Public,Conference USA,NCAA D1
Florida State University,Tallahassee,Florida,Public,Atlantic Coast Conference,NCAA D1
Fordham University,Bronx,New York,Private,Atlantic 10 Conference,NCAA D1
Formerly Dixie State University,Saint George,Utah,Public,Western Athletic Conference,NCAA D1
Gardner-Webb University,Boiling Springs,North Carolina,Private,Big South Conference,NCAA D1
George Mason University,Fairfax,Virginia,Public,Atlantic 10 Conference,NCAA D1
George Washington University,Washington,District Of Columbia,Private,Atlantic 10 Conference,NCAA D1
Georgetown University,Washington,District Of Columbia,Private,Patriot League,NCAA D1
Georgia Southern University,Statesboro,Georgia,Public,Sun Belt Conference,NCAA D1
Georgia State University,Atlanta,Georgia,Public,Sun Belt Conference,NCAA D1
Georgia Tech,Atlanta,Georgia,Public,Atlantic Coast Conference,NCAA D1
Gonzaga University,Spokane,Washington,Private,West Coast Conference,NCAA D1
Grambling State University,Grambling,Louisiana,Public,Southwestern Athletic Conference,NCAA D1
Grand Canyon University,Phoenix,Arizona,Private,Western Athletic Conference,NCAA D1
Harvard University,Cambridge,Massachusetts,Private,Ivy League,NCAA D1
High Point University,High Point,North Carolina,Private,Big South Conference,NCAA D1
Hofstra University,Hempstead,New York,Private,Colonial Athletic Association,NCAA D1
Houston Christian University,Houston,Texas,Private,Southland Conference,NCAA D1
Illinois State University,Normal,Illinois,Public,Missouri Valley Conference,NCAA D1
Indiana State University,Terre Haute,Indiana,Public,Missouri Valley Football Conference,NCAA D1
Indiana University,Bloomington,Indiana,Public,Big Ten Conference,NCAA D1
Indiana University-Purdue University – Indianapolis (IUPUI),Indianapolis,Indiana,Public,Horizon League,NCAA D1
Iona University,New Rochelle,New York,Private,Metro Atlantic Athletic Conference,NCAA D1
Jackson State University,Jackson,Mississippi,Public,Southwestern Athletic Conference,NCAA D1
Jacksonville State University,Jacksonville,Alabama,Public,Conference USA,NCAA D1
Jacksonville University,Jacksonville,Florida,Private,Atlantic Sun Conference,NCAA D1
James Madison University,Harrisonburg,Virginia,Public,Sun Belt Conference,NCAA D1
Kansas State University,Manhattan,Kansas,Public,Big 12 Conference,NCAA D1
Kennesaw State University,Kennesaw,Georgia,Public,Conference USA,NCAA D1
Kent State University,Kent,Ohio,Public,Mid-American Conference,NCAA D1
Lafayette College,Easton,Pennsylvania,Private,Patriot League,NCAA D1
Lamar University,Beaumont,Texas,Public,Southland Conference,NCAA D1
Le Moyne College,Syracuse,New York,Private,Northeast Conference,NCAA D1
Lehigh University,Bethlehem,Pennsylvania,Private,Patriot League,NCAA D1
Liberty University,Lynchburg,Virginia,Private,Conference USA,NCAA D1
Lindenwood University,Saint Charles,Missouri,Private,Ohio Valley Conference,NCAA D1
Lipscomb University,Nashville,Tennessee,Private,Atlantic Sun Conference,NCAA D1
Long Island University,Long Island,New York,Private,Northeast Conference,NCAA D1
Longwood University,Farmville,Virginia,Public,Big South Conference,NCAA D1
Louisiana State University (LSU),Baton Rouge,Louisiana,Public,Southeastern Conference,NCAA D1
Louisiana Tech University,Ruston,Louisiana,Public,Conference USA,NCAA D1
Loyola Marymount University,Los Angeles,California,Private,West Coast Conference,NCAA D1
Manhattan University,Riverdale,New York,Private,Metro Atlantic Athletic Conference,NCAA D1
Marist College,Poughkeepsie,New York,Private,Metro Atlantic Athletic Conference,NCAA D1
Marshall University,Huntington,West Virginia,Public,Sun Belt Conference,NCAA D1
McNeese State University,Lake Charles,Louisiana,Public,Southland Conference,NCAA D1
Mercer University,Macon,Georgia,Private,Southern Conference,NCAA D1
Mercyhurst University,Erie,Pennsylvania,Private,Northeast Conference,NCAA D1
Merrimack College,North Andover,Massachusetts,Private,Metro Atlantic Athletic Conference,NCAA D1
Miami University,Oxford,Ohio,Public,Mid-American Conference,NCAA D1
Michigan State University,East Lansing,Michigan,Public,Big Ten Conference,NCAA D1
Middle Tennessee State University,Murfreesboro,Tennessee,Public,Conference USA,NCAA D1
Mississippi State University,Mississippi State,Mississippi,Public,Southeastern Conference,NCAA D1
Mississippi Valley State University,Itta Bena,Mississippi,Public,Southwestern Athletic Conference,NCAA D1
Missouri State University,Springfield,Missouri,Public,Missouri Valley Conference,NCAA D1
